Number of species	36
Number of genes	1169436
Number of genes in orthogroups	1041731
Number of unassigned genes	127705
Percentage of genes in orthogroups	89.1
Percentage of unassigned genes	10.9
Number of orthogroups	46557
Number of species-specific orthogroups	13523
Number of genes in species-specific orthogroups	54020
Percentage of genes in species-specific orthogroups	4.6
Mean orthogroup size	22.4
Median orthogroup size	5.0
G50 (assigned genes)	53
G50 (all genes)	47
O50 (assigned genes)	3816
O50 (all genes)	5090
Number of orthogroups with all species present	3389
Number of single-copy orthogroups	9
Date	2025-07-13
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	35947	77.2	230298	22.1
'1	8327	17.9	383432	36.8
'2	1015	2.2	87211	8.4
'3	370	0.8	45628	4.4
'4	238	0.5	38245	3.7
'5	132	0.3	26091	2.5
'6	107	0.2	25030	2.4
'7	82	0.2	21937	2.1
'8	69	0.1	21011	2.0
'9	34	0.1	11597	1.1
'10	43	0.1	16203	1.6
11-15	107	0.2	50386	4.8
16-20	39	0.1	25079	2.4
21-50	40	0.1	43936	4.2
51-100	7	0.0	15647	1.5
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	13523
2	8260
3	5162
4	2937
5	1411
6	820
7	643
8	473
9	353
10	316
11	284
12	195
13	207
14	179
15	172
16	149
17	114
18	117
19	131
20	118
21	144
22	120
23	149
24	136
25	163
26	184
27	178
28	218
29	280
30	317
31	401
32	506
33	800
34	1459
35	2549
36	3389
