alignment	model
dmrt_disco_tree1_aligned_trim.faa	JTT
dmrt_disco_tree2_aligned_trim.faa	JTT
dmrt_disco_tree3_aligned_trim.faa	JTT
dmrt_disco_tree4_aligned_trim.faa	JTT
fox_disco_tree10_aligned_trim.faa	JTT
fox_disco_tree11_aligned_trim.faa	JTT
fox_disco_tree12_aligned_trim.faa	JTT
fox_disco_tree13_aligned_trim.faa	JTT
fox_disco_tree14_aligned_trim.faa	JTT
fox_disco_tree15_aligned_trim.faa	JTT
fox_disco_tree16_aligned_trim.faa	JTT
fox_disco_tree17_aligned_trim.faa	JTT
fox_disco_tree18_aligned_trim.faa	JTT
fox_disco_tree19_aligned_trim.faa	JTT
fox_disco_tree1_aligned_trim.faa	JTT
fox_disco_tree20_aligned_trim.faa	JTT
fox_disco_tree21_aligned_trim.faa	JTT
fox_disco_tree22_aligned_trim.faa	Dayhoff
fox_disco_tree23_aligned_trim.faa	JTT
fox_disco_tree24_aligned_trim.faa	JTT
fox_disco_tree25_aligned_trim.faa	Dayhoff
fox_disco_tree26_aligned_trim.faa	JTT
fox_disco_tree2_aligned_trim.faa	JTT
fox_disco_tree3_aligned_trim.faa	JTT
fox_disco_tree4_aligned_trim.faa	JTT
fox_disco_tree6_aligned_trim.faa	JTT
fox_disco_tree7_aligned_trim.faa	JTT
fox_disco_tree8_aligned_trim.faa	JTT
fox_disco_tree9_aligned_trim.faa	JTT
OG0000000_disco_tree10_aligned_trim.faa	LG
OG0000000_disco_tree11_aligned_trim.faa	LG
OG0000000_disco_tree12_aligned_trim.faa	LG
OG0000000_disco_tree13_aligned_trim.faa	LG
OG0000000_disco_tree15_aligned_trim.faa	LG
OG0000000_disco_tree16_aligned_trim.faa	LG
OG0000000_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000000_disco_tree4_aligned_trim.faa	LG
OG0000000_disco_tree5_aligned_trim.faa	LG
OG0000000_disco_tree6_aligned_trim.faa	LG
OG0000000_disco_tree7_aligned_trim.faa	LG
OG0000000_disco_tree8_aligned_trim.faa	LG
OG0000000_disco_tree9_aligned_trim.faa	LG
OG0000001_disco_tree1_aligned_trim.faa	WAG
OG0000001_disco_tree2_aligned_trim.faa	LG
OG0000001_disco_tree3_aligned_trim.faa	WAG
