GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0005884	actin filament	5	3	0.17	0.00039
GO:0030479	actin cortical patch	2	2	0.07	0.00119
GO:0000932	P-body	16	4	0.55	0.00182
GO:0031012	extracellular matrix	39	6	1.35	0.00200
GO:0031010	ISWI-type complex	3	2	0.1	0.00349
GO:0030870	Mre11 complex	4	2	0.14	0.00682
GO:0051286	cell tip	4	2	0.14	0.00682
GO:0030684	preribosome	23	4	0.8	0.00734
GO:0009295	nucleoid	5	2	0.17	0.01112
GO:0035861	site of double-strand break	5	2	0.17	0.01112
GO:0071944	cell periphery	474	31	16.4	0.01740
GO:0009986	cell surface	17	3	0.59	0.01939
GO:0090734	site of DNA damage	7	2	0.24	0.02230
GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	8	2	0.28	0.02906
GO:0005844	polysome	8	2	0.28	0.02906
GO:0016324	apical plasma membrane	8	2	0.28	0.02906
GO:0030018	Z disc	8	2	0.28	0.02906
GO:0045177	apical part of cell	8	2	0.28	0.02906
GO:0005829	cytosol	213	13	7.37	0.03259
GO:0072588	box H/ACA RNP complex	1	1	0.03	0.03459
GO:0009526	plastid envelope	1	1	0.03	0.03459
GO:0009528	plastid inner membrane	1	1	0.03	0.03459
GO:0031213	RSF complex	1	1	0.03	0.03459
GO:1902773	GTPase activator complex	1	1	0.03	0.03459
GO:0090537	CERF complex	1	1	0.03	0.03459
GO:0009536	plastid	1	1	0.03	0.03459
GO:0001750	photoreceptor outer segment	1	1	0.03	0.03459
GO:0009706	chloroplast inner membrane	1	1	0.03	0.03459
GO:0034455	t-UTP complex	1	1	0.03	0.03459
GO:0031969	chloroplast membrane	1	1	0.03	0.03459
GO:0009507	chloroplast	1	1	0.03	0.03459
GO:0000148	1,3-beta-D-glucan synthase complex	1	1	0.03	0.03459
GO:0009941	chloroplast envelope	1	1	0.03	0.03459
GO:0048786	presynaptic active zone	1	1	0.03	0.03459
GO:0042170	plastid membrane	1	1	0.03	0.03459
GO:1990334	Bfa1-Bub2 complex	1	1	0.03	0.03459
GO:0032588	trans-Golgi network membrane	1	1	0.03	0.03459
GO:0097733	photoreceptor cell cilium	1	1	0.03	0.03459
GO:0031941	filamentous actin	1	1	0.03	0.03459
GO:0031429	box H/ACA snoRNP complex	1	1	0.03	0.03459
GO:0150005	enzyme activator complex	1	1	0.03	0.03459
GO:0002116	semaphorin receptor complex	1	1	0.03	0.03459
