GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0048519	negative regulation of biological proces...	270	33	11.69	4.2e-08
GO:0048523	negative regulation of cellular process	249	31	10.78	7.2e-08
GO:0000018	regulation of DNA recombination	8	6	0.35	1.6e-07
GO:0006310	DNA recombination	66	14	2.86	5.9e-07
GO:0031323	regulation of cellular metabolic process	700	57	30.31	1.1e-06
GO:0060255	regulation of macromolecule metabolic pr...	737	59	31.91	1.3e-06
GO:0019222	regulation of metabolic process	779	61	33.73	1.7e-06
GO:2000779	regulation of double-strand break repair	11	6	0.48	2.4e-06
GO:0031324	negative regulation of cellular metaboli...	144	20	6.23	3.2e-06
GO:0010605	negative regulation of macromolecule met...	160	21	6.93	4.5e-06
GO:0010468	regulation of gene expression	629	51	27.23	5.4e-06
GO:0010556	regulation of macromolecule biosynthetic...	633	51	27.41	6.5e-06
GO:0031326	regulation of cellular biosynthetic proc...	635	51	27.49	7.1e-06
GO:0050794	regulation of cellular process	1658	104	71.79	7.9e-06
GO:0080090	regulation of primary metabolic process	673	53	29.14	8.1e-06
GO:0009889	regulation of biosynthetic process	638	51	27.62	8.2e-06
GO:0009892	negative regulation of metabolic process	167	21	7.23	8.9e-06
GO:0050789	regulation of biological process	1758	108	76.11	1.3e-05
GO:0048522	positive regulation of cellular process	199	23	8.62	1.4e-05
GO:0010569	regulation of double-strand break repair...	5	4	0.22	1.7e-05
GO:0051171	regulation of nitrogen compound metaboli...	672	52	29.1	1.7e-05
GO:0032502	developmental process	261	27	11.3	1.9e-05
GO:0006282	regulation of DNA repair	15	6	0.65	2.2e-05
GO:0031325	positive regulation of cellular metaboli...	125	17	5.41	2.3e-05
GO:0048856	anatomical structure development	220	24	9.53	2.4e-05
GO:0010558	negative regulation of macromolecule bio...	128	17	5.54	3.2e-05
GO:0031327	negative regulation of cellular biosynth...	129	17	5.59	3.5e-05
GO:0051052	regulation of DNA metabolic process	31	8	1.34	3.7e-05
GO:0051172	negative regulation of nitrogen compound...	117	16	5.07	3.8e-05
GO:0009890	negative regulation of biosynthetic proc...	130	17	5.63	3.9e-05
GO:0006950	response to stress	370	33	16.02	4.9e-05
GO:0065007	biological regulation	1815	108	78.58	5.7e-05
GO:0048518	positive regulation of biological proces...	248	25	10.74	6.1e-05
GO:0044419	biological process involved in interspec...	63	11	2.73	6.8e-05
GO:0045934	negative regulation of nucleobase-contai...	64	11	2.77	7.9e-05
GO:0045595	regulation of cell differentiation	28	7	1.21	0.00014
GO:0080135	regulation of cellular response to stres...	28	7	1.21	0.00014
GO:0009893	positive regulation of metabolic process	158	18	6.84	0.00015
GO:0048513	animal organ development	83	12	3.59	0.00021
GO:0019219	regulation of nucleobase-containing comp...	541	41	23.42	0.00024
GO:0010604	positive regulation of macromolecule met...	151	17	6.54	0.00026
GO:0050793	regulation of developmental process	62	10	2.68	0.00029
GO:2000781	positive regulation of double-strand bre...	4	3	0.17	0.00031
GO:0006302	double-strand break repair	52	9	2.25	0.00033
GO:0006417	regulation of translation	52	9	2.25	0.00033
GO:0080134	regulation of response to stress	52	9	2.25	0.00033
GO:0051726	regulation of cell cycle	75	11	3.25	0.00034
GO:0010720	positive regulation of cell development	9	4	0.39	0.00036
GO:0034248	regulation of amide metabolic process	53	9	2.29	0.00039
GO:0010564	regulation of cell cycle process	43	8	1.86	0.00043
GO:0051240	positive regulation of multicellular org...	24	6	1.04	0.00043
GO:0061061	muscle structure development	24	6	1.04	0.00043
GO:0010629	negative regulation of gene expression	78	11	3.38	0.00048
GO:0009607	response to biotic stimulus	55	9	2.38	0.00052
GO:0010628	positive regulation of gene expression	34	7	1.47	0.00052
GO:0010608	post-transcriptional regulation of gene ...	57	9	2.47	0.00068
GO:0009891	positive regulation of biosynthetic proc...	94	12	4.07	0.00068
GO:0010557	positive regulation of macromolecule bio...	94	12	4.07	0.00068
GO:0031328	positive regulation of cellular biosynth...	94	12	4.07	0.00068
GO:0044403	biological process involved in symbiotic...	5	3	0.22	0.00075
GO:0044773	mitotic DNA damage checkpoint signaling	5	3	0.22	0.00075
GO:0044774	mitotic DNA integrity checkpoint signali...	5	3	0.22	0.00075
GO:0050769	positive regulation of neurogenesis	5	3	0.22	0.00075
GO:0032501	multicellular organismal process	227	21	9.83	0.00076
GO:0006952	defense response	58	9	2.51	0.00077
GO:1901990	regulation of mitotic cell cycle phase t...	18	5	0.78	0.00079
GO:0051173	positive regulation of nitrogen compound...	137	15	5.93	0.00079
GO:0045892	negative regulation of DNA-templated tra...	59	9	2.55	0.00088
GO:1902679	negative regulation of RNA biosynthetic ...	59	9	2.55	0.00088
GO:0030155	regulation of cell adhesion	11	4	0.48	0.00089
GO:0051246	regulation of protein metabolic process	154	16	6.67	0.00095
GO:0051253	negative regulation of RNA metabolic pro...	61	9	2.64	0.00112
GO:0022402	cell cycle process	128	14	5.54	0.00119
GO:1901987	regulation of cell cycle phase transitio...	29	6	1.26	0.00127
GO:0000723	telomere maintenance	12	4	0.52	0.00129
GO:0048568	embryonic organ development	12	4	0.52	0.00129
GO:0048583	regulation of response to stimulus	159	16	6.88	0.00134
GO:0051252	regulation of RNA metabolic process	517	37	22.38	0.00144
GO:0045739	positive regulation of DNA repair	6	3	0.26	0.00146
GO:0051962	positive regulation of nervous system de...	6	3	0.26	0.00146
GO:0007049	cell cycle	207	19	8.96	0.00148
GO:0000724	double-strand break repair via homologou...	30	6	1.3	0.00154
GO:0050896	response to stimulus	1225	73	53.04	0.00160
GO:0009605	response to external stimulus	90	11	3.9	0.00162
GO:0033554	cellular response to stress	275	23	11.91	0.00172
GO:0000077	DNA damage checkpoint signaling	13	4	0.56	0.00180
GO:0007517	muscle organ development	13	4	0.56	0.00180
GO:0031570	DNA integrity checkpoint signaling	13	4	0.56	0.00180
GO:0051607	defense response to virus	13	4	0.56	0.00180
GO:0140546	defense response to symbiont	13	4	0.56	0.00180
GO:0043207	response to external biotic stimulus	53	8	2.29	0.00181
GO:0051707	response to other organism	53	8	2.29	0.00181
GO:0000725	recombinational repair	31	6	1.34	0.00184
GO:0000902	cell morphogenesis	31	6	1.34	0.00184
GO:0007097	nuclear migration	2	2	0.09	0.00187
GO:0007586	digestion	2	2	0.09	0.00187
GO:0022600	digestive system process	2	2	0.09	0.00187
GO:0032231	regulation of actin filament bundle asse...	2	2	0.09	0.00187
GO:0032232	negative regulation of actin filament bu...	2	2	0.09	0.00187
GO:0032488	Cdc42 protein signal transduction	2	2	0.09	0.00187
GO:0045911	positive regulation of DNA recombination	2	2	0.09	0.00187
GO:0051647	nucleus localization	2	2	0.09	0.00187
GO:1905168	positive regulation of double-strand bre...	2	2	0.09	0.00187
GO:0051254	positive regulation of RNA metabolic pro...	79	10	3.42	0.00201
GO:0006355	regulation of DNA-templated transcriptio...	490	35	21.22	0.00201
GO:2001141	regulation of RNA biosynthetic process	491	35	21.26	0.00209
GO:0032200	telomere organization	14	4	0.61	0.00244
GO:0045597	positive regulation of cell differentiat...	14	4	0.61	0.00244
GO:0060284	regulation of cell development	14	4	0.61	0.00244
GO:0001819	positive regulation of cytokine producti...	7	3	0.3	0.00247
GO:0007368	determination of left/right symmetry	7	3	0.3	0.00247
GO:0010389	regulation of G2/M transition of mitotic...	7	3	0.3	0.00247
GO:0060972	left/right pattern formation	7	3	0.3	0.00247
GO:0070192	chromosome organization involved in meio...	7	3	0.3	0.00247
GO:0006351	DNA-templated transcription	571	39	24.72	0.00252
GO:0098542	defense response to other organism	44	7	1.91	0.00255
GO:0030154	cell differentiation	139	14	6.02	0.00263
GO:0048869	cellular developmental process	141	14	6.1	0.00300
GO:0044772	mitotic cell cycle phase transition	24	5	1.04	0.00316
GO:1901988	negative regulation of cell cycle phase ...	24	5	1.04	0.00316
GO:0009615	response to virus	15	4	0.65	0.00321
GO:1901991	negative regulation of mitotic cell cycl...	15	4	0.65	0.00321
GO:0032774	RNA biosynthetic process	579	39	25.07	0.00323
GO:0044770	cell cycle phase transition	35	6	1.52	0.00350
GO:0045935	positive regulation of nucleobase-contai...	86	10	3.72	0.00378
GO:0009799	specification of symmetry	8	3	0.35	0.00382
GO:0009855	determination of bilateral symmetry	8	3	0.35	0.00382
GO:0045132	meiotic chromosome segregation	8	3	0.35	0.00382
GO:0050767	regulation of neurogenesis	8	3	0.35	0.00382
GO:1902749	regulation of cell cycle G2/M phase tran...	8	3	0.35	0.00382
GO:0042770	signal transduction in response to DNA d...	16	4	0.69	0.00414
GO:0006996	organelle organization	476	33	20.61	0.00434
GO:0048584	positive regulation of response to stimu...	61	8	2.64	0.00446
GO:0007346	regulation of mitotic cell cycle	26	5	1.13	0.00456
GO:0010948	negative regulation of cell cycle proces...	26	5	1.13	0.00456
GO:0006974	DNA damage response	213	18	9.22	0.00481
GO:0007507	heart development	17	4	0.74	0.00523
GO:0140013	meiotic nuclear division	17	4	0.74	0.00523
GO:1903046	meiotic cell cycle process	17	4	0.74	0.00523
GO:0051239	regulation of multicellular organismal p...	50	7	2.16	0.00533
GO:0045944	positive regulation of transcription by ...	38	6	1.65	0.00535
GO:0072359	circulatory system development	27	5	1.17	0.00540
GO:0000959	mitochondrial RNA metabolic process	3	2	0.13	0.00544
GO:0002064	epithelial cell development	3	2	0.13	0.00544
GO:0007095	mitotic G2 DNA damage checkpoint signali...	3	2	0.13	0.00544
GO:0010830	regulation of myotube differentiation	3	2	0.13	0.00544
GO:0010833	telomere maintenance via telomere length...	3	2	0.13	0.00544
GO:0016233	telomere capping	3	2	0.13	0.00544
GO:0033617	mitochondrial cytochrome c oxidase assem...	3	2	0.13	0.00544
GO:0045910	negative regulation of DNA recombination	3	2	0.13	0.00544
