GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006417	regulation of translation	52	9	2.25	0.00033
GO:0010629	negative regulation of gene expression	78	11	3.38	0.00048
GO:0050769	positive regulation of neurogenesis	5	3	0.22	0.00075
GO:0006310	DNA recombination	66	14	2.86	0.00087
GO:0030155	regulation of cell adhesion	11	4	0.48	0.00089
GO:0048568	embryonic organ development	12	4	0.52	0.00129
GO:0007517	muscle organ development	13	4	0.56	0.00180
GO:0051607	defense response to virus	13	4	0.56	0.00180
GO:0032488	Cdc42 protein signal transduction	2	2	0.09	0.00187
GO:0022600	digestive system process	2	2	0.09	0.00187
GO:0007097	nuclear migration	2	2	0.09	0.00187
GO:0032232	negative regulation of actin filament bu...	2	2	0.09	0.00187
GO:1905168	positive regulation of double-strand bre...	2	2	0.09	0.00187
GO:0007368	determination of left/right symmetry	7	3	0.3	0.00247
GO:0001819	positive regulation of cytokine producti...	7	3	0.3	0.00247
GO:0070192	chromosome organization involved in meio...	7	3	0.3	0.00247
GO:0045132	meiotic chromosome segregation	8	3	0.35	0.00382
GO:0045944	positive regulation of transcription by ...	38	6	1.65	0.00535
GO:0010569	regulation of double-strand break repair...	5	4	0.22	0.00537
GO:0002064	epithelial cell development	3	2	0.13	0.00544
GO:0061383	trabecula morphogenesis	3	2	0.13	0.00544
GO:0010830	regulation of myotube differentiation	3	2	0.13	0.00544
GO:0010833	telomere maintenance via telomere length...	3	2	0.13	0.00544
GO:0000959	mitochondrial RNA metabolic process	3	2	0.13	0.00544
GO:0033617	mitochondrial cytochrome c oxidase assem...	3	2	0.13	0.00544
GO:2000179	positive regulation of neural precursor ...	3	2	0.13	0.00544
GO:0050777	negative regulation of immune response	3	2	0.13	0.00544
GO:0007095	mitotic G2 DNA damage checkpoint signali...	3	2	0.13	0.00544
GO:2000736	regulation of stem cell differentiation	3	2	0.13	0.00544
GO:0016233	telomere capping	3	2	0.13	0.00544
GO:0045910	negative regulation of DNA recombination	3	2	0.13	0.00544
GO:0051701	biological process involved in interacti...	3	2	0.13	0.00544
GO:0071310	cellular response to organic substance	52	7	2.25	0.00664
GO:0010564	regulation of cell cycle process	43	8	1.86	0.00669
GO:0006915	apoptotic process	95	10	4.11	0.00768
GO:0042326	negative regulation of phosphorylation	10	3	0.43	0.00768
GO:0008285	negative regulation of cell population p...	10	3	0.43	0.00768
GO:0022604	regulation of cell morphogenesis	10	3	0.43	0.00768
GO:0001894	tissue homeostasis	10	3	0.43	0.00768
GO:0003007	heart morphogenesis	10	3	0.43	0.00768
GO:0031325	positive regulation of cellular metaboli...	125	17	5.41	0.00801
GO:0051172	negative regulation of nitrogen compound...	117	16	5.07	0.00814
GO:0000122	negative regulation of transcription by ...	31	5	1.34	0.00988
GO:0051093	negative regulation of developmental pro...	11	3	0.48	0.01022
GO:0001501	skeletal system development	11	3	0.48	0.01022
GO:0042981	regulation of apoptotic process	70	8	3.03	0.01024
GO:0046677	response to antibiotic	4	2	0.17	0.01058
GO:0046620	regulation of organ growth	4	2	0.17	0.01058
GO:0030514	negative regulation of BMP signaling pat...	4	2	0.17	0.01058
GO:1901678	iron coordination entity transport	4	2	0.17	0.01058
GO:0007519	skeletal muscle tissue development	4	2	0.17	0.01058
GO:0032507	maintenance of protein location in cell	4	2	0.17	0.01058
GO:0007416	synapse assembly	4	2	0.17	0.01058
GO:0098781	ncRNA transcription	4	2	0.17	0.01058
GO:0035023	regulation of Rho protein signal transdu...	4	2	0.17	0.01058
GO:0003190	atrioventricular valve formation	4	2	0.17	0.01058
GO:0003181	atrioventricular valve morphogenesis	4	2	0.17	0.01058
GO:0090101	negative regulation of transmembrane rec...	4	2	0.17	0.01058
GO:0010001	glial cell differentiation	4	2	0.17	0.01058
GO:0090288	negative regulation of cellular response...	4	2	0.17	0.01058
GO:0042274	ribosomal small subunit biogenesis	21	4	0.91	0.01148
GO:0043067	regulation of programmed cell death	72	8	3.12	0.01205
GO:0042327	positive regulation of phosphorylation	12	3	0.52	0.01320
GO:0006402	mRNA catabolic process	35	5	1.52	0.01640
GO:0010562	positive regulation of phosphorus metabo...	13	3	0.56	0.01662
GO:0045010	actin nucleation	13	3	0.56	0.01662
GO:0045937	positive regulation of phosphate metabol...	13	3	0.56	0.01662
GO:0030510	regulation of BMP signaling pathway	5	2	0.22	0.01712
GO:0061371	determination of heart left/right asymme...	5	2	0.22	0.01712
GO:0042063	gliogenesis	5	2	0.22	0.01712
GO:0007162	negative regulation of cell adhesion	5	2	0.22	0.01712
GO:0042026	protein refolding	5	2	0.22	0.01712
GO:0007129	homologous chromosome pairing at meiosis	5	2	0.22	0.01712
GO:0001947	heart looping	5	2	0.22	0.01712
GO:0035050	embryonic heart tube development	5	2	0.22	0.01712
GO:0035265	organ growth	5	2	0.22	0.01712
GO:0030968	endoplasmic reticulum unfolded protein r...	5	2	0.22	0.01712
GO:0003188	heart valve formation	5	2	0.22	0.01712
GO:0003171	atrioventricular valve development	5	2	0.22	0.01712
GO:0003179	heart valve morphogenesis	5	2	0.22	0.01712
GO:0003143	embryonic heart tube morphogenesis	5	2	0.22	0.01712
GO:0090287	regulation of cellular response to growt...	5	2	0.22	0.01712
GO:0060538	skeletal muscle organ development	5	2	0.22	0.01712
GO:0034620	cellular response to unfolded protein	5	2	0.22	0.01712
GO:0080090	regulation of primary metabolic process	673	53	29.14	0.01818
GO:0006950	response to stress	370	33	16.02	0.01949
