GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0071944	cell periphery	474	37	20.46	0.00025
GO:0043228	non-membrane-bounded organelle	807	55	34.83	0.00026
GO:0043232	intracellular non-membrane-bounded organ...	807	55	34.83	0.00026
GO:0000932	P-body	16	5	0.69	0.00042
GO:0005694	chromosome	191	19	8.24	0.00053
GO:0005884	actin filament	5	3	0.22	0.00074
GO:0099080	supramolecular complex	143	15	6.17	0.00119
GO:0030479	actin cortical patch	2	2	0.09	0.00186
GO:0030017	sarcomere	14	4	0.6	0.00241
GO:0035770	ribonucleoprotein granule	23	5	0.99	0.00255
GO:0036464	cytoplasmic ribonucleoprotein granule	23	5	0.99	0.00255
GO:0031010	ISWI-type complex	3	2	0.13	0.00541
GO:0043190	ATP-binding cassette (ABC) transporter c...	3	2	0.13	0.00541
GO:0061645	endocytic patch	3	2	0.13	0.00541
GO:0031012	extracellular matrix	39	6	1.68	0.00599
GO:0099081	supramolecular polymer	107	11	4.62	0.00613
GO:0099512	supramolecular fiber	107	11	4.62	0.00613
GO:0030016	myofibril	18	4	0.78	0.00642
GO:0043292	contractile fiber	18	4	0.78	0.00642
GO:0000794	condensed nuclear chromosome	10	3	0.43	0.00761
GO:0030312	external encapsulating structure	41	6	1.77	0.00768
GO:0005938	cell cortex	31	5	1.34	0.00974
GO:0005856	cytoskeleton	337	24	14.54	0.01005
GO:0030870	Mre11 complex	4	2	0.17	0.01051
GO:0051286	cell tip	4	2	0.17	0.01051
GO:0098533	ATPase dependent transmembrane transport...	4	2	0.17	0.01051
GO:0031981	nuclear lumen	290	21	12.52	0.01314
GO:0098797	plasma membrane protein complex	47	6	2.03	0.01480
GO:0030684	preribosome	23	4	0.99	0.01569
GO:0009295	nucleoid	5	2	0.22	0.01702
GO:0016323	basolateral plasma membrane	5	2	0.22	0.01702
GO:0031931	TORC1 complex	5	2	0.22	0.01702
GO:0035861	site of double-strand break	5	2	0.22	0.01702
GO:0005829	cytosol	213	16	9.19	0.02111
GO:0009925	basal plasma membrane	6	2	0.26	0.02480
GO:0038201	TOR complex	6	2	0.26	0.02480
GO:0045178	basal part of cell	6	2	0.26	0.02480
GO:0060187	cell pole	6	2	0.26	0.02480
GO:0005886	plasma membrane	407	26	17.57	0.02713
GO:0005615	extracellular space	54	6	2.33	0.02776
GO:0030863	cortical cytoskeleton	7	2	0.3	0.03375
GO:0030864	cortical actin cytoskeleton	7	2	0.3	0.03375
GO:0090734	site of DNA damage	7	2	0.3	0.03375
GO:0009986	cell surface	17	3	0.73	0.03450
GO:0005634	nucleus	1531	79	66.08	0.03614
GO:0070603	SWI/SNF superfamily-type complex	18	3	0.78	0.04011
GO:0000148	1,3-beta-D-glucan synthase complex	1	1	0.04	0.04316
GO:0001750	photoreceptor outer segment	1	1	0.04	0.04316
GO:0002116	semaphorin receptor complex	1	1	0.04	0.04316
GO:0009507	chloroplast	1	1	0.04	0.04316
GO:0009526	plastid envelope	1	1	0.04	0.04316
GO:0009528	plastid inner membrane	1	1	0.04	0.04316
GO:0009536	plastid	1	1	0.04	0.04316
GO:0009706	chloroplast inner membrane	1	1	0.04	0.04316
GO:0009941	chloroplast envelope	1	1	0.04	0.04316
GO:0031213	RSF complex	1	1	0.04	0.04316
GO:0031429	box H/ACA snoRNP complex	1	1	0.04	0.04316
GO:0031941	filamentous actin	1	1	0.04	0.04316
GO:0031969	chloroplast membrane	1	1	0.04	0.04316
GO:0032588	trans-Golgi network membrane	1	1	0.04	0.04316
GO:0034455	t-UTP complex	1	1	0.04	0.04316
GO:0034992	microtubule organizing center attachment...	1	1	0.04	0.04316
GO:0034993	meiotic nuclear membrane microtubule tet...	1	1	0.04	0.04316
GO:0042170	plastid membrane	1	1	0.04	0.04316
GO:0048786	presynaptic active zone	1	1	0.04	0.04316
GO:0071202	Kv4.3-DPP10 channel complex	1	1	0.04	0.04316
GO:0071541	eukaryotic translation initiation factor...	1	1	0.04	0.04316
GO:0072588	box H/ACA RNP complex	1	1	0.04	0.04316
GO:0090537	CERF complex	1	1	0.04	0.04316
GO:0097733	photoreceptor cell cilium	1	1	0.04	0.04316
GO:0106083	nuclear membrane protein complex	1	1	0.04	0.04316
GO:0106094	nuclear membrane microtubule tethering c...	1	1	0.04	0.04316
GO:0150005	enzyme activator complex	1	1	0.04	0.04316
GO:1902773	GTPase activator complex	1	1	0.04	0.04316
GO:1990334	Bfa1-Bub2 complex	1	1	0.04	0.04316
GO:1990391	DNA repair complex	1	1	0.04	0.04316
GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	8	2	0.35	0.04373
GO:0005844	polysome	8	2	0.35	0.04373
GO:0016324	apical plasma membrane	8	2	0.35	0.04373
GO:0030018	Z disc	8	2	0.35	0.04373
GO:0045177	apical part of cell	8	2	0.35	0.04373
GO:0098687	chromosomal region	32	4	1.38	0.04718
GO:0005912	adherens junction	9	2	0.39	0.05466
GO:0030427	site of polarized growth	9	2	0.39	0.05466
GO:0031674	I band	9	2	0.39	0.05466
GO:0000793	condensed chromosome	34	4	1.47	0.05695
GO:0000228	nuclear chromosome	35	4	1.51	0.06221
GO:0005813	centrosome	35	4	1.51	0.06221
GO:0000781	chromosome, telomeric region	10	2	0.43	0.06642
GO:0043005	neuron projection	22	3	0.95	0.06679
GO:0031965	nuclear membrane	23	3	0.99	0.07445
GO:0062023	collagen-containing extracellular matrix	23	3	0.99	0.07445
GO:0099513	polymeric cytoskeletal fiber	86	7	3.71	0.07684
GO:1902495	transmembrane transporter complex	53	5	2.29	0.07697
GO:0022625	cytosolic large ribosomal subunit	11	2	0.47	0.07893
GO:1990351	transporter complex	54	5	2.33	0.08199
GO:0000782	telomere cap complex	2	1	0.09	0.08446
GO:0000783	nuclear telomere cap complex	2	1	0.09	0.08446
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	2	1	0.09	0.08446
GO:0005816	spindle pole body	2	1	0.09	0.08446
GO:0005865	striated muscle thin filament	2	1	0.09	0.08446
GO:0033557	Slx1-Slx4 complex	2	1	0.09	0.08446
GO:0033596	TSC1-TSC2 complex	2	1	0.09	0.08446
GO:0035060	brahma complex	2	1	0.09	0.08446
GO:0036379	myofilament	2	1	0.09	0.08446
GO:0043186	P granule	2	1	0.09	0.08446
GO:0045495	pole plasm	2	1	0.09	0.08446
GO:0060293	germ plasm	2	1	0.09	0.08446
GO:0070187	shelterin complex	2	1	0.09	0.08446
GO:0097731	9+0 non-motile cilium	2	1	0.09	0.08446
GO:0140445	chromosome, telomeric repeat region	2	1	0.09	0.08446
GO:0005730	nucleolus	126	9	5.44	0.09346
GO:1904949	ATPase complex	41	4	1.77	0.09883
GO:0016282	eukaryotic 43S preinitiation complex	13	2	0.56	0.10585
GO:0032040	small-subunit processome	13	2	0.56	0.10585
GO:0033290	eukaryotic 48S preinitiation complex	13	2	0.56	0.10585
GO:0043235	receptor complex	13	2	0.56	0.10585
GO:0070993	translation preinitiation complex	13	2	0.56	0.10585
GO:0005770	late endosome	27	3	1.17	0.10866
GO:0032991	protein-containing complex	1271	63	54.85	0.11737
GO:0005751	mitochondrial respiratory chain complex ...	3	1	0.13	0.12399
GO:0005942	phosphatidylinositol 3-kinase complex	3	1	0.13	0.12399
GO:0008278	cohesin complex	3	1	0.13	0.12399
GO:0016328	lateral plasma membrane	3	1	0.13	0.12399
GO:0030015	CCR4-NOT core complex	3	1	0.13	0.12399
GO:0030688	preribosome, small subunit precursor	3	1	0.13	0.12399
GO:0031428	box C/D RNP complex	3	1	0.13	0.12399
GO:0031430	M band	3	1	0.13	0.12399
GO:0031932	TORC2 complex	3	1	0.13	0.12399
GO:0034451	centriolar satellite	3	1	0.13	0.12399
GO:0035145	exon-exon junction complex	3	1	0.13	0.12399
GO:0045277	respiratory chain complex IV	3	1	0.13	0.12399
GO:0071007	U2-type catalytic step 2 spliceosome	3	1	0.13	0.12399
GO:0072487	MSL complex	3	1	0.13	0.12399
GO:0005852	eukaryotic translation initiation factor...	15	2	0.65	0.13481
GO:0008076	voltage-gated potassium channel complex	15	2	0.65	0.13481
GO:0022626	cytosolic ribosome	15	2	0.65	0.13481
GO:0034705	potassium channel complex	15	2	0.65	0.13481
GO:0005930	axoneme	30	3	1.29	0.13757
GO:0032838	plasma membrane bounded cell projection ...	30	3	1.29	0.13757
GO:0097014	ciliary plasm	30	3	1.29	0.13757
GO:0015629	actin cytoskeleton	47	4	2.03	0.14329
GO:0005576	extracellular region	218	13	9.41	0.14704
GO:0005911	cell-cell junction	31	3	1.34	0.14774
GO:0099568	cytoplasmic region	31	3	1.34	0.14774
GO:0098552	side of membrane	16	2	0.69	0.14988
GO:0005768	endosome	84	6	3.63	0.15367
GO:0098590	plasma membrane region	66	5	2.85	0.15476
GO:0016604	nuclear body	32	3	1.38	0.15814
GO:0043233	organelle lumen	386	21	16.66	0.15926
GO:0070013	intracellular organelle lumen	386	21	16.66	0.15926
GO:0032993	protein-DNA complex	85	6	3.67	0.15978
GO:0031462	Cul2-RING ubiquitin ligase complex	4	1	0.17	0.16181
GO:0034399	nuclear periphery	4	1	0.17	0.16181
GO:0045263	proton-transporting ATP synthase complex...	4	1	0.17	0.16181
GO:0071005	U2-type precatalytic spliceosome	4	1	0.17	0.16181
GO:0031974	membrane-enclosed lumen	387	21	16.7	0.16209
GO:0098796	membrane protein complex	183	11	7.9	0.16625
GO:1990904	ribonucleoprotein complex	285	16	12.3	0.16804
GO:0005635	nuclear envelope	51	4	2.2	0.17658
GO:0015630	microtubule cytoskeleton	187	11	8.07	0.18354
GO:0030054	cell junction	108	7	4.66	0.18433
GO:0016607	nuclear speck	19	2	0.82	0.19676
GO:0005882	intermediate filament	5	1	0.22	0.19801
GO:0016010	dystrophin-associated glycoprotein compl...	5	1	0.22	0.19801
GO:0030141	secretory granule	5	1	0.22	0.19801
GO:0030686	90S preribosome	5	1	0.22	0.19801
GO:0030687	preribosome, large subunit precursor	5	1	0.22	0.19801
GO:0031672	A band	5	1	0.22	0.19801
GO:0071013	catalytic step 2 spliceosome	5	1	0.22	0.19801
GO:0090665	glycoprotein complex	5	1	0.22	0.19801
GO:0097730	non-motile cilium	5	1	0.22	0.19801
GO:0034703	cation channel complex	20	2	0.86	0.21277
GO:0031410	cytoplasmic vesicle	153	9	6.6	0.21466
GO:0097708	intracellular vesicle	153	9	6.6	0.21466
GO:0005815	microtubule organizing center	94	6	4.06	0.21917
GO:0005684	U2-type spliceosomal complex	6	1	0.26	0.23265
GO:0045111	intermediate filament cytoskeleton	6	1	0.26	0.23265
GO:0070161	anchoring junction	39	3	1.68	0.23610
GO:0000785	chromatin	77	5	3.32	0.23795
GO:0031982	vesicle	161	9	6.95	0.25913
GO:0005819	spindle	41	3	1.77	0.25954
GO:0005746	mitochondrial respirasome	23	2	0.99	0.26137
GO:0005769	early endosome	23	2	0.99	0.26137
GO:0015934	large ribosomal subunit	23	2	0.99	0.26137
GO:0015030	Cajal body	7	1	0.3	0.26581
