GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0003676	nucleic acid binding	1287	95	59.61	6.1e-07
GO:0005488	binding	4361	234	201.97	7.1e-05
GO:0003723	RNA binding	495	41	22.93	0.00016
GO:1901363	heterocyclic compound binding	2516	144	116.53	0.00077
GO:0005515	protein binding	852	59	39.46	0.00081
GO:0097159	organic cyclic compound binding	2525	144	116.94	0.00091
GO:0008134	transcription factor binding	23	5	1.07	0.00349
GO:0005509	calcium ion binding	307	25	14.22	0.00405
GO:0030515	snoRNA binding	8	3	0.37	0.00463
GO:0042162	telomeric DNA binding	8	3	0.37	0.00463
GO:0140297	DNA-binding transcription factor binding	16	4	0.74	0.00528
GO:0003729	mRNA binding	47	7	2.18	0.00545
GO:0046974	histone H3K9 methyltransferase activity	3	2	0.14	0.00622
GO:0042802	identical protein binding	75	9	3.47	0.00743
GO:0003677	DNA binding	587	40	27.19	0.00792
GO:0016278	lysine N-methyltransferase activity	20	4	0.93	0.01214
GO:0016279	protein-lysine N-methyltransferase activ...	20	4	0.93	0.01214
GO:0140938	histone H3 methyltransferase activity	11	3	0.51	0.01230
GO:0003950	NAD+ ADP-ribosyltransferase activity	22	4	1.02	0.01705
GO:0004016	adenylate cyclase activity	5	2	0.23	0.01948
GO:0005112	Notch binding	5	2	0.23	0.01948
GO:0070530	K63-linked polyubiquitin modification-de...	5	2	0.23	0.01948
GO:0019904	protein domain specific binding	35	5	1.62	0.02139
GO:0033218	amide binding	25	4	1.16	0.02645
GO:0003682	chromatin binding	37	5	1.71	0.02665
GO:0008236	serine-type peptidase activity	64	7	2.96	0.02765
GO:0017171	serine hydrolase activity	64	7	2.96	0.02765
GO:0044877	protein-containing complex binding	128	11	5.93	0.03458
GO:0004672	protein kinase activity	333	23	15.42	0.03475
GO:0008092	cytoskeletal protein binding	212	16	9.82	0.03650
GO:0043014	alpha-tubulin binding	7	2	0.32	0.03848
GO:0043531	ADP binding	7	2	0.32	0.03848
GO:0003690	double-stranded DNA binding	70	7	3.24	0.04228
GO:0003691	double-stranded telomeric DNA binding	1	1	0.05	0.04631
GO:0003720	telomerase activity	1	1	0.05	0.04631
GO:0003843	1,3-beta-D-glucan synthase activity	1	1	0.05	0.04631
GO:0004314	[acyl-carrier-protein] S-malonyltransfer...	1	1	0.05	0.04631
GO:0004687	myosin light chain kinase activity	1	1	0.05	0.04631
GO:0005123	death receptor binding	1	1	0.05	0.04631
GO:0005521	lamin binding	1	1	0.05	0.04631
GO:0008481	sphinganine kinase activity	1	1	0.05	0.04631
GO:0008758	UDP-2,3-diacylglucosamine hydrolase acti...	1	1	0.05	0.04631
GO:0008800	beta-lactamase activity	1	1	0.05	0.04631
GO:0015459	potassium channel regulator activity	1	1	0.05	0.04631
GO:0016419	S-malonyltransferase activity	1	1	0.05	0.04631
GO:0016420	malonyltransferase activity	1	1	0.05	0.04631
GO:0032794	GTPase activating protein binding	1	1	0.05	0.04631
GO:0046789	host cell surface receptor binding	1	1	0.05	0.04631
GO:0046812	host cell surface binding	1	1	0.05	0.04631
GO:0050333	thiamine triphosphate phosphatase activi...	1	1	0.05	0.04631
GO:0097110	scaffold protein binding	1	1	0.05	0.04631
GO:0140444	cytoskeleton-nuclear membrane anchor act...	1	1	0.05	0.04631
GO:1990404	NAD+-protein ADP-ribosyltransferase acti...	1	1	0.05	0.04631
GO:0003713	transcription coactivator activity	19	3	0.88	0.05502
GO:0003779	actin binding	107	9	4.96	0.05920
GO:0003697	single-stranded DNA binding	20	3	0.93	0.06259
GO:0019899	enzyme binding	142	11	6.58	0.06449
GO:0019843	rRNA binding	21	3	0.97	0.07061
GO:0042054	histone methyltransferase activity	21	3	0.97	0.07061
GO:0015631	tubulin binding	95	8	4.4	0.07239
GO:0004540	RNA nuclease activity	49	5	2.27	0.07479
GO:0031593	polyubiquitin modification-dependent pro...	10	2	0.46	0.07525
GO:0043169	cation binding	1554	83	71.97	0.07613
GO:0004252	serine-type endopeptidase activity	50	5	2.32	0.08011
GO:0004857	enzyme inhibitor activity	50	5	2.32	0.08011
GO:0016773	phosphotransferase activity, alcohol gro...	385	24	17.83	0.08271
GO:0004519	endonuclease activity	66	6	3.06	0.08392
GO:0046872	metal ion binding	1543	82	71.46	0.08540
GO:0061629	RNA polymerase II-specific DNA-binding t...	11	2	0.51	0.08924
GO:0000828	inositol hexakisphosphate kinase activit...	2	1	0.09	0.09049
GO:0003785	actin monomer binding	2	1	0.09	0.09049
GO:0003871	5-methyltetrahydropteroyltriglutamate-ho...	2	1	0.09	0.09049
GO:0004037	allantoicase activity	2	1	0.09	0.09049
GO:0004088	carbamoyl-phosphate synthase (glutamine-...	2	1	0.09	0.09049
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthas...	2	1	0.09	0.09049
GO:0004385	guanylate kinase activity	2	1	0.09	0.09049
GO:0004474	malate synthase activity	2	1	0.09	0.09049
GO:0004475	mannose-1-phosphate guanylyltransferase ...	2	1	0.09	0.09049
GO:0004479	methionyl-tRNA formyltransferase activit...	2	1	0.09	0.09049
GO:0004658	propionyl-CoA carboxylase activity	2	1	0.09	0.09049
GO:0005523	tropomyosin binding	2	1	0.09	0.09049
GO:0005540	hyaluronic acid binding	2	1	0.09	0.09049
GO:0008191	metalloendopeptidase inhibitor activity	2	1	0.09	0.09049
GO:0015140	malate transmembrane transporter activit...	2	1	0.09	0.09049
