GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0003676	nucleic acid binding	1287	95	59.61	0.0014
GO:0005509	calcium ion binding	307	25	14.22	0.0041
GO:0042162	telomeric DNA binding	8	3	0.37	0.0046
GO:0030515	snoRNA binding	8	3	0.37	0.0046
GO:0140297	DNA-binding transcription factor binding	16	4	0.74	0.0053
GO:0003729	mRNA binding	47	7	2.18	0.0054
GO:0046974	histone H3K9 methyltransferase activity	3	2	0.14	0.0062
GO:0042802	identical protein binding	75	9	3.47	0.0074
GO:0003723	RNA binding	495	41	22.93	0.0087
GO:0003950	NAD+ ADP-ribosyltransferase activity	22	4	1.02	0.0170
GO:0005112	Notch binding	5	2	0.23	0.0195
GO:0070530	K63-linked polyubiquitin modification-de...	5	2	0.23	0.0195
GO:0004016	adenylate cyclase activity	5	2	0.23	0.0195
GO:0019904	protein domain specific binding	35	5	1.62	0.0214
GO:0005515	protein binding	852	59	39.46	0.0221
GO:0003677	DNA binding	587	40	27.19	0.0237
GO:0033218	amide binding	25	4	1.16	0.0264
GO:0003682	chromatin binding	37	5	1.71	0.0266
GO:0008236	serine-type peptidase activity	64	7	2.96	0.0276
GO:0017171	serine hydrolase activity	64	7	2.96	0.0276
GO:0044877	protein-containing complex binding	128	11	5.93	0.0346
GO:0004672	protein kinase activity	333	23	15.42	0.0347
GO:0008092	cytoskeletal protein binding	212	16	9.82	0.0365
GO:0043531	ADP binding	7	2	0.32	0.0385
GO:0043014	alpha-tubulin binding	7	2	0.32	0.0385
GO:0003690	double-stranded DNA binding	70	7	3.24	0.0423
GO:0016419	S-malonyltransferase activity	1	1	0.05	0.0463
GO:0004687	myosin light chain kinase activity	1	1	0.05	0.0463
GO:0003720	telomerase activity	1	1	0.05	0.0463
GO:0005123	death receptor binding	1	1	0.05	0.0463
GO:0046789	host cell surface receptor binding	1	1	0.05	0.0463
GO:0097110	scaffold protein binding	1	1	0.05	0.0463
GO:0050333	thiamine triphosphate phosphatase activi...	1	1	0.05	0.0463
GO:0008800	beta-lactamase activity	1	1	0.05	0.0463
GO:0032794	GTPase activating protein binding	1	1	0.05	0.0463
GO:0008758	UDP-2,3-diacylglucosamine hydrolase acti...	1	1	0.05	0.0463
GO:0140444	cytoskeleton-nuclear membrane anchor act...	1	1	0.05	0.0463
GO:0005521	lamin binding	1	1	0.05	0.0463
GO:0015459	potassium channel regulator activity	1	1	0.05	0.0463
GO:0003691	double-stranded telomeric DNA binding	1	1	0.05	0.0463
GO:0004314	[acyl-carrier-protein] S-malonyltransfer...	1	1	0.05	0.0463
GO:1990404	NAD+-protein ADP-ribosyltransferase acti...	1	1	0.05	0.0463
GO:0008481	sphinganine kinase activity	1	1	0.05	0.0463
GO:0003843	1,3-beta-D-glucan synthase activity	1	1	0.05	0.0463
GO:0016420	malonyltransferase activity	1	1	0.05	0.0463
GO:0046812	host cell surface binding	1	1	0.05	0.0463
GO:0003713	transcription coactivator activity	19	3	0.88	0.0550
GO:0003779	actin binding	107	9	4.96	0.0592
GO:0003697	single-stranded DNA binding	20	3	0.93	0.0626
GO:0019899	enzyme binding	142	11	6.58	0.0645
GO:0019843	rRNA binding	21	3	0.97	0.0706
GO:0015631	tubulin binding	95	8	4.4	0.0724
GO:0004540	RNA nuclease activity	49	5	2.27	0.0748
GO:0031593	polyubiquitin modification-dependent pro...	10	2	0.46	0.0753
GO:0004252	serine-type endopeptidase activity	50	5	2.32	0.0801
GO:0004857	enzyme inhibitor activity	50	5	2.32	0.0801
GO:0016773	phosphotransferase activity, alcohol gro...	385	24	17.83	0.0827
GO:0004519	endonuclease activity	66	6	3.06	0.0839
GO:0061629	RNA polymerase II-specific DNA-binding t...	11	2	0.51	0.0892
GO:0015288	porin activity	2	1	0.09	0.0905
GO:0004658	propionyl-CoA carboxylase activity	2	1	0.09	0.0905
GO:0003785	actin monomer binding	2	1	0.09	0.0905
GO:0032574	5'-3' RNA helicase activity	2	1	0.09	0.0905
GO:0034632	retinol transmembrane transporter activi...	2	1	0.09	0.0905
GO:0015232	heme transmembrane transporter activity	2	1	0.09	0.0905
GO:0008191	metalloendopeptidase inhibitor activity	2	1	0.09	0.0905
GO:0042085	5-methyltetrahydropteroyltri-L-glutamate...	2	1	0.09	0.0905
GO:0016247	channel regulator activity	2	1	0.09	0.0905
GO:0004474	malate synthase activity	2	1	0.09	0.0905
GO:0004475	mannose-1-phosphate guanylyltransferase ...	2	1	0.09	0.0905
GO:0004479	methionyl-tRNA formyltransferase activit...	2	1	0.09	0.0905
GO:0098847	sequence-specific single stranded DNA bi...	2	1	0.09	0.0905
GO:0000828	inositol hexakisphosphate kinase activit...	2	1	0.09	0.0905
GO:0016885	ligase activity, forming carbon-carbon b...	2	1	0.09	0.0905
GO:0017050	D-erythro-sphingosine kinase activity	2	1	0.09	0.0905
GO:0034511	U3 snoRNA binding	2	1	0.09	0.0905
GO:0015665	alcohol transmembrane transporter activi...	2	1	0.09	0.0905
GO:0043047	single-stranded telomeric DNA binding	2	1	0.09	0.0905
GO:0051880	G-quadruplex DNA binding	2	1	0.09	0.0905
GO:0015140	malate transmembrane transporter activit...	2	1	0.09	0.0905
GO:0036424	L-phosphoserine phosphatase activity	2	1	0.09	0.0905
GO:0032183	SUMO binding	2	1	0.09	0.0905
GO:0004385	guanylate kinase activity	2	1	0.09	0.0905
GO:0032977	membrane insertase activity	2	1	0.09	0.0905
GO:0005523	tropomyosin binding	2	1	0.09	0.0905
GO:0003871	5-methyltetrahydropteroyltriglutamate-ho...	2	1	0.09	0.0905
GO:0033818	beta-ketoacyl-acyl-carrier-protein synth...	2	1	0.09	0.0905
GO:0004088	carbamoyl-phosphate synthase (glutamine-...	2	1	0.09	0.0905
GO:0022829	wide pore channel activity	2	1	0.09	0.0905
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthas...	2	1	0.09	0.0905
GO:1901618	organic hydroxy compound transmembrane t...	2	1	0.09	0.0905
GO:0005540	hyaluronic acid binding	2	1	0.09	0.0905
GO:0099106	ion channel regulator activity	2	1	0.09	0.0905
GO:0140537	transcription regulator activator activi...	2	1	0.09	0.0905
GO:0016421	CoA carboxylase activity	2	1	0.09	0.0905
GO:0004037	allantoicase activity	2	1	0.09	0.0905
GO:0060090	molecular adaptor activity	52	5	2.41	0.0913
GO:0042803	protein homodimerization activity	24	3	1.11	0.0972
GO:0140678	molecular function inhibitor activity	53	5	2.45	0.0972
GO:0140030	modification-dependent protein binding	12	2	0.56	0.1039
GO:0009982	pseudouridine synthase activity	13	2	0.6	0.1192
GO:0016763	pentosyltransferase activity	41	4	1.9	0.1200
GO:0005488	binding	4361	234	201.97	0.1259
GO:0004521	RNA endonuclease activity	27	3	1.25	0.1272
GO:0003712	transcription coregulator activity	58	5	2.69	0.1295
GO:0099589	serotonin receptor activity	3	1	0.14	0.1326
GO:0008252	nucleotidase activity	3	1	0.14	0.1326
GO:0008253	5'-nucleotidase activity	3	1	0.14	0.1326
GO:0016251	RNA polymerase II general transcription ...	3	1	0.14	0.1326
GO:0004673	protein histidine kinase activity	3	1	0.14	0.1326
GO:0070840	dynein complex binding	3	1	0.14	0.1326
GO:0005125	cytokine activity	3	1	0.14	0.1326
GO:0003730	mRNA 3'-UTR binding	3	1	0.14	0.1326
GO:0008239	dipeptidyl-peptidase activity	3	1	0.14	0.1326
GO:0000155	phosphorelay sensor kinase activity	3	1	0.14	0.1326
GO:0102250	linear malto-oligosaccharide phosphoryla...	3	1	0.14	0.1326
GO:0043024	ribosomal small subunit binding	3	1	0.14	0.1326
GO:0008184	glycogen phosphorylase activity	3	1	0.14	0.1326
GO:0016208	AMP binding	3	1	0.14	0.1326
GO:0070742	C2H2 zinc finger domain binding	3	1	0.14	0.1326
GO:0140597	protein carrier chaperone	3	1	0.14	0.1326
GO:0031177	phosphopantetheine binding	3	1	0.14	0.1326
GO:0017154	semaphorin receptor activity	3	1	0.14	0.1326
GO:0031490	chromatin DNA binding	3	1	0.14	0.1326
GO:0043495	protein-membrane adaptor activity	3	1	0.14	0.1326
GO:0004861	cyclin-dependent protein serine/threonin...	3	1	0.14	0.1326
GO:0004993	G protein-coupled serotonin receptor act...	3	1	0.14	0.1326
GO:1990380	K48-linked deubiquitinase activity	3	1	0.14	0.1326
