GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006412	translation	286	59	19.66	4.0e-15
GO:0043043	peptide biosynthetic process	292	59	20.07	1.1e-14
GO:0006518	peptide metabolic process	306	60	21.03	2.6e-14
GO:0043604	amide biosynthetic process	307	60	21.1	3.0e-14
GO:0043603	amide metabolic process	350	61	24.05	3.8e-12
GO:0051649	establishment of localization in cell	294	54	20.21	9.1e-12
GO:0051641	cellular localization	428	67	29.42	4.6e-11
GO:0046907	intracellular transport	277	50	19.04	1.1e-10
GO:0010467	gene expression	1369	148	94.09	3.8e-10
GO:0045184	establishment of protein localization	268	47	18.42	1.2e-09
GO:0019538	protein metabolic process	1638	167	112.57	1.7e-09
GO:0015031	protein transport	262	46	18.01	1.7e-09
GO:0008104	protein localization	318	51	21.86	5.5e-09
GO:0070727	cellular macromolecule localization	318	51	21.86	5.5e-09
GO:0009059	macromolecule biosynthetic process	1535	156	105.5	1.1e-08
GO:0043170	macromolecule metabolic process	2837	248	194.98	6.5e-08
GO:0071705	nitrogen compound transport	322	48	22.13	1.7e-07
GO:0006886	intracellular protein transport	154	29	10.58	4.5e-07
GO:0033036	macromolecule localization	394	54	27.08	4.6e-07
GO:0008380	RNA splicing	130	26	8.93	5.3e-07
GO:1901566	organonitrogen compound biosynthetic pro...	604	73	41.51	6.2e-07
GO:0009057	macromolecule catabolic process	244	37	16.77	3.2e-06
GO:0030163	protein catabolic process	179	30	12.3	3.6e-06
GO:0051603	proteolysis involved in protein cataboli...	161	28	11.07	3.7e-06
GO:0007018	microtubule-based movement	94	20	6.46	4.1e-06
GO:0016192	vesicle-mediated transport	221	34	15.19	5.9e-06
GO:0044249	cellular biosynthetic process	1845	168	126.8	6.3e-06
GO:0006397	mRNA processing	158	27	10.86	7.8e-06
GO:0016071	mRNA metabolic process	186	30	12.78	8.1e-06
GO:1901800	positive regulation of proteasomal prote...	14	7	0.96	1.6e-05
GO:1901564	organonitrogen compound metabolic proces...	1986	176	136.49	1.9e-05
GO:0000375	RNA splicing, via transesterification re...	96	19	6.6	2.2e-05
GO:0000377	RNA splicing, via transesterification re...	96	19	6.6	2.2e-05
GO:0000398	mRNA splicing, via spliceosome	96	19	6.6	2.2e-05
GO:0003341	cilium movement	25	9	1.72	2.4e-05
GO:1901576	organic substance biosynthetic process	1887	168	129.69	2.7e-05
GO:1903052	positive regulation of proteolysis invol...	15	7	1.03	2.7e-05
GO:0034641	cellular nitrogen compound metabolic pro...	1740	157	119.58	2.8e-05
GO:0006807	nitrogen compound metabolic process	3161	257	217.25	3.9e-05
GO:0048193	Golgi vesicle transport	53	13	3.64	4.2e-05
GO:0045732	positive regulation of protein catabolic...	16	7	1.1	4.6e-05
GO:0009058	biosynthetic process	1915	168	131.61	6.5e-05
GO:0061136	regulation of proteasomal protein catabo...	17	7	1.17	7.3e-05
