GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006412	translation	286	59	19.66	1.9e-13
GO:0006886	intracellular protein transport	154	29	10.58	4.5e-07
GO:1901800	positive regulation of proteasomal prote...	14	7	0.96	1.6e-05
GO:0060294	cilium movement involved in cell motilit...	13	6	0.89	0.00012
GO:0006511	ubiquitin-dependent protein catabolic pr...	135	21	9.28	0.00031
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	27	8	1.86	0.00032
GO:0015031	protein transport	262	46	18.01	0.00060
GO:0006457	protein folding	78	14	5.36	0.00074
GO:0000387	spliceosomal snRNP assembly	12	5	0.82	0.00079
GO:0007018	microtubule-based movement	94	20	6.46	0.00097
GO:0050803	regulation of synapse structure or activ...	4	3	0.27	0.00122
GO:0060271	cilium assembly	73	13	5.02	0.00123
GO:0000398	mRNA splicing, via spliceosome	96	19	6.6	0.00143
GO:0016192	vesicle-mediated transport	221	34	15.19	0.00229
GO:0032482	Rab protein signal transduction	5	3	0.34	0.00290
GO:0046907	intracellular transport	277	50	19.04	0.00296
GO:0006413	translational initiation	63	11	4.33	0.00336
GO:0032486	Rap protein signal transduction	2	2	0.14	0.00471
GO:0099173	postsynapse organization	2	2	0.14	0.00471
GO:0010591	regulation of lamellipodium assembly	2	2	0.14	0.00471
GO:0099504	synaptic vesicle cycle	2	2	0.14	0.00471
GO:0006270	DNA replication initiation	11	4	0.76	0.00492
GO:0045116	protein neddylation	6	3	0.41	0.00551
GO:0043254	regulation of protein-containing complex...	18	5	1.24	0.00607
GO:0008380	RNA splicing	130	26	8.93	0.00622
GO:0035601	protein deacylation	12	4	0.82	0.00699
GO:0007163	establishment or maintenance of cell pol...	12	4	0.82	0.00699
GO:1902600	proton transmembrane transport	43	8	2.96	0.00800
GO:0007283	spermatogenesis	13	4	0.89	0.00955
GO:0070972	protein localization to endoplasmic reti...	13	4	0.89	0.00955
GO:0046034	ATP metabolic process	13	4	0.89	0.00955
GO:0030041	actin filament polymerization	20	5	1.37	0.00980
GO:0007015	actin filament organization	41	10	2.82	0.01174
