GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0005840	ribosome	132	47	8.77	1.3e-14
GO:1990904	ribonucleoprotein complex	285	69	18.94	1.8e-11
GO:0019773	proteasome core complex, alpha-subunit c...	7	6	0.47	5.5e-07
GO:0015935	small ribosomal subunit	18	9	1.2	6.5e-07
GO:0031514	motile cilium	42	13	2.79	1.7e-06
GO:0000502	proteasome complex	46	20	3.06	4.0e-06
GO:0140535	intracellular protein-containing complex	266	60	17.68	4.8e-06
GO:0005874	microtubule	76	17	5.05	6.8e-06
GO:0005930	axoneme	30	10	1.99	1.3e-05
GO:0005681	spliceosomal complex	51	13	3.39	1.9e-05
GO:0022625	cytosolic large ribosomal subunit	11	6	0.73	2.9e-05
GO:0030126	COPI vesicle coat	5	4	0.33	9.1e-05
GO:0030131	clathrin adaptor complex	8	6	0.53	0.00025
GO:0042555	MCM complex	6	4	0.4	0.00026
GO:0000159	protein phosphatase type 2A complex	3	3	0.2	0.00029
GO:1990234	transferase complex	189	32	12.56	0.00030
GO:0008180	COP9 signalosome	7	4	0.47	0.00057
GO:0043229	intracellular organelle	2902	262	192.84	0.00071
GO:0005665	RNA polymerase II, core complex	4	3	0.27	0.00111
GO:0032991	protein-containing complex	1271	210	84.46	0.00113
GO:0046540	U4/U6 x U5 tri-snRNP complex	9	4	0.6	0.00185
GO:0042995	cell projection	180	36	11.96	0.00238
GO:0033180	proton-transporting V-type ATPase, V1 do...	5	3	0.33	0.00263
GO:0005737	cytoplasm	2014	176	133.83	0.00315
GO:0030286	dynein complex	31	7	2.06	0.00353
GO:0043226	organelle	2970	273	197.36	0.00374
GO:0005686	U2 snRNP	2	2	0.13	0.00440
GO:0005688	U6 snRNP	2	2	0.13	0.00440
GO:0030904	retromer complex	2	2	0.13	0.00440
GO:0030122	AP-2 adaptor complex	2	2	0.13	0.00440
GO:0005832	chaperonin-containing T-complex	2	2	0.13	0.00440
GO:0005905	clathrin-coated pit	8	5	0.53	0.00494
GO:0005885	Arp2/3 protein complex	6	3	0.4	0.00501
GO:0005838	proteasome regulatory particle	6	3	0.4	0.00501
GO:0031461	cullin-RING ubiquitin ligase complex	43	8	2.86	0.00655
GO:0030864	cortical actin cytoskeleton	7	3	0.47	0.00833
GO:0005829	cytosol	213	30	14.15	0.01045
GO:0005871	kinesin complex	3	2	0.2	0.01263
GO:0005879	axonemal microtubule	3	2	0.2	0.01263
GO:0000428	DNA-directed RNA polymerase complex	54	11	3.59	0.01555
GO:0030880	RNA polymerase complex	54	11	3.59	0.01555
GO:0000151	ubiquitin ligase complex	59	12	3.92	0.01761
GO:0005622	intracellular anatomical structure	3472	316	230.71	0.01819
GO:0061695	transferase complex, transferring phosph...	77	13	5.12	0.02065
GO:0120025	plasma membrane bounded cell projection	164	32	10.9	0.02268
GO:0022626	cytosolic ribosome	15	8	1	0.02353
GO:0045261	proton-transporting ATP synthase complex...	4	2	0.27	0.02416
GO:0022627	cytosolic small ribosomal subunit	4	2	0.27	0.02416
GO:0098562	cytoplasmic side of membrane	4	2	0.27	0.02416
GO:0008250	oligosaccharyltransferase complex	4	2	0.27	0.02416
GO:0005881	cytoplasmic microtubule	4	2	0.27	0.02416
GO:0036064	ciliary basal body	10	3	0.66	0.02460
GO:0016469	proton-transporting two-sector ATPase co...	23	7	1.53	0.02728
GO:0005929	cilium	133	29	8.84	0.02749
GO:0043228	non-membrane-bounded organelle	807	116	53.62	0.02864
GO:0043232	intracellular non-membrane-bounded organ...	807	116	53.62	0.02864
GO:0012506	vesicle membrane	74	15	4.92	0.02945
GO:0030659	cytoplasmic vesicle membrane	74	15	4.92	0.02945
GO:0030120	vesicle coat	18	9	1.2	0.03100
GO:0044391	ribosomal subunit	41	18	2.72	0.03741
GO:0033178	proton-transporting two-sector ATPase co...	10	5	0.66	0.03801
GO:0030125	clathrin vesicle coat	7	4	0.47	0.03816
GO:0030139	endocytic vesicle	7	4	0.47	0.03816
GO:0030008	TRAPP complex	5	2	0.33	0.03851
GO:0030140	trans-Golgi network transport vesicle	5	2	0.33	0.03851
GO:0030130	clathrin coat of trans-Golgi network ves...	5	2	0.33	0.03851
GO:0031931	TORC1 complex	5	2	0.33	0.03851
GO:0012510	trans-Golgi network transport vesicle me...	5	2	0.33	0.03851
GO:0015934	large ribosomal subunit	23	9	1.53	0.03945
GO:0015630	microtubule cytoskeleton	187	29	12.43	0.04060
GO:0070993	translation preinitiation complex	13	3	0.86	0.05056
GO:0033290	eukaryotic 48S preinitiation complex	13	3	0.86	0.05056
GO:0016282	eukaryotic 43S preinitiation complex	13	3	0.86	0.05056
GO:0030660	Golgi-associated vesicle membrane	11	6	0.73	0.05431
GO:0005798	Golgi-associated vesicle	11	6	0.73	0.05431
GO:0030665	clathrin-coated vesicle membrane	8	4	0.53	0.05477
GO:0038201	TOR complex	6	2	0.4	0.05526
GO:0005791	rough endoplasmic reticulum	6	2	0.4	0.05526
GO:0060187	cell pole	6	2	0.4	0.05526
GO:0030867	rough endoplasmic reticulum membrane	6	2	0.4	0.05526
GO:0098588	bounding membrane of organelle	230	27	15.28	0.05737
GO:0031252	cell leading edge	14	3	0.93	0.06128
GO:0030658	transport vesicle membrane	14	3	0.93	0.06128
GO:0036464	cytoplasmic ribonucleoprotein granule	23	4	1.53	0.06227
GO:0035770	ribonucleoprotein granule	23	4	1.53	0.06227
GO:0140534	endoplasmic reticulum protein-containing...	23	4	1.53	0.06227
GO:0099080	supramolecular complex	143	25	9.5	0.06429
GO:0005736	RNA polymerase I complex	1	1	0.07	0.06645
GO:0005687	U4 snRNP	1	1	0.07	0.06645
GO:0030906	retromer, cargo-selective complex	1	1	0.07	0.06645
GO:0005700	polytene chromosome	1	1	0.07	0.06645
GO:0098556	cytoplasmic side of rough endoplasmic re...	1	1	0.07	0.06645
GO:0033017	sarcoplasmic reticulum membrane	1	1	0.07	0.06645
GO:0000421	autophagosome membrane	1	1	0.07	0.06645
GO:0000939	inner kinetochore	1	1	0.07	0.06645
GO:0005956	protein kinase CK2 complex	1	1	0.07	0.06645
GO:0097025	MPP7-DLG1-LIN7 complex	1	1	0.07	0.06645
GO:0070062	extracellular exosome	1	1	0.07	0.06645
GO:0071540	eukaryotic translation initiation factor...	1	1	0.07	0.06645
GO:0017054	negative cofactor 2 complex	1	1	0.07	0.06645
GO:0070390	transcription export complex 2	1	1	0.07	0.06645
GO:1902560	GMP reductase complex	1	1	0.07	0.06645
GO:0001740	Barr body	1	1	0.07	0.06645
GO:0000408	EKC/KEOPS complex	1	1	0.07	0.06645
GO:0000803	sex chromosome	1	1	0.07	0.06645
GO:0000805	X chromosome	1	1	0.07	0.06645
GO:0071439	clathrin complex	1	1	0.07	0.06645
GO:1903561	extracellular vesicle	1	1	0.07	0.06645
GO:0031465	Cul4B-RING E3 ubiquitin ligase complex	1	1	0.07	0.06645
GO:0031466	Cul5-RING ubiquitin ligase complex	1	1	0.07	0.06645
GO:0031467	Cul7-RING ubiquitin ligase complex	1	1	0.07	0.06645
GO:0031209	SCAR complex	1	1	0.07	0.06645
GO:0005903	brush border	1	1	0.07	0.06645
GO:0034657	GID complex	1	1	0.07	0.06645
GO:0005784	Sec61 translocon complex	1	1	0.07	0.06645
GO:0034998	oligosaccharyltransferase I complex	1	1	0.07	0.06645
GO:0071256	translocon complex	1	1	0.07	0.06645
GO:0016281	eukaryotic translation initiation factor...	1	1	0.07	0.06645
GO:0031415	NatA complex	1	1	0.07	0.06645
GO:0019774	proteasome core complex, beta-subunit co...	1	1	0.07	0.06645
GO:0030662	coated vesicle membrane	22	9	1.46	0.07047
GO:0005875	microtubule associated complex	46	10	3.06	0.07073
GO:0005852	eukaryotic translation initiation factor...	15	3	1	0.07296
GO:0055037	recycling endosome	7	2	0.47	0.07403
GO:0048500	signal recognition particle	7	2	0.47	0.07403
GO:0030175	filopodium	7	2	0.47	0.07403
GO:0005786	signal recognition particle, endoplasmic...	7	2	0.47	0.07403
GO:0033179	proton-transporting V-type ATPase, V0 do...	7	2	0.47	0.07403
GO:0030027	lamellipodium	7	2	0.47	0.07403
GO:0005654	nucleoplasm	144	17	9.57	0.07681
