GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0003735	structural constituent of ribosome	115	42	7.07	1.4e-22
GO:0005525	GTP binding	222	53	13.64	1.4e-18
GO:0003924	GTPase activity	172	44	10.57	1.7e-14
GO:0036402	proteasome-activating activity	7	6	0.43	3.5e-07
GO:0005524	ATP binding	895	90	55.01	7.2e-07
GO:0005200	structural constituent of cytoskeleton	11	6	0.68	1.8e-05
GO:0046961	proton-transporting ATPase activity, rot...	16	7	0.98	2.2e-05
GO:0140662	ATP-dependent protein folding chaperone	34	10	2.09	2.4e-05
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	18	7	1.11	5.5e-05
GO:0031683	G-protein beta/gamma-subunit complex bin...	6	4	0.37	0.00019
GO:0003925	G protein activity	6	4	0.37	0.00019
GO:0035615	clathrin adaptor activity	3	3	0.18	0.00023
GO:0051082	unfolded protein binding	29	8	1.78	0.00026
GO:0016887	ATP hydrolysis activity	155	21	9.53	0.00048
GO:0051959	dynein light intermediate chain binding	13	5	0.8	0.00073
GO:0008569	minus-end-directed microtubule motor act...	13	5	0.8	0.00073
GO:0003743	translation initiation factor activity	59	11	3.63	0.00079
GO:0031625	ubiquitin protein ligase binding	21	6	1.29	0.00128
GO:0046933	proton-transporting ATP synthase activit...	5	3	0.31	0.00210
GO:0045505	dynein intermediate chain binding	17	5	1.04	0.00286
GO:0000150	DNA strand exchange activity	2	2	0.12	0.00377
GO:0004579	dolichyl-diphosphooligosaccharide-protei...	2	2	0.12	0.00377
GO:0097602	cullin family protein binding	6	3	0.37	0.00401
GO:0140142	nucleocytoplasmic carrier activity	12	4	0.74	0.00469
GO:0003724	RNA helicase activity	45	8	2.77	0.00550
GO:0004707	MAP kinase activity	7	3	0.43	0.00670
GO:0003723	RNA binding	495	44	30.42	0.00758
GO:0019888	protein phosphatase regulator activity	14	4	0.86	0.00859
GO:0017018	myosin phosphatase activity	22	5	1.35	0.00944
GO:0031491	nucleosome binding	3	2	0.18	0.01085
GO:0005198	structural molecule activity	183	56	11.25	0.01273
GO:0106310	protein serine kinase activity	9	3	0.55	0.01466
GO:0030527	structural constituent of chromatin	9	3	0.55	0.01466
GO:0044877	protein-containing complex binding	128	18	7.87	0.01598
GO:0004386	helicase activity	104	16	6.39	0.02510
GO:0005515	protein binding	852	82	52.37	0.02927
GO:0030276	clathrin binding	8	5	0.49	0.03288
GO:0005488	binding	4361	330	268.04	0.03310
GO:0045296	cadherin binding	5	2	0.31	0.03329
GO:0045504	dynein heavy chain binding	5	2	0.31	0.03329
GO:0046982	protein heterodimerization activity	30	5	1.84	0.03417
GO:0019843	rRNA binding	21	4	1.29	0.03659
GO:0045182	translation regulator activity	92	16	5.65	0.04600
