GCF_016699485.2	Ggal	Gallus_gallus	Aves
GCF_004115215.2	Oana	Ornithorhynchus_anatinus	Prototheria
GCF_027887165.1	Mdom	Monodelphis_domestica	Marsupialia
GCF_902635505.1	Shar	Sarcophilus_harrisii	Marsupialia
GCF_030445035.1	Dnov	Dasypus_novemcinctus	Xenarthra
GCF_015220235.1	Cdid	Choloepus_didactylus	Xenarthra
GCF_024166365.1	Emax	Elephas_maximus_indicus	Afrotheria
GCF_000243295.1	Tman	Trichechus_manatus_latirostris	Afrotheria
GCF_000296735.1	Casi	Chrysochloris_asiatica	Afrotheria
GCF_000298275.1	Oafe	Orycteropus_afer_afer	Afrotheria
GCF_014570535.1	Mjav	Manis_javanica	Laurasiatheria
GCF_011100685.1	Clup	Canis_lupus_familiaris	Laurasiatheria
GCF_018350195.1	Ptig	Panthera_tigris	Laurasiatheria
GCF_002007445.2	Amel	Ailuropoda_melanoleuca	Laurasiatheria
GCF_021288785.2	Mang	Mirounga_angustirostris	Laurasiatheria
GCF_021613505.1	Equa	Equus_quagga	Laurasiatheria
GCF_000283155.1	Csim	Ceratotherium_simum_simum	Laurasiatheria
GCF_016906955.1	Pafr	Phacochoerus_africanus	Laurasiatheria
GCF_011762595.1	Ttru	Tursiops_truncatus	Laurasiatheria
GCF_000803125.2	Cdro	Camelus_dromedarius	Laurasiatheria
GCF_009873245.2	Bmus	Balaenoptera_musculus	Laurasiatheria
GCF_019923935.1	Bbub	Bubalus_bubalis	Laurasiatheria
GCF_030028045.1	Hamp	Hippopotamus_amphibius_kiboko	Laurasiatheria
GCF_004115265.2	Rfer	Rhinolophus_ferrumequinum	Laurasiatheria
GCF_022682495.1	Drot	Desmodus_rotundus	Laurasiatheria
GCF_902729225.1	Pgig	Pteropus_giganteus	Laurasiatheria
GCF_000001405.40	Hsap	Homo_sapiens	Laurasiatheria
GCF_001604975.1	Cimi	Cebus_imitator	Euarchontoglires
GCF_020740605.2	Lcat	Lemur_catta	Euarchontoglires
GCF_030435755.1	Opri	Ochotona_princeps	Euarchontoglires
GCF_000151735.1	Cpor	Cavia_porcellus	Euarchontoglires
GCF_902686445.1	Scar	Sciurus_carolinensis	Euarchontoglires
GCF_000001635.27	Mmus	Mus_musculus	Tetrapoda
