sox_disco_tree1.nwk	OG26_sox-9_sox-9
sox_disco_tree2.nwk	OG5_sox-8_sox-8
sox_disco_tree3.nwk	OG31_sox-6_sox-6
sox_disco_tree4.nwk	OG30_sox-13_sox-13
sox_disco_tree5.nwk	OG11_sox-12_sox-12
sox_disco_tree6.nwk	OG12_sox-11_sox-11
sox_disco_tree7.nwk	OG13_sox-3/sry_sox-3/sry
sox_disco_tree8.nwk	OG23_sox-21_sox-21
sox_disco_tree9.nwk	OG21_sox-2_sox-2
sox_disco_tree10.nwk	OG17_sox-1_sox-1
sox_disco_tree11.nwk	OG13_sox-3/sry_sox-3,OG13_sox-3/sry_sox-3/sry
sox_disco_tree12.nwk	OG9_sox-15_sox-15
sox_disco_tree13.nwk	OG22_sox-14_sox-14
sox_disco_tree14.nwk	OG8_sox-4_sox-4
sox_disco_tree15.nwk	OG4_sox-30_sox-30
sox_disco_tree16.nwk	OG27_sox-10_sox-10
sox_disco_tree17.nwk	OG3_sox-7_sox-7
sox_disco_tree18.nwk	OG0_sox-18_sox-18,OG1_sox-18_sox-18,OG32_sox-18_sox-18,OG33_NA_NA,OG34_NA_NA
sox_disco_tree19.nwk	OG2_sox-17_sox-17
