alignment	model
13_distribution_divergence/01_input_alignments/dmrt_disco_tree1_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/dmrt_disco_tree2_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/dmrt_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/dmrt_disco_tree4_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/dmrt_disco_tree5_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/dmrt_disco_tree6_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/dmrt_disco_tree7_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree10_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree11_aligned_trim.faa	Dayhoff
13_distribution_divergence/01_input_alignments/fox_disco_tree12_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree13_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree14_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree15_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree16_aligned_trim.faa	Dayhoff
13_distribution_divergence/01_input_alignments/fox_disco_tree17_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree18_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree19_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree20_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree21_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree22_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree23_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree24_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree25_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree26_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree27_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree28_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree29_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree2_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree30_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree31_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree32_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree33_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree34_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree35_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree36_aligned_trim.faa	Dayhoff
13_distribution_divergence/01_input_alignments/fox_disco_tree37_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree38_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree39_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree40_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree41_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree42_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree4_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree5_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree6_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree7_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/fox_disco_tree8_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/fox_disco_tree9_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree10_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree11_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree12_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree14_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree15_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree16_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree17_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree18_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree19_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree20_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree21_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree22_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree23_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree24_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree25_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree26_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree27_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree28_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree29_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree30_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree31_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree32_aligned_trim.faa	HIVw
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree33_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree34_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree35_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree36_aligned_trim.faa	JTT
