GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006955	immune response	1297	120	38.75	1.2e-30
GO:0098542	defense response to other organism	853	90	25.48	1.1e-26
GO:0006952	defense response	1332	110	39.79	9.9e-24
GO:0043207	response to external biotic stimulus	1125	99	33.61	2.8e-23
GO:0009607	response to biotic stimulus	1159	100	34.62	7.1e-23
GO:0051707	response to other organism	1121	98	33.49	8.0e-23
GO:0002376	immune system process	2110	141	63.03	8.0e-22
GO:0045087	innate immune response	647	69	19.33	1.2e-20
GO:0044419	biological process involved in interspec...	1270	100	37.94	6.0e-20
GO:0050776	regulation of immune response	679	62	20.28	2.5e-15
GO:0050778	positive regulation of immune response	419	47	12.52	4.0e-15
GO:0002684	positive regulation of immune system pro...	713	60	21.3	2.8e-13
GO:0002682	regulation of immune system process	1184	82	35.37	3.6e-13
GO:0001775	cell activation	884	68	26.41	4.4e-13
GO:0042742	defense response to bacterium	233	32	6.96	5.0e-13
GO:0009617	response to bacterium	531	50	15.86	5.1e-13
GO:0002250	adaptive immune response	342	39	10.22	6.0e-13
GO:0002252	immune effector process	499	48	14.91	7.0e-13
GO:0002443	leukocyte mediated immunity	308	36	9.2	2.3e-12
GO:0045321	leukocyte activation	761	60	22.73	4.5e-12
GO:0009605	response to external stimulus	2216	118	66.2	7.3e-11
GO:0002274	myeloid leukocyte activation	195	26	5.83	1.6e-10
GO:0002703	regulation of leukocyte mediated immunit...	186	25	5.56	3.0e-10
GO:0002449	lymphocyte mediated immunity	221	27	6.6	5.2e-10
GO:0001819	positive regulation of cytokine producti...	402	37	12.01	1.2e-09
GO:0050865	regulation of cell activation	500	42	14.94	1.4e-09
GO:0002697	regulation of immune effector process	308	31	9.2	3.4e-09
GO:0051607	defense response to virus	257	28	7.68	3.4e-09
GO:0002694	regulation of leukocyte activation	456	39	13.62	3.5e-09
GO:0140546	defense response to symbiont	258	28	7.71	3.7e-09
GO:0019221	cytokine-mediated signaling pathway	382	35	11.41	3.9e-09
GO:0002253	activation of immune response	233	26	6.96	7.6e-09
GO:0007338	single fertilization	138	19	4.12	2.8e-08
GO:0001906	cell killing	153	20	4.57	3.0e-08
GO:0002460	adaptive immune response based on somati...	238	25	7.11	5.0e-08
GO:0001817	regulation of cytokine production	630	45	18.82	5.3e-08
GO:0050829	defense response to Gram-negative bacter...	66	13	1.97	6.1e-08
GO:0009615	response to virus	331	30	9.89	6.7e-08
GO:0001816	cytokine production	636	45	19	7.1e-08
GO:0006959	humoral immune response	177	21	5.29	7.5e-08
GO:0002706	regulation of lymphocyte mediated immuni...	134	18	4	9.6e-08
GO:0002819	regulation of adaptive immune response	156	19	4.66	2.1e-07
GO:0002822	regulation of adaptive immune response b...	142	18	4.24	2.4e-07
GO:0045089	positive regulation of innate immune res...	113	16	3.38	2.4e-07
GO:0046649	lymphocyte activation	622	43	18.58	2.7e-07
GO:0031347	regulation of defense response	516	38	15.41	2.9e-07
GO:0050909	sensory perception of taste	52	11	1.55	3.0e-07
GO:0002768	immune response-regulating cell surface ...	177	20	5.29	3.4e-07
GO:0007342	fusion of sperm to egg plasma membrane i...	25	8	0.75	4.1e-07
GO:0050913	sensory perception of bitter taste	34	9	1.02	4.7e-07
GO:0009566	fertilization	168	19	5.02	6.6e-07
GO:0002764	immune response-regulating signaling pat...	329	28	9.83	6.7e-07
GO:0002456	T cell mediated immunity	82	13	2.45	8.7e-07
GO:0031349	positive regulation of defense response	240	23	7.17	8.9e-07
GO:0031341	regulation of cell killing	71	12	2.12	1.1e-06
GO:0071345	cellular response to cytokine stimulus	658	43	19.66	1.2e-06
GO:0001580	detection of chemical stimulus involved ...	29	8	0.87	1.5e-06
GO:0045026	plasma membrane fusion	29	8	0.87	1.5e-06
GO:0002823	negative regulation of adaptive immune r...	39	9	1.17	1.7e-06
GO:0034097	response to cytokine	739	46	22.08	1.9e-06
GO:0002251	organ or tissue specific immune response	22	7	0.66	2.3e-06
GO:0070661	leukocyte proliferation	273	24	8.16	2.4e-06
GO:0002444	myeloid leukocyte mediated immunity	90	13	2.69	2.6e-06
GO:0002820	negative regulation of adaptive immune r...	42	9	1.25	3.2e-06
GO:0002366	leukocyte activation involved in immune ...	244	22	7.29	4.2e-06
GO:0002699	positive regulation of immune effector p...	208	20	6.21	4.4e-06
GO:0002263	cell activation involved in immune respo...	247	22	7.38	5.1e-06
GO:0050912	detection of chemical stimulus involved ...	34	8	1.02	5.5e-06
GO:0051249	regulation of lymphocyte activation	388	29	11.59	5.7e-06
GO:0070663	regulation of leukocyte proliferation	212	20	6.33	5.8e-06
GO:0042110	T cell activation	432	31	12.91	6.3e-06
GO:0006950	response to stress	3207	135	95.8	6.6e-06
