GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0050829	defense response to Gram-negative bacter...	66	13	1.97	6.1e-08
GO:0007342	fusion of sperm to egg plasma membrane i...	25	8	0.75	4.1e-07
GO:0001580	detection of chemical stimulus involved ...	29	8	0.87	1.5e-06
GO:0045087	innate immune response	647	69	19.33	1.6e-06
GO:0051607	defense response to virus	257	28	7.68	4.9e-06
GO:0002250	adaptive immune response	342	39	10.22	1.4e-05
GO:0019221	cytokine-mediated signaling pathway	382	35	11.41	2.6e-05
GO:0002218	activation of innate immune response	45	8	1.34	4.9e-05
GO:0050830	defense response to Gram-positive bacter...	87	11	2.6	5.4e-05
GO:0007339	binding of sperm to zona pellucida	35	7	1.05	6.6e-05
GO:0002444	myeloid leukocyte mediated immunity	90	13	2.69	8.0e-05
GO:0061760	antifungal innate immune response	17	5	0.51	0.00011
GO:0071222	cellular response to lipopolysaccharide	164	15	4.9	0.00012
GO:0019731	antibacterial humoral response	40	7	1.19	0.00016
GO:0002825	regulation of T-helper 1 type immune res...	29	6	0.87	0.00018
GO:0042102	positive regulation of T cell proliferat...	85	10	2.54	0.00022
GO:0002227	innate immune response in mucosa	11	4	0.33	0.00022
GO:0038095	Fc-epsilon receptor signaling pathway	5	3	0.15	0.00025
GO:0045959	negative regulation of complement activa...	5	3	0.15	0.00025
GO:0035458	cellular response to interferon-beta	21	5	0.63	0.00032
GO:0042119	neutrophil activation	32	6	0.96	0.00032
GO:0042742	defense response to bacterium	233	32	6.96	0.00036
GO:0010466	negative regulation of peptidase activit...	163	14	4.87	0.00039
GO:0043299	leukocyte degranulation	62	10	1.85	0.00050
GO:0035455	response to interferon-alpha	14	4	0.42	0.00062
GO:0048240	sperm capacitation	25	5	0.75	0.00075
GO:0001914	regulation of T cell mediated cytotoxici...	25	5	0.75	0.00075
GO:0032760	positive regulation of tumor necrosis fa...	84	9	2.51	0.00089
GO:0097528	execution phase of necroptosis	2	2	0.06	0.00089
GO:1903660	negative regulation of complement-depend...	2	2	0.06	0.00089
GO:0030887	positive regulation of myeloid dendritic...	2	2	0.06	0.00089
GO:0030101	natural killer cell activation	66	10	1.97	0.00092
