GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0009897	external side of plasma membrane	308	41	9.84	7.5e-15
GO:0009986	cell surface	722	61	23.07	3.1e-12
GO:0098552	side of membrane	575	52	18.37	1.2e-11
GO:0005576	extracellular region	3078	147	98.34	7.9e-08
GO:0106333	subcortical maternal complex	4	4	0.13	1.0e-06
GO:0061827	sperm head	15	6	0.48	4.0e-06
GO:1990913	sperm head plasma membrane	7	4	0.22	3.3e-05
GO:0097524	sperm plasma membrane	13	5	0.42	3.4e-05
GO:0033011	perinuclear theca	5	3	0.16	0.00031
GO:0005615	extracellular space	2444	107	78.08	0.00031
GO:0005893	interleukin-2 receptor complex	2	2	0.06	0.00102
GO:0002080	acrosomal membrane	28	5	0.89	0.00174
GO:0032998	Fc-epsilon receptor I complex	3	2	0.1	0.00299
GO:0033150	cytoskeletal calyx	3	2	0.1	0.00299
GO:0001669	acrosomal vesicle	120	10	3.83	0.00511
GO:0032997	Fc receptor complex	4	2	0.13	0.00586
GO:0036126	sperm flagellum	142	11	4.54	0.00589
GO:0061702	inflammasome complex	13	3	0.42	0.00730
GO:0031528	microvillus membrane	26	4	0.83	0.00881
GO:0048476	Holliday junction resolvase complex	5	2	0.16	0.00955
GO:0098635	protein complex involved in cell-cell ad...	5	2	0.16	0.00955
GO:0097729	9+2 motile cilium	155	11	4.95	0.01108
GO:1905347	endodeoxyribonuclease complex	6	2	0.19	0.01403
GO:0097228	sperm principal piece	30	4	0.96	0.01460
GO:0019814	immunoglobulin complex	7	2	0.22	0.01923
GO:0030141	secretory granule	317	17	10.13	0.02641
GO:0030667	secretory granule membrane	76	6	2.43	0.03444
GO:0034362	low-density lipoprotein particle	10	2	0.32	0.03868
GO:0034358	plasma lipoprotein particle	25	3	0.8	0.04428
GO:1990777	lipoprotein particle	25	3	0.8	0.04428
GO:0072562	blood microparticle	82	6	2.62	0.04716
GO:0032994	protein-lipid complex	27	3	0.86	0.05376
GO:0033557	Slx1-Slx4 complex	2	1	0.06	0.06288
