GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0030246	carbohydrate binding	226	21	7.33	1.5e-05
GO:0140375	immune receptor activity	116	20	3.76	3.0e-05
GO:0033691	sialic acid binding	14	5	0.45	5.5e-05
GO:0033038	bitter taste receptor activity	15	5	0.49	8.1e-05
GO:0015026	coreceptor activity	46	8	1.49	0.00010
GO:0019863	IgE binding	5	3	0.16	0.00032
GO:0001851	complement component C3b binding	5	3	0.16	0.00032
GO:0004867	serine-type endopeptidase inhibitor acti...	92	10	2.98	0.00078
GO:0008009	chemokine activity	35	6	1.13	0.00082
GO:0031737	CX3C chemokine receptor binding	2	2	0.06	0.00105
GO:0034987	immunoglobulin receptor binding	7	3	0.23	0.00108
GO:0004252	serine-type endopeptidase activity	153	13	4.96	0.00144
GO:0004869	cysteine-type endopeptidase inhibitor ac...	40	6	1.3	0.00169
GO:0048018	receptor ligand activity	423	30	13.71	0.00172
GO:0019767	IgE receptor activity	3	2	0.1	0.00308
GO:0042010	interleukin-15 receptor activity	3	2	0.1	0.00308
GO:0019976	interleukin-2 binding	3	2	0.1	0.00308
GO:0004911	interleukin-2 receptor activity	3	2	0.1	0.00308
GO:0140608	cysteine-type endopeptidase activator ac...	3	2	0.1	0.00308
GO:0048020	CCR chemokine receptor binding	36	5	1.17	0.00577
GO:0030883	endogenous lipid antigen binding	4	2	0.13	0.00603
GO:0030884	exogenous lipid antigen binding	4	2	0.13	0.00603
GO:0005132	type I interferon receptor binding	4	2	0.13	0.00603
GO:0023024	MHC class I protein complex binding	4	2	0.13	0.00603
GO:0004904	interferon receptor activity	4	2	0.13	0.00603
GO:0045236	CXCR chemokine receptor binding	13	3	0.42	0.00760
GO:0034584	piRNA binding	5	2	0.16	0.00983
GO:0019864	IgG binding	5	2	0.16	0.00983
GO:0038187	pattern recognition receptor activity	27	4	0.88	0.01060
GO:0001530	lipopolysaccharide binding	31	4	1.01	0.01717
GO:0004896	cytokine receptor activity	92	12	2.98	0.01826
GO:0019865	immunoglobulin binding	16	7	0.52	0.01942
GO:0005179	hormone activity	105	8	3.4	0.02078
GO:0004875	complement receptor activity	8	2	0.26	0.02580
GO:0005537	mannose binding	21	3	0.68	0.02919
GO:0001618	virus receptor activity	55	5	1.78	0.03236
GO:0061685	diphthine methylesterase activity	1	1	0.03	0.03242
GO:0005144	interleukin-13 receptor binding	1	1	0.03	0.03242
GO:0001791	IgM binding	1	1	0.03	0.03242
GO:0062080	inhibitory MHC class Ib receptor activit...	1	1	0.03	0.03242
GO:0062082	HLA-E specific inhibitory MHC class Ib r...	1	1	0.03	0.03242
