GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0009897	external side of plasma membrane	308	52	12.43	9.4e-19
GO:0005576	extracellular region	3078	186	124.23	1.2e-06
GO:1990913	sperm head plasma membrane	7	5	0.28	2.1e-06
GO:0106333	subcortical maternal complex	4	4	0.16	2.6e-06
GO:0005615	extracellular space	2444	137	98.64	2.4e-05
GO:0002080	acrosomal membrane	28	6	1.13	0.00074
GO:0097228	sperm principal piece	30	6	1.21	0.00109
GO:0005893	interleukin-2 receptor complex	2	2	0.08	0.00163
GO:0031528	microvillus membrane	26	5	1.05	0.00343
GO:0032998	Fc-epsilon receptor I complex	3	2	0.12	0.00475
GO:0033150	cytoskeletal calyx	3	2	0.12	0.00475
GO:0005854	nascent polypeptide-associated complex	4	2	0.16	0.00924
GO:0061702	inflammasome complex	13	3	0.52	0.01383
GO:0036128	CatSper complex	13	3	0.52	0.01383
GO:0009986	cell surface	722	77	29.14	0.01464
GO:0048476	Holliday junction resolvase complex	5	2	0.2	0.01500
GO:0098635	protein complex involved in cell-cell ad...	5	2	0.2	0.01500
GO:1905347	endodeoxyribonuclease complex	6	2	0.24	0.02190
GO:0035686	sperm fibrous sheath	7	2	0.28	0.02984
GO:0019814	immunoglobulin complex	7	2	0.28	0.02984
GO:0061827	sperm head	15	7	0.61	0.03822
GO:1990512	Cry-Per complex	1	1	0.04	0.04036
GO:0061832	basal ectoplasmic specialization	1	1	0.04	0.04036
GO:0001931	uropod	9	2	0.36	0.04850
GO:0045095	keratin filament	52	5	2.1	0.05781
GO:0031254	cell trailing edge	10	2	0.4	0.05904
GO:0034362	low-density lipoprotein particle	10	2	0.4	0.05904
GO:0001669	acrosomal vesicle	120	13	4.84	0.07576
GO:1990777	lipoprotein particle	25	3	1.01	0.07797
GO:0034358	plasma lipoprotein particle	25	3	1.01	0.07797
GO:0033011	perinuclear theca	5	3	0.2	0.07887
GO:0097233	alveolar lamellar body membrane	2	1	0.08	0.07910
GO:0106139	symbiont cell surface	2	1	0.08	0.07910
GO:0071914	prominosome	2	1	0.08	0.07910
GO:0033557	Slx1-Slx4 complex	2	1	0.08	0.07910
GO:0032994	protein-lipid complex	27	3	1.09	0.09356
GO:0072562	blood microparticle	82	6	3.31	0.11350
GO:0097232	lamellar body membrane	3	1	0.12	0.11627
GO:0005896	interleukin-6 receptor complex	3	1	0.12	0.11627
GO:0097169	AIM2 inflammasome complex	3	1	0.12	0.11627
GO:0042629	mast cell granule	3	1	0.12	0.11627
GO:1905721	mitotic spindle astral microtubule end	3	1	0.12	0.11627
GO:0032002	interleukin-28 receptor complex	3	1	0.12	0.11627
GO:0090724	central region of growth cone	3	1	0.12	0.11627
GO:0042571	immunoglobulin complex, circulating	3	1	0.12	0.11627
GO:0098592	cytoplasmic side of apical plasma membra...	3	1	0.12	0.11627
GO:0019185	snRNA-activating protein complex	3	1	0.12	0.11627
GO:0030526	granulocyte macrophage colony-stimulatin...	3	1	0.12	0.11627
GO:0044217	other organism part	3	1	0.12	0.11627
GO:0072558	NLRP1 inflammasome complex	3	1	0.12	0.11627
GO:0070522	ERCC4-ERCC1 complex	3	1	0.12	0.11627
GO:0034451	centriolar satellite	103	7	4.16	0.12271
GO:0034361	very-low-density lipoprotein particle	16	2	0.65	0.13456
GO:0034385	triglyceride-rich plasma lipoprotein par...	16	2	0.65	0.13456
GO:0045111	intermediate filament cytoskeleton	146	9	5.89	0.13655
GO:0043159	acrosomal matrix	4	1	0.16	0.15195
GO:0030870	Mre11 complex	4	1	0.16	0.15195
GO:1990742	microvesicle	4	1	0.16	0.15195
GO:0097342	ripoptosome	4	1	0.16	0.15195
GO:0002081	outer acrosomal membrane	4	1	0.16	0.15195
GO:0002079	inner acrosomal membrane	4	1	0.16	0.15195
GO:0035805	egg coat	4	1	0.16	0.15195
GO:0019815	B cell receptor complex	4	1	0.16	0.15195
GO:0031265	CD95 death-inducing signaling complex	4	1	0.16	0.15195
GO:0034271	phosphatidylinositol 3-kinase complex, c...	4	1	0.16	0.15195
GO:0034272	phosphatidylinositol 3-kinase complex, c...	4	1	0.16	0.15195
GO:0035363	histone locus body	4	1	0.16	0.15195
GO:0036126	sperm flagellum	142	13	5.73	0.16252
GO:0034364	high-density lipoprotein particle	18	2	0.73	0.16294
GO:0005882	intermediate filament	114	7	4.6	0.17758
GO:0030141	secretory granule	317	21	12.79	0.18489
