GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0140375	immune receptor activity	116	22	4.59	7.9e-10
GO:0061135	endopeptidase regulator activity	167	23	6.6	1.8e-07
GO:0030414	peptidase inhibitor activity	163	22	6.44	4.7e-07
GO:0004866	endopeptidase inhibitor activity	154	21	6.09	7.2e-07
GO:0005125	cytokine activity	194	24	7.67	7.3e-07
GO:0030545	signaling receptor regulator activity	455	41	17.99	7.7e-07
GO:0048018	receptor ligand activity	423	39	16.72	8.2e-07
GO:0030546	signaling receptor activator activity	429	39	16.96	1.2e-06
GO:0019865	immunoglobulin binding	16	7	0.63	1.2e-06
GO:0061134	peptidase regulator activity	206	24	8.14	2.2e-06
GO:0042379	chemokine receptor binding	53	11	2.1	5.7e-06
GO:0008009	chemokine activity	35	9	1.38	6.2e-06
GO:0033691	sialic acid binding	14	6	0.55	8.5e-06
GO:0030246	carbohydrate binding	226	24	8.93	1.1e-05
GO:0004896	cytokine receptor activity	92	14	3.64	1.4e-05
GO:0005126	cytokine receptor binding	216	23	8.54	1.6e-05
GO:0004867	serine-type endopeptidase inhibitor acti...	92	13	3.64	6.4e-05
GO:0048020	CCR chemokine receptor binding	36	8	1.42	6.5e-05
GO:0001848	complement binding	19	6	0.75	6.5e-05
GO:0038023	signaling receptor activity	1392	83	55.03	9.1e-05
GO:0060089	molecular transducer activity	1392	83	55.03	9.1e-05
GO:0004857	enzyme inhibitor activity	334	28	13.2	0.00015
GO:0033038	bitter taste receptor activity	15	5	0.59	0.00020
GO:0015026	coreceptor activity	46	8	1.82	0.00039
GO:0005102	signaling receptor binding	1233	72	48.74	0.00050
GO:0001851	complement component C3b binding	5	3	0.2	0.00058
GO:0019863	IgE binding	5	3	0.2	0.00058
GO:0004869	cysteine-type endopeptidase inhibitor ac...	40	7	1.58	0.00087
GO:0008527	taste receptor activity	20	5	0.79	0.00090
GO:0005035	death receptor activity	12	4	0.47	0.00093
GO:0004175	endopeptidase activity	396	29	15.66	0.00109
GO:0019763	immunoglobulin receptor activity	6	3	0.24	0.00112
GO:0031849	olfactory receptor binding	6	3	0.24	0.00112
GO:0045236	CXCR chemokine receptor binding	13	4	0.51	0.00130
GO:0004912	interleukin-3 receptor activity	2	2	0.08	0.00156
GO:0016503	pheromone receptor activity	2	2	0.08	0.00156
