GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0010467	gene expression	4917	436	263.55	< 1e-30
GO:0008380	RNA splicing	391	96	20.96	< 1e-30
GO:0043170	macromolecule metabolic process	7811	591	418.66	< 1e-30
GO:0016071	mRNA metabolic process	645	123	34.57	< 1e-30
GO:0006397	mRNA processing	427	98	22.89	< 1e-30
GO:0016070	RNA metabolic process	3690	354	197.78	< 1e-30
GO:0000375	RNA splicing, via transesterification re...	278	77	14.9	< 1e-30
GO:0000377	RNA splicing, via transesterification re...	275	75	14.74	< 1e-30
GO:0000398	mRNA splicing, via spliceosome	275	75	14.74	< 1e-30
GO:0051171	regulation of nitrogen compound metaboli...	4550	398	243.87	< 1e-30
GO:0090304	nucleic acid metabolic process	4189	373	224.53	1.5e-30
GO:0080090	regulation of primary metabolic process	4683	402	251	3.0e-30
GO:0019538	protein metabolic process	4615	396	247.36	1.6e-29
GO:0006807	nitrogen compound metabolic process	8226	591	440.9	2.4e-29
GO:0006396	RNA processing	845	130	45.29	5.4e-29
GO:0031323	regulation of cellular metabolic process	4527	389	242.64	6.6e-29
GO:0060255	regulation of macromolecule metabolic pr...	4988	414	267.35	4.2e-28
GO:0034641	cellular nitrogen compound metabolic pro...	5355	435	287.02	5.0e-28
GO:0051252	regulation of RNA metabolic process	2983	289	159.89	6.5e-28
GO:0019222	regulation of metabolic process	5451	440	292.17	7.3e-28
GO:0009059	macromolecule biosynthetic process	3863	343	207.05	5.7e-27
GO:0044260	cellular macromolecule metabolic process	2760	271	147.93	9.7e-27
GO:0019219	regulation of nucleobase-containing comp...	3256	302	174.52	4.4e-26
GO:0010468	regulation of gene expression	3923	343	210.27	1.2e-25
GO:0044271	cellular nitrogen compound biosynthetic ...	3875	340	207.7	1.2e-25
GO:0051173	positive regulation of nitrogen compound...	2569	255	137.7	1.4e-25
GO:0006412	translation	622	103	33.34	1.7e-25
GO:0043043	peptide biosynthetic process	640	103	34.3	1.7e-24
GO:0006139	nucleobase-containing compound metabolic...	4652	383	249.34	2.8e-24
GO:0044265	cellular macromolecule catabolic process	892	125	47.81	4.7e-24
GO:0010604	positive regulation of macromolecule met...	2878	271	154.26	7.8e-24
GO:0031325	positive regulation of cellular metaboli...	2539	248	136.09	9.9e-24
GO:0051254	positive regulation of RNA metabolic pro...	1534	175	82.22	2.9e-23
GO:0031326	regulation of cellular biosynthetic proc...	3262	294	174.84	3.9e-23
GO:0045935	positive regulation of nucleobase-contai...	1708	187	91.55	7.7e-23
GO:0044237	cellular metabolic process	8174	570	438.12	8.1e-23
GO:0009889	regulation of biosynthetic process	3312	296	177.52	9.9e-23
GO:0010556	regulation of macromolecule biosynthetic...	3142	285	168.41	1.1e-22
GO:0044238	primary metabolic process	8649	593	463.58	1.2e-22
GO:0046483	heterocycle metabolic process	4791	385	256.79	2.7e-22
GO:0009057	macromolecule catabolic process	1203	147	64.48	3.0e-22
GO:0002181	cytoplasmic translation	123	41	6.59	3.4e-22
GO:0009893	positive regulation of metabolic process	3151	284	168.89	3.6e-22
GO:1903311	regulation of mRNA metabolic process	263	59	14.1	1.6e-21
GO:0006725	cellular aromatic compound metabolic pro...	4841	385	259.47	2.1e-21
GO:0044085	cellular component biogenesis	2814	259	150.83	4.0e-21
GO:0043604	amide biosynthetic process	752	107	40.31	4.2e-21
GO:0071840	cellular component organization or bioge...	5692	432	305.08	7.0e-21
GO:0036211	protein modification process	2998	270	160.69	8.6e-21
GO:0071826	ribonucleoprotein complex subunit organi...	194	49	10.4	2.2e-20
GO:0022618	ribonucleoprotein complex assembly	187	48	10.02	2.6e-20
GO:0006518	peptide metabolic process	773	107	41.43	3.5e-20
GO:0070647	protein modification by small protein co...	859	114	46.04	5.3e-20
