GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002181	cytoplasmic translation	123	41	6.59	1.6e-15
GO:0043161	proteasome-mediated ubiquitin-dependent ...	389	64	20.85	1.9e-14
GO:0000381	regulation of alternative mRNA splicing,...	48	18	2.57	1.8e-11
GO:0045893	positive regulation of DNA-templated tra...	1416	151	75.9	5.6e-10
GO:0006413	translational initiation	124	33	6.65	5.8e-10
GO:0070936	protein K48-linked ubiquitination	73	20	3.91	8.8e-10
GO:0045944	positive regulation of transcription by ...	1027	99	55.05	5.7e-09
GO:0006886	intracellular protein transport	778	101	41.7	7.0e-09
GO:1903241	U2-type prespliceosome assembly	24	11	1.29	1.3e-08
GO:0000398	mRNA splicing, via spliceosome	275	75	14.74	2.2e-08
GO:0051301	cell division	561	70	30.07	5.4e-08
GO:0021762	substantia nigra development	31	11	1.66	3.1e-07
GO:0043967	histone H4 acetylation	35	13	1.88	1.4e-06
GO:0016055	Wnt signaling pathway	381	49	20.42	2.3e-06
GO:0008380	RNA splicing	391	96	20.96	3.9e-06
GO:0010501	RNA secondary structure unwinding	10	6	0.54	4.1e-06
GO:0070979	protein K11-linked ubiquitination	26	9	1.39	4.8e-06
GO:0006376	mRNA splice site selection	26	9	1.39	4.8e-06
GO:0016567	protein ubiquitination	674	94	36.13	6.0e-06
GO:0000122	negative regulation of transcription by ...	779	71	41.75	7.1e-06
GO:0090131	mesenchyme migration	4	4	0.21	8.2e-06
GO:0021697	cerebellar cortex formation	23	8	1.23	1.6e-05
GO:0045892	negative regulation of DNA-templated tra...	1045	102	56.01	1.8e-05
GO:0010592	positive regulation of lamellipodium ass...	24	8	1.29	2.2e-05
GO:0006470	protein dephosphorylation	228	33	12.22	2.7e-05
GO:0006446	regulation of translational initiation	73	14	3.91	2.8e-05
GO:0031053	primary miRNA processing	19	7	1.02	3.5e-05
GO:0043968	histone H2A acetylation	19	7	1.02	3.5e-05
GO:0018107	peptidyl-threonine phosphorylation	94	16	5.04	3.6e-05
GO:0070262	peptidyl-serine dephosphorylation	14	6	0.75	4.8e-05
GO:0051726	regulation of cell cycle	908	96	48.67	4.9e-05
GO:0048026	positive regulation of mRNA splicing, vi...	20	7	1.07	5.2e-05
GO:0048488	synaptic vesicle endocytosis	50	11	2.68	5.3e-05
GO:0018105	peptidyl-serine phosphorylation	258	30	13.83	5.4e-05
GO:0045663	positive regulation of myoblast differen...	35	9	1.88	7.0e-05
GO:0007409	axonogenesis	379	39	20.31	7.2e-05
GO:0007163	establishment or maintenance of cell pol...	194	26	10.4	8.6e-05
GO:0006616	SRP-dependent cotranslational protein ta...	10	5	0.54	8.8e-05
GO:0006325	chromatin organization	621	73	33.28	0.00011
GO:2000819	regulation of nucleotide-excision repair	16	6	0.86	0.00012
GO:0034504	protein localization to nucleus	267	41	14.31	0.00013
GO:0016575	histone deacetylation	55	11	2.95	0.00013
GO:0075342	disruption by symbiont of host cell PML ...	3	3	0.16	0.00015
GO:0051343	positive regulation of cyclic-nucleotide...	3	3	0.16	0.00015
GO:0006607	NLS-bearing protein import into nucleus	11	5	0.59	0.00015
GO:0140236	translation at presynapse	11	5	0.59	0.00015
GO:0034314	Arp2/3 complex-mediated actin nucleation	40	11	2.14	0.00017
GO:0006337	nucleosome disassembly	18	6	0.96	0.00025
GO:0006378	mRNA polyadenylation	28	9	1.5	0.00025
GO:1903361	protein localization to basolateral plas...	7	4	0.38	0.00025
GO:0003266	regulation of secondary heart field card...	7	4	0.38	0.00025
GO:0034087	establishment of mitotic sister chromati...	7	4	0.38	0.00025
GO:0150093	amyloid-beta clearance by transcytosis	7	4	0.38	0.00025
GO:0036261	7-methylguanosine cap hypermethylation	7	4	0.38	0.00025
GO:0000281	mitotic cytokinesis	89	14	4.77	0.00026
GO:2000300	regulation of synaptic vesicle exocytosi...	41	9	2.2	0.00026
GO:1903828	negative regulation of protein localizat...	169	21	9.06	0.00028
GO:0042177	negative regulation of protein catabolic...	90	14	4.82	0.00029
GO:0006414	translational elongation	73	14	3.91	0.00031
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	113	16	6.06	0.00034
GO:0048025	negative regulation of mRNA splicing, vi...	19	6	1.02	0.00035
GO:0032482	Rab protein signal transduction	19	6	1.02	0.00035
GO:0021953	central nervous system neuron differenti...	148	19	7.93	0.00035
GO:0001764	neuron migration	148	19	7.93	0.00035
GO:0099072	regulation of postsynaptic membrane neur...	76	16	4.07	0.00036
GO:0033120	positive regulation of RNA splicing	33	12	1.77	0.00038
GO:0009952	anterior/posterior pattern specification	198	26	10.61	0.00039
GO:0000244	spliceosomal tri-snRNP complex assembly	13	5	0.7	0.00039
GO:0048313	Golgi inheritance	13	5	0.7	0.00039
GO:2000622	regulation of nuclear-transcribed mRNA c...	13	5	0.7	0.00039
GO:0060213	positive regulation of nuclear-transcrib...	13	5	0.7	0.00039
GO:0006338	chromatin remodeling	469	53	25.14	0.00041
GO:1905168	positive regulation of double-strand bre...	35	8	1.88	0.00042
GO:0043525	positive regulation of neuron apoptotic ...	44	9	2.36	0.00045
GO:0019827	stem cell population maintenance	148	24	7.93	0.00047
GO:0021533	cell differentiation in hindbrain	20	6	1.07	0.00047
GO:0045727	positive regulation of translation	114	21	6.11	0.00048
GO:0070922	RISC complex assembly	8	4	0.43	0.00048
GO:0032927	positive regulation of activin receptor ...	8	4	0.43	0.00048
GO:0048024	regulation of mRNA splicing, via spliceo...	92	32	4.93	0.00051
GO:1902459	positive regulation of stem cell populat...	36	8	1.93	0.00052
GO:0034063	stress granule assembly	28	7	1.5	0.00054
GO:0042274	ribosomal small subunit biogenesis	96	14	5.15	0.00057
GO:2000767	positive regulation of cytoplasmic trans...	14	5	0.75	0.00058
GO:0006417	regulation of translation	360	61	19.3	0.00059
GO:1904528	positive regulation of microtubule bindi...	4	3	0.21	0.00059
GO:0030043	actin filament fragmentation	4	3	0.21	0.00059
GO:0090307	mitotic spindle assembly	65	11	3.48	0.00062
GO:0006383	transcription by RNA polymerase III	65	11	3.48	0.00062
GO:0006406	mRNA export from nucleus	65	11	3.48	0.00062
GO:0048701	embryonic cranial skeleton morphogenesis	37	8	1.98	0.00063
GO:1901800	positive regulation of proteasomal prote...	97	14	5.2	0.00064
GO:0045596	negative regulation of cell differentiat...	549	53	29.43	0.00075
GO:0010975	regulation of neuron projection developm...	370	35	19.83	0.00080
GO:0070142	synaptic vesicle budding	9	4	0.48	0.00083
GO:0031115	negative regulation of microtubule polym...	9	4	0.48	0.00083
GO:0031204	post-translational protein targeting to ...	9	4	0.48	0.00083
GO:0001732	formation of cytoplasmic translation ini...	15	5	0.8	0.00084
GO:0070252	actin-mediated cell contraction	78	12	4.18	0.00086
GO:0051963	regulation of synapse assembly	100	14	5.36	0.00087
GO:0010718	positive regulation of epithelial to mes...	48	9	2.57	0.00089
GO:0006356	regulation of transcription by RNA polym...	49	9	2.63	0.00104
GO:0000387	spliceosomal snRNP assembly	36	11	1.93	0.00104
GO:0051653	spindle localization	59	10	3.16	0.00106
GO:0001702	gastrulation with mouth forming second	23	6	1.23	0.00107
GO:0099590	neurotransmitter receptor internalizatio...	23	6	1.23	0.00107
GO:0042752	regulation of circadian rhythm	91	13	4.88	0.00109
GO:0070935	3'-UTR-mediated mRNA stabilization	16	5	0.86	0.00116
GO:0006397	mRNA processing	427	98	22.89	0.00118
GO:0051966	regulation of synaptic transmission, glu...	71	11	3.81	0.00132
GO:0140242	translation at postsynapse	10	4	0.54	0.00133
GO:0070601	centromeric sister chromatid cohesion	10	4	0.54	0.00133
GO:0070934	CRD-mediated mRNA stabilization	10	4	0.54	0.00133
GO:1904375	regulation of protein localization to ce...	116	15	6.22	0.00133
GO:0099645	neurotransmitter receptor localization t...	24	6	1.29	0.00136
GO:2000736	regulation of stem cell differentiation	61	10	3.27	0.00139
GO:0021764	amygdala development	5	3	0.27	0.00141
GO:1902255	positive regulation of intrinsic apoptot...	5	3	0.27	0.00141
GO:0060066	oviduct development	5	3	0.27	0.00141
GO:0035195	miRNA-mediated gene silencing	47	11	2.52	0.00152
