GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0032991	protein-containing complex	4832	515	247.3	< 1e-30
GO:0005634	nucleus	6275	546	321.15	< 1e-30
GO:0140513	nuclear protein-containing complex	1168	188	59.78	< 1e-30
GO:1990904	ribonucleoprotein complex	663	138	33.93	< 1e-30
GO:1902494	catalytic complex	1553	217	79.48	< 1e-30
GO:0031981	nuclear lumen	3523	347	180.31	< 1e-30
GO:0043229	intracellular organelle	10865	710	556.07	< 1e-30
GO:0140535	intracellular protein-containing complex	841	141	43.04	< 1e-30
GO:0043231	intracellular membrane-bounded organelle	9878	668	505.55	< 1e-30
GO:0005622	intracellular anatomical structure	12195	756	624.14	< 1e-30
GO:0005654	nucleoplasm	3113	311	159.32	< 1e-30
GO:0043226	organelle	11590	730	593.17	< 1e-30
GO:0043232	intracellular non-membrane-bounded organ...	4346	377	222.43	< 1e-30
GO:0043228	non-membrane-bounded organelle	4347	377	222.48	< 1e-30
GO:0043227	membrane-bounded organelle	10798	695	552.64	< 1e-30
GO:0005681	spliceosomal complex	188	60	9.62	< 1e-30
GO:0045202	synapse	1227	164	62.8	< 1e-30
GO:0031974	membrane-enclosed lumen	3968	351	203.08	< 1e-30
GO:0043233	organelle lumen	3968	351	203.08	< 1e-30
GO:0070013	intracellular organelle lumen	3968	351	203.08	< 1e-30
GO:0030054	cell junction	1856	203	94.99	1.9e-27
GO:1990234	transferase complex	783	117	40.07	1.3e-26
GO:0005829	cytosol	3303	291	169.05	2.2e-24
GO:0005684	U2-type spliceosomal complex	91	36	4.66	3.1e-23
GO:0071011	precatalytic spliceosome	55	28	2.81	4.7e-22
GO:0071005	U2-type precatalytic spliceosome	52	27	2.66	1.3e-21
GO:0097525	spliceosomal snRNP complex	68	30	3.48	3.1e-21
GO:0030532	small nuclear ribonucleoprotein complex	77	30	3.94	2.4e-19
GO:0071013	catalytic step 2 spliceosome	86	31	4.4	8.7e-19
GO:0120114	Sm-like protein family complex	87	31	4.45	1.3e-18
GO:0098978	glutamatergic synapse	351	63	17.96	1.3e-18
GO:0046540	U4/U6 x U5 tri-snRNP complex	37	21	1.89	3.6e-18
GO:0097526	spliceosomal tri-snRNP complex	37	21	1.89	3.6e-18
GO:0005694	chromosome	1492	154	76.36	5.2e-18
GO:0022626	cytosolic ribosome	92	30	4.71	8.0e-17
GO:0022627	cytosolic small ribosomal subunit	34	19	1.74	2.2e-16
GO:0000785	chromatin	991	112	50.72	7.5e-16
GO:0070062	extracellular exosome	1491	147	76.31	1.9e-15
GO:0043230	extracellular organelle	1509	148	77.23	2.4e-15
GO:0065010	extracellular membrane-bounded organelle	1509	148	77.23	2.4e-15
GO:1903561	extracellular vesicle	1509	148	77.23	2.4e-15
GO:0005737	cytoplasm	9754	601	499.21	5.8e-15
GO:0098794	postsynapse	547	74	28	1.2e-14
GO:0005925	focal adhesion	318	53	16.28	1.9e-14
GO:0030055	cell-substrate junction	324	53	16.58	4.2e-14
GO:0099080	supramolecular complex	1126	117	57.63	6.8e-14
GO:0036464	cytoplasmic ribonucleoprotein granule	226	42	11.57	2.5e-13
GO:0000151	ubiquitin ligase complex	280	47	14.33	4.6e-13
GO:0005840	ribosome	211	40	10.8	4.7e-13
GO:0035770	ribonucleoprotein granule	241	43	12.33	5.5e-13
GO:0015935	small ribosomal subunit	64	20	3.28	2.8e-11
GO:0031248	protein acetyltransferase complex	93	23	4.76	1.8e-10
GO:1902493	acetyltransferase complex	94	23	4.81	2.3e-10
GO:0044391	ribosomal subunit	157	30	8.04	3.3e-10
GO:0008287	protein serine/threonine phosphatase com...	52	17	2.66	3.9e-10
GO:0000502	proteasome complex	59	18	3.02	4.3e-10
GO:1903293	phosphatase complex	53	17	2.71	5.5e-10
GO:0000123	histone acetyltransferase complex	83	21	4.25	7.3e-10
GO:0031461	cullin-RING ubiquitin ligase complex	173	31	8.85	8.8e-10
GO:0005819	spindle	363	48	18.58	1.4e-09
GO:1904949	ATPase complex	94	22	4.81	1.4e-09
GO:0005686	U2 snRNP	26	12	1.33	1.5e-09
GO:0098793	presynapse	475	57	24.31	1.7e-09
GO:0000932	P-body	87	21	4.45	1.8e-09
GO:0031982	vesicle	2866	213	146.68	1.9e-09
GO:0070603	SWI/SNF superfamily-type complex	88	21	4.5	2.3e-09
GO:0005844	polysome	58	17	2.97	2.6e-09
GO:0005665	RNA polymerase II, core complex	14	9	0.72	3.7e-09
GO:0043209	myelin sheath	46	15	2.35	4.4e-09
GO:1905368	peptidase complex	128	25	6.55	6.1e-09
GO:0005730	nucleolus	859	84	43.96	6.3e-09
GO:0070161	anchoring junction	722	74	36.95	7.5e-09
GO:0098984	neuron to neuron synapse	299	41	15.3	7.9e-09
GO:0016591	RNA polymerase II, holoenzyme	70	18	3.58	9.0e-09
GO:0016607	nuclear speck	362	46	18.53	1.1e-08
GO:0005682	U5 snRNP	20	10	1.02	1.4e-08
GO:0005667	transcription regulator complex	441	52	22.57	1.6e-08
GO:0000118	histone deacetylase complex	81	19	4.15	1.8e-08
GO:0008540	proteasome regulatory particle, base sub...	12	8	0.61	1.9e-08
GO:0005838	proteasome regulatory particle	21	10	1.07	2.5e-08
GO:0019773	proteasome core complex, alpha-subunit c...	9	7	0.46	3.0e-08
GO:0032279	asymmetric synapse	278	38	14.23	3.1e-08
GO:0016604	nuclear body	728	72	37.26	5.2e-08
GO:0010494	cytoplasmic stress granule	79	18	4.04	6.9e-08
GO:0098687	chromosomal region	323	41	16.53	7.3e-08
GO:0022624	proteasome accessory complex	23	10	1.18	7.3e-08
GO:0005689	U12-type spliceosomal complex	29	11	1.48	8.7e-08
GO:0005687	U4 snRNP	10	7	0.51	9.4e-08
GO:0099572	postsynaptic specialization	290	38	14.84	9.5e-08
GO:1902562	H4 histone acetyltransferase complex	36	12	1.84	1.2e-07
GO:0055029	nuclear DNA-directed RNA polymerase comp...	91	19	4.66	1.3e-07
GO:0014069	postsynaptic density	264	35	13.51	2.3e-07
GO:0000428	DNA-directed RNA polymerase complex	94	19	4.81	2.3e-07
GO:0072686	mitotic spindle	153	25	7.83	2.4e-07
GO:0090734	site of DNA damage	105	20	5.37	3.1e-07
GO:0030880	RNA polymerase complex	96	19	4.91	3.2e-07
GO:0016363	nuclear matrix	99	19	5.07	5.4e-07
GO:0005798	Golgi-associated vesicle	81	17	4.15	5.6e-07
GO:0071006	U2-type catalytic step 1 spliceosome	12	7	0.61	5.7e-07
GO:0071012	catalytic step 1 spliceosome	12	7	0.61	5.7e-07
GO:0042788	polysomal ribosome	22	9	1.13	6.3e-07
GO:0070993	translation preinitiation complex	17	8	0.87	7.3e-07
GO:0030139	endocytic vesicle	165	25	8.44	1.0e-06
GO:1905369	endopeptidase complex	94	18	4.81	1.1e-06
GO:0030117	membrane coat	85	17	4.35	1.2e-06
GO:0048475	coated membrane	85	17	4.35	1.2e-06
GO:0034709	methylosome	13	7	0.67	1.2e-06
GO:0071564	npBAF complex	13	7	0.67	1.2e-06
GO:0005856	cytoskeleton	2009	149	102.82	1.2e-06
GO:0035267	NuA4 histone acetyltransferase complex	24	9	1.23	1.5e-06
GO:0043189	H4/H2A histone acetyltransferase complex	24	9	1.23	1.5e-06
GO:0030015	CCR4-NOT core complex	6	5	0.31	2.0e-06
GO:0000775	chromosome, centromeric region	211	28	10.8	3.6e-06
GO:0033290	eukaryotic 48S preinitiation complex	15	7	0.77	4.0e-06
GO:0030662	coated vesicle membrane	93	17	4.76	4.2e-06
GO:0034708	methyltransferase complex	93	17	4.76	4.2e-06
GO:0005849	mRNA cleavage factor complex	21	8	1.07	5.1e-06
GO:0098685	Schaffer collateral - CA1 synapse	85	16	4.35	5.4e-06
GO:0061695	transferase complex, transferring phosph...	278	33	14.23	6.0e-06
GO:0071007	U2-type catalytic step 2 spliceosome	28	9	1.43	6.6e-06
GO:0071141	SMAD protein complex	7	5	0.36	6.7e-06
GO:0071144	heteromeric SMAD protein complex	7	5	0.36	6.7e-06
GO:0016282	eukaryotic 43S preinitiation complex	16	7	0.82	6.8e-06
GO:0000228	nuclear chromosome	207	27	10.59	7.4e-06
GO:0030660	Golgi-associated vesicle membrane	43	11	2.2	7.5e-06
GO:0000793	condensed chromosome	233	29	11.92	8.7e-06
GO:0030135	coated vesicle	197	26	10.08	8.8e-06
GO:0031519	PcG protein complex	44	11	2.25	9.6e-06
GO:0030131	clathrin adaptor complex	23	8	1.18	1.1e-05
GO:0015630	microtubule cytoskeleton	1184	94	60.6	1.1e-05
GO:0030120	vesicle coat	53	12	2.71	1.1e-05
GO:0030027	lamellipodium	166	23	8.5	1.3e-05
GO:0034399	nuclear periphery	122	19	6.24	1.3e-05
GO:0005688	U6 snRNP	8	5	0.41	1.7e-05
GO:0005685	U1 snRNP	18	7	0.92	1.7e-05
GO:0045335	phagocytic vesicle	93	16	4.76	1.8e-05
GO:0071565	nBAF complex	13	6	0.67	2.2e-05
GO:0030904	retromer complex	19	7	0.97	2.6e-05
GO:0016514	SWI/SNF complex	26	8	1.33	3.1e-05
GO:0030137	COPI-coated vesicle	26	8	1.33	3.1e-05
GO:0031252	cell leading edge	343	36	17.55	3.5e-05
GO:0042564	NLS-dependent protein nuclear import com...	9	5	0.46	3.7e-05
GO:0090575	RNA polymerase II transcription regulato...	214	26	10.95	3.8e-05
GO:0098796	membrane protein complex	1080	85	55.27	4.2e-05
GO:0030119	AP-type membrane coat adaptor complex	35	9	1.79	4.9e-05
GO:0005839	proteasome core complex	21	7	1.07	5.5e-05
GO:0031462	Cul2-RING ubiquitin ligase complex	21	7	1.07	5.5e-05
GO:0043292	contractile fiber	194	24	9.93	5.6e-05
GO:0030118	clathrin coat	44	10	2.25	5.9e-05
GO:0005852	eukaryotic translation initiation factor...	15	6	0.77	5.9e-05
GO:0005885	Arp2/3 protein complex	10	5	0.51	7.0e-05
GO:0035060	brahma complex	10	5	0.51	7.0e-05
GO:0031463	Cul3-RING ubiquitin ligase complex	37	9	1.89	7.8e-05
GO:0016581	NuRD complex	16	6	0.82	9.1e-05
GO:0030014	CCR4-NOT complex	16	6	0.82	9.1e-05
GO:0071004	U2-type prespliceosome	16	6	0.82	9.1e-05
GO:0071010	prespliceosome	16	6	0.82	9.1e-05
GO:0090545	CHD-type complex	16	6	0.82	9.1e-05
GO:0005955	calcineurin complex	6	4	0.31	9.4e-05
GO:0030016	myofibril	188	23	9.62	9.4e-05
GO:0044297	cell body	459	43	23.49	9.6e-05
GO:0031074	nucleocytoplasmic transport complex	11	5	0.56	0.00012
GO:0008180	COP9 signalosome	31	8	1.59	0.00013
GO:0022625	cytosolic large ribosomal subunit	48	10	2.46	0.00013
GO:0000786	nucleosome	77	13	3.94	0.00013
GO:0099512	supramolecular fiber	798	65	40.84	0.00013
GO:0035861	site of double-strand break	78	13	3.99	0.00015
GO:0032432	actin filament bundle	68	12	3.48	0.00015
GO:0032993	protein-DNA complex	170	21	8.7	0.00016
GO:0099081	supramolecular polymer	805	65	41.2	0.00017
GO:0044815	DNA packaging complex	112	16	5.73	0.00018
GO:0015629	actin cytoskeleton	444	41	22.72	0.00019
GO:0005847	mRNA cleavage and polyadenylation specif...	18	6	0.92	0.00019
GO:0016580	Sin3 complex	18	6	0.92	0.00019
GO:0070822	Sin3-type complex	18	6	0.92	0.00019
GO:0001725	stress fiber	60	11	3.07	0.00020
