GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0071005	U2-type precatalytic spliceosome	52	27	2.66	1.3e-21
GO:0005654	nucleoplasm	3113	311	159.32	8.4e-20
GO:0005829	cytosol	3303	291	169.05	3.3e-18
GO:0046540	U4/U6 x U5 tri-snRNP complex	37	21	1.89	3.6e-18
GO:0098978	glutamatergic synapse	351	63	17.96	1.4e-17
GO:0005634	nucleus	6275	546	321.15	6.7e-17
GO:0022627	cytosolic small ribosomal subunit	34	19	1.74	2.2e-16
GO:0070062	extracellular exosome	1491	147	76.31	1.9e-15
GO:0005925	focal adhesion	318	53	16.28	1.9e-14
GO:0071013	catalytic step 2 spliceosome	86	31	4.4	2.4e-14
GO:0000785	chromatin	991	112	50.72	7.4e-10
GO:0005686	U2 snRNP	26	12	1.33	1.5e-09
GO:0000932	P-body	87	21	4.45	1.8e-09
GO:0005665	RNA polymerase II, core complex	14	9	0.72	3.7e-09
GO:0043209	myelin sheath	46	15	2.35	4.4e-09
GO:0016607	nuclear speck	362	46	18.53	1.1e-08
GO:0005682	U5 snRNP	20	10	1.02	1.4e-08
GO:0008540	proteasome regulatory particle, base sub...	12	8	0.61	1.9e-08
GO:0019773	proteasome core complex, alpha-subunit c...	9	7	0.46	3.0e-08
GO:0045202	synapse	1227	164	62.8	5.7e-08
GO:0010494	cytoplasmic stress granule	79	18	4.04	6.9e-08
GO:0005689	U12-type spliceosomal complex	29	11	1.48	8.7e-08
GO:0005687	U4 snRNP	10	7	0.51	9.4e-08
GO:0098793	presynapse	475	57	24.31	1.6e-07
GO:0016363	nuclear matrix	99	19	5.07	5.4e-07
GO:0071006	U2-type catalytic step 1 spliceosome	12	7	0.61	5.7e-07
GO:0042788	polysomal ribosome	22	9	1.13	6.3e-07
GO:1990904	ribonucleoprotein complex	663	138	33.93	6.9e-07
GO:0005730	nucleolus	859	84	43.96	9.1e-07
GO:0098794	postsynapse	547	74	28	9.8e-07
GO:0034709	methylosome	13	7	0.67	1.2e-06
GO:0071564	npBAF complex	13	7	0.67	1.2e-06
GO:0035267	NuA4 histone acetyltransferase complex	24	9	1.23	1.5e-06
GO:0030015	CCR4-NOT core complex	6	5	0.31	2.0e-06
GO:0014069	postsynaptic density	264	35	13.51	2.4e-06
GO:0032991	protein-containing complex	4832	515	247.3	3.5e-06
GO:0033290	eukaryotic 48S preinitiation complex	15	7	0.77	4.0e-06
GO:0098685	Schaffer collateral - CA1 synapse	85	16	4.35	5.4e-06
GO:0071007	U2-type catalytic step 2 spliceosome	28	9	1.43	6.6e-06
GO:0071144	heteromeric SMAD protein complex	7	5	0.36	6.7e-06
GO:0016282	eukaryotic 43S preinitiation complex	16	7	0.82	6.8e-06
GO:0005681	spliceosomal complex	188	60	9.62	8.2e-06
GO:0031519	PcG protein complex	44	11	2.25	9.6e-06
GO:0030027	lamellipodium	166	23	8.5	1.3e-05
GO:0005688	U6 snRNP	8	5	0.41	1.7e-05
GO:0005685	U1 snRNP	18	7	0.92	1.7e-05
GO:0045335	phagocytic vesicle	93	16	4.76	1.8e-05
GO:0071565	nBAF complex	13	6	0.67	2.2e-05
GO:0030904	retromer complex	19	7	0.97	2.6e-05
GO:0016514	SWI/SNF complex	26	8	1.33	3.1e-05
GO:0042564	NLS-dependent protein nuclear import com...	9	5	0.46	3.7e-05
GO:0072686	mitotic spindle	153	25	7.83	4.4e-05
GO:0031462	Cul2-RING ubiquitin ligase complex	21	7	1.07	5.5e-05
GO:0005852	eukaryotic translation initiation factor...	15	6	0.77	5.9e-05
GO:0005885	Arp2/3 protein complex	10	5	0.51	7.0e-05
GO:0035060	brahma complex	10	5	0.51	7.0e-05
GO:0031463	Cul3-RING ubiquitin ligase complex	37	9	1.89	7.8e-05
GO:0016581	NuRD complex	16	6	0.82	9.1e-05
GO:0071004	U2-type prespliceosome	16	6	0.82	9.1e-05
GO:0005955	calcineurin complex	6	4	0.31	9.4e-05
GO:0008180	COP9 signalosome	31	8	1.59	0.00013
GO:0022625	cytosolic large ribosomal subunit	48	10	2.46	0.00013
GO:0000786	nucleosome	77	13	3.94	0.00013
GO:0035861	site of double-strand break	78	13	3.99	0.00015
GO:0005847	mRNA cleavage and polyadenylation specif...	18	6	0.92	0.00019
GO:0016580	Sin3 complex	18	6	0.92	0.00019
GO:0001725	stress fiber	60	11	3.07	0.00020
GO:0120115	Lsm2-8 complex	7	4	0.36	0.00021
GO:1904115	axon cytoplasm	52	10	2.66	0.00026
GO:0090734	site of DNA damage	105	20	5.37	0.00030
GO:0000776	kinetochore	141	18	7.22	0.00031
GO:0000812	Swr1 complex	13	5	0.67	0.00032
GO:0030175	filopodium	84	13	4.3	0.00032
GO:0005844	polysome	58	17	2.97	0.00036
GO:0005667	transcription regulator complex	441	52	22.57	0.00038
GO:0043025	neuronal cell body	402	37	20.57	0.00041
GO:0000152	nuclear ubiquitin ligase complex	46	9	2.35	0.00046
GO:0030131	clathrin adaptor complex	23	8	1.18	0.00046
GO:0030130	clathrin coat of trans-Golgi network ves...	14	5	0.72	0.00047
GO:0005643	nuclear pore	77	12	3.94	0.00051
GO:0031597	cytosolic proteasome complex	4	3	0.2	0.00051
GO:0032040	small-subunit processome	68	11	3.48	0.00062
GO:0140288	GBAF complex	9	4	0.46	0.00070
GO:0097431	mitotic spindle pole	31	7	1.59	0.00080
GO:0000151	ubiquitin ligase complex	280	47	14.33	0.00086
GO:0005876	spindle microtubule	71	11	3.63	0.00091
GO:0030663	COPI-coated vesicle membrane	16	5	0.82	0.00094
GO:0005834	heterotrimeric G-protein complex	32	7	1.64	0.00098
GO:0030496	midbody	181	20	9.26	0.00098
GO:0005784	Sec61 translocon complex	5	3	0.26	0.00124
GO:0005956	protein kinase CK2 complex	5	3	0.26	0.00124
GO:1990726	Lsm1-7-Pat1 complex	5	3	0.26	0.00124
GO:0000243	commitment complex	5	3	0.26	0.00124
GO:0089701	U2AF complex	5	3	0.26	0.00124
GO:0000159	protein phosphatase type 2A complex	17	5	0.87	0.00128
GO:0051286	cell tip	17	5	0.87	0.00128
GO:0000124	SAGA complex	25	6	1.28	0.00135
GO:0043197	dendritic spine	134	16	6.86	0.00136
GO:0030877	beta-catenin destruction complex	11	4	0.56	0.00168
GO:1990907	beta-catenin-TCF complex	11	4	0.56	0.00168
GO:0016586	RSC-type complex	11	4	0.56	0.00168
GO:0048471	perinuclear region of cytoplasm	590	47	30.2	0.00175
GO:0016591	RNA polymerase II, holoenzyme	70	18	3.58	0.00187
GO:0000781	chromosome, telomeric region	127	15	6.5	0.00212
GO:0044305	calyx of Held	19	5	0.97	0.00221
GO:0005666	RNA polymerase III complex	19	5	0.97	0.00221
GO:0005622	intracellular anatomical structure	12195	756	624.14	0.00238
GO:0070937	CRD-mediated mRNA stability complex	6	3	0.31	0.00238
GO:0097433	dense body	6	3	0.31	0.00238
GO:0005915	zonula adherens	6	3	0.31	0.00238
GO:0072357	PTW/PP1 phosphatase complex	6	3	0.31	0.00238
GO:0034715	pICln-Sm protein complex	6	3	0.31	0.00238
GO:0005736	RNA polymerase I complex	12	4	0.61	0.00242
GO:0000974	Prp19 complex	12	4	0.61	0.00242
GO:0000775	chromosome, centromeric region	211	28	10.8	0.00258
GO:0120220	basal body patch	2	2	0.1	0.00262
GO:0005690	U4atac snRNP	2	2	0.1	0.00262
GO:0032444	activin responsive factor complex	2	2	0.1	0.00262
GO:0071142	homomeric SMAD protein complex	2	2	0.1	0.00262
