GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0005525	GTP binding	355	68	18.6	4.3e-21
GO:0019003	GDP binding	71	27	3.72	5.6e-17
GO:0003925	G protein activity	54	22	2.83	8.0e-15
GO:0061631	ubiquitin conjugating enzyme activity	28	15	1.47	1.1e-12
GO:0003924	GTPase activity	283	63	14.82	1.6e-12
GO:0003735	structural constituent of ribosome	144	32	7.54	2.2e-12
GO:0003743	translation initiation factor activity	62	21	3.25	2.3e-12
GO:0031625	ubiquitin protein ligase binding	253	43	13.25	6.4e-12
GO:0003723	RNA binding	1397	184	73.18	1.4e-11
GO:0005200	structural constituent of cytoskeleton	83	23	4.35	2.3e-11
GO:0005515	protein binding	11138	704	583.46	9.2e-11
GO:0003729	mRNA binding	282	61	14.77	1.3e-10
GO:0019904	protein domain specific binding	530	70	27.76	5.2e-09
GO:0036402	proteasome-activating activity	6	6	0.31	2.0e-08
GO:0001055	RNA polymerase II activity	9	7	0.47	3.5e-08
GO:0017025	TBP-class protein binding	23	10	1.2	9.0e-08
GO:0043022	ribosome binding	66	16	3.46	2.0e-07
GO:0035925	mRNA 3'-UTR AU-rich region binding	25	10	1.31	2.3e-07
GO:0019901	protein kinase binding	571	59	29.91	4.4e-07
GO:0044325	transmembrane transporter binding	115	21	6.02	4.8e-07
GO:0046982	protein heterodimerization activity	246	33	12.89	6.4e-07
GO:0017018	myosin phosphatase activity	67	15	3.51	1.4e-06
GO:0005524	ATP binding	1353	110	70.88	1.8e-06
GO:0003682	chromatin binding	520	65	27.24	3.0e-06
GO:0036002	pre-mRNA binding	29	13	1.52	3.8e-06
GO:0048156	tau protein binding	33	10	1.73	4.5e-06
GO:0045296	cadherin binding	233	30	12.21	4.8e-06
GO:0061608	nuclear import signal receptor activity	17	7	0.89	1.3e-05
GO:0070411	I-SMAD binding	12	6	0.63	1.4e-05
GO:0035198	miRNA binding	24	8	1.26	1.9e-05
GO:0003730	mRNA 3'-UTR binding	89	23	4.66	2.0e-05
GO:0140297	DNA-binding transcription factor binding	395	50	20.69	2.9e-05
GO:1990446	U1 snRNP binding	9	5	0.47	4.1e-05
GO:0097157	pre-mRNA intronic binding	9	5	0.47	4.1e-05
GO:0019899	enzyme binding	1744	183	91.36	4.1e-05
GO:0017070	U6 snRNA binding	14	6	0.73	4.2e-05
GO:1990825	sequence-specific mRNA binding	14	6	0.73	4.2e-05
GO:0031386	protein tag	10	5	0.52	7.9e-05
