species	Biniou	Crocodile	Dichaete	Dmrt-11E	Dmrt-93B	Dmrt-99B	Dsx	Fd-102C	Fd-19B	Fd-2/Fox-L1	Fd-3/Fd-59A	Fd-4/Fd-96Ca	Fd-5/Fd-96Cb	Fkh	Fox-3F	Hcm-1	Jumeau	Fox-O	Fox-P	Sox-N	Ches-1	Sox-21B	Slp-1	Slp-2	Sox-100B	Sox-14	Sox-21A	Sox-15
Agam	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1
Dbus	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Dalb	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Dgri	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
Dari	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1
Dhyd	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Dwil	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Dmir	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1
Dpse	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dbip	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dana	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dkik	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
Dser	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dele	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Dsuz	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	0	0	1	1	1	1	1	1
Dere	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Dmel	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Dsec	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
