alignment	model
dmrt_disco_tree1_aligned_trim.faa	JTT
dmrt_disco_tree2_aligned_trim.faa	JTT
dmrt_disco_tree3_aligned_trim.faa	JTTDCMut
dmrt_disco_tree4_aligned_trim.faa	JTT
fox_disco_tree10_aligned_trim.faa	JTT
fox_disco_tree11_aligned_trim.faa	JTT
fox_disco_tree12_aligned_trim.faa	JTT
fox_disco_tree13_aligned_trim.faa	JTT
fox_disco_tree14_aligned_trim.faa	JTT
fox_disco_tree15_aligned_trim.faa	JTT
fox_disco_tree16_aligned_trim.faa	JTT
fox_disco_tree17_aligned_trim.faa	JTT
fox_disco_tree1_aligned_trim.faa	JTT
fox_disco_tree2_aligned_trim.faa	JTT
fox_disco_tree3_aligned_trim.faa	JTT
fox_disco_tree4_aligned_trim.faa	JTT
fox_disco_tree5_aligned_trim.faa	JTT
fox_disco_tree6_aligned_trim.faa	DCMut
fox_disco_tree7_aligned_trim.faa	Dayhoff
fox_disco_tree8_aligned_trim.faa	JTT
fox_disco_tree9_aligned_trim.faa	JTT
OG0000000_disco_tree1_aligned_trim.faa	LG
OG0000000_disco_tree2_aligned_trim.faa	LG
OG0000001_disco_tree1_aligned_trim.faa	JTT
OG0000001_disco_tree2_aligned_trim.faa	VT
OG0000001_disco_tree3_aligned_trim.faa	cpREV
OG0000002_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000003_disco_tree1_aligned_trim.faa	LG
OG0000003_disco_tree2_aligned_trim.faa	LG
OG0000003_disco_tree3_aligned_trim.faa	LG
OG0000003_disco_tree4_aligned_trim.faa	LG
OG0000004_disco_tree1_aligned_trim.faa	cpREV
OG0000004_disco_tree2_aligned_trim.faa	cpREV
OG0000005_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000005_disco_tree2_aligned_trim.faa	JTT
OG0000005_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000005_disco_tree4_aligned_trim.faa	JTT
OG0000006_disco_tree1_aligned_trim.faa	WAG
OG0000006_disco_tree2_aligned_trim.faa	JTT
OG0000006_disco_tree3_aligned_trim.faa	LG
OG0000006_disco_tree4_aligned_trim.faa	JTT
OG0000006_disco_tree5_aligned_trim.faa	LG
OG0000006_disco_tree6_aligned_trim.faa	LG
