GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0007141	male meiosis I	13	4	0.43	0.00069
GO:0048136	male germ-line cyst formation	2	2	0.07	0.00112
GO:0007131	reciprocal meiotic recombination	37	6	1.24	0.00130
GO:0010526	negative regulation of transposition, RN...	8	3	0.27	0.00183
GO:0045132	meiotic chromosome segregation	64	7	2.14	0.00533
GO:0071218	cellular response to misfolded protein	12	3	0.4	0.00652
GO:0061964	negative regulation of entry into reprod...	5	2	0.17	0.01043
GO:0051382	kinetochore assembly	5	2	0.17	0.01043
GO:0055116	entry into reproductive diapause	6	2	0.2	0.01531
GO:0071712	ER-associated misfolded protein cataboli...	6	2	0.2	0.01531
GO:0061963	regulation of entry into reproductive di...	6	2	0.2	0.01531
GO:0043984	histone H4-K16 acetylation	6	2	0.2	0.01531
GO:0055115	entry into diapause	7	2	0.23	0.02096
GO:1990834	response to odorant	7	2	0.23	0.02096
GO:0034508	centromere complex assembly	19	3	0.64	0.02415
GO:0042795	snRNA transcription by RNA polymerase II	8	2	0.27	0.02733
GO:0022611	dormancy process	8	2	0.27	0.02733
GO:0009301	snRNA transcription	8	2	0.27	0.02733
GO:1902275	regulation of chromatin organization	35	4	1.17	0.02847
GO:0051276	chromosome organization	331	18	11.07	0.02925
GO:0042078	germ-line stem cell division	36	4	1.2	0.03121
GO:0001015	snoRNA transcription by RNA polymerase I...	1	1	0.03	0.03345
GO:0010778	meiotic DNA repair synthesis involved in...	1	1	0.03	0.03345
GO:0009302	sno(s)RNA transcription	1	1	0.03	0.03345
GO:0051308	male meiosis chromosome separation	1	1	0.03	0.03345
GO:0051415	microtubule nucleation by interphase mic...	1	1	0.03	0.03345
GO:0071786	endoplasmic reticulum tubular network or...	9	2	0.3	0.03438
GO:0030007	cellular potassium ion homeostasis	9	2	0.3	0.03438
GO:0051383	kinetochore organization	9	2	0.3	0.03438
GO:0040020	regulation of meiotic nuclear division	9	2	0.3	0.03438
GO:0043967	histone H4 acetylation	9	2	0.3	0.03438
GO:0036376	sodium ion export across plasma membrane	9	2	0.3	0.03438
GO:0006883	cellular sodium ion homeostasis	9	2	0.3	0.03438
GO:0007080	mitotic metaphase plate congression	23	3	0.77	0.04004
GO:0007020	microtubule nucleation	23	3	0.77	0.04004
GO:0031146	SCF-dependent proteasomal ubiquitin-depe...	57	5	1.91	0.04125
GO:0031445	regulation of heterochromatin formation	25	3	0.84	0.04953
GO:0120261	regulation of heterochromatin organizati...	25	3	0.84	0.04953
GO:0030719	P granule organization	11	2	0.37	0.05026
GO:0055078	sodium ion homeostasis	11	2	0.37	0.05026
GO:0009047	dosage compensation by hyperactivation o...	11	2	0.37	0.05026
GO:0090230	regulation of centromere complex assembl...	2	1	0.07	0.06578
GO:0007541	sex determination, primary response to X...	2	1	0.07	0.06578
GO:0033566	gamma-tubulin complex localization	2	1	0.07	0.06578
GO:0009235	cobalamin metabolic process	2	1	0.07	0.06578
GO:0007287	Nebenkern assembly	2	1	0.07	0.06578
GO:0090052	regulation of pericentric heterochromati...	2	1	0.07	0.06578
GO:1905380	regulation of snRNA transcription by RNA...	2	1	0.07	0.06578
GO:1905382	positive regulation of snRNA transcripti...	2	1	0.07	0.06578
GO:0019100	male germ-line sex determination	2	1	0.07	0.06578
GO:0043007	maintenance of rDNA	2	1	0.07	0.06578
GO:0051311	meiotic metaphase plate congression	2	1	0.07	0.06578
GO:1903341	regulation of meiotic DNA double-strand ...	2	1	0.07	0.06578
GO:1903343	positive regulation of meiotic DNA doubl...	2	1	0.07	0.06578
GO:0110155	NAD-cap decapping	2	1	0.07	0.06578
GO:0042262	DNA protection	2	1	0.07	0.06578
GO:0007538	primary sex determination	13	2	0.43	0.06824
GO:0051310	metaphase plate congression	29	3	0.97	0.07144
GO:0051303	establishment of chromosome localization	29	3	0.97	0.07144
GO:0140014	mitotic nuclear division	179	10	5.99	0.07778
GO:0016321	female meiosis chromosome segregation	14	2	0.47	0.07790
GO:0051307	meiotic chromosome separation	14	2	0.47	0.07790
GO:0055075	potassium ion homeostasis	14	2	0.47	0.07790
GO:0060180	female mating behavior	31	3	1.04	0.08376
GO:0007129	homologous chromosome pairing at meiosis	15	2	0.5	0.08796
GO:0016925	protein sumoylation	15	2	0.5	0.08796
GO:0098813	nuclear chromosome segregation	182	14	6.09	0.09501
GO:0065004	protein-DNA complex assembly	73	5	2.44	0.09702
GO:1901563	response to camptothecin	3	1	0.1	0.09703
GO:0019101	female somatic sex determination	3	1	0.1	0.09703
GO:0016926	protein desumoylation	3	1	0.1	0.09703
GO:0043570	maintenance of DNA repeat elements	3	1	0.1	0.09703
GO:0051418	microtubule nucleation by microtubule or...	3	1	0.1	0.09703
GO:0000711	meiotic DNA repair synthesis	3	1	0.1	0.09703
GO:0051039	positive regulation of transcription inv...	3	1	0.1	0.09703
GO:0140541	piRNA transcription	3	1	0.1	0.09703
GO:0140542	regulation of piRNA transcription	3	1	0.1	0.09703
GO:0140543	positive regulation of piRNA transcripti...	3	1	0.1	0.09703
GO:0000819	sister chromatid segregation	140	8	4.68	0.09739
GO:0031453	positive regulation of heterochromatin f...	16	2	0.54	0.09838
GO:1905269	positive regulation of chromatin organiz...	16	2	0.54	0.09838
GO:0120263	positive regulation of heterochromatin o...	16	2	0.54	0.09838
GO:0140115	export across plasma membrane	16	2	0.54	0.09838
GO:0017145	stem cell division	54	4	1.81	0.10588
GO:0070192	chromosome organization involved in meio...	54	4	1.81	0.10588
GO:0006515	protein quality control for misfolded or...	17	2	0.57	0.10912
GO:1990573	potassium ion import across plasma membr...	17	2	0.57	0.10912
GO:0000070	mitotic sister chromatid segregation	124	7	4.15	0.12181
GO:0050000	chromosome localization	37	3	1.24	0.12552
GO:0051598	meiotic recombination checkpoint signali...	4	1	0.13	0.12725
GO:0061817	endoplasmic reticulum-plasma membrane te...	4	1	0.13	0.12725
GO:0042148	strand invasion	4	1	0.13	0.12725
GO:0030238	male sex determination	4	1	0.13	0.12725
GO:0007058	spindle assembly involved in female meio...	4	1	0.13	0.12725
GO:0051037	regulation of transcription involved in ...	4	1	0.13	0.12725
GO:0046785	microtubule polymerization	38	3	1.27	0.13309
GO:0030968	endoplasmic reticulum unfolded protein r...	20	2	0.67	0.14297
GO:0007283	spermatogenesis	259	14	8.66	0.14922
GO:0007549	dosage compensation	21	2	0.7	0.15470
GO:0045143	homologous chromosome segregation	21	2	0.7	0.15470
GO:0035434	copper ion transmembrane transport	5	1	0.17	0.15645
GO:0032877	positive regulation of DNA endoreduplica...	5	1	0.17	0.15645
GO:0034454	microtubule anchoring at centrosome	5	1	0.17	0.15645
GO:0007542	primary sex determination, germ-line	5	1	0.17	0.15645
GO:0007502	digestive tract mesoderm development	5	1	0.17	0.15645
