GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0070725	Yb body	7	3	0.25	0.0014
GO:0140445	chromosome, telomeric repeat region	7	3	0.25	0.0014
GO:0000795	synaptonemal complex	10	3	0.35	0.0043
GO:0099086	synaptonemal structure	10	3	0.35	0.0043
GO:0000775	chromosome, centromeric region	115	10	4.04	0.0072
GO:0001673	male germ cell nucleus	12	3	0.42	0.0075
GO:0016593	Cdc73/Paf1 complex	12	3	0.42	0.0075
GO:0071782	endoplasmic reticulum tubular network	12	3	0.42	0.0075
GO:0000930	gamma-tubulin complex	13	3	0.46	0.0095
GO:0000794	condensed nuclear chromosome	25	4	0.88	0.0106
GO:0042600	egg chorion	40	5	1.41	0.0125
GO:0016456	X chromosome located dosage compensation...	6	2	0.21	0.0168
GO:0046536	dosage compensation complex	6	2	0.21	0.0168
GO:0000793	condensed chromosome	112	9	3.94	0.0170
GO:0008023	transcription elongation factor complex	44	5	1.55	0.0184
GO:0005890	sodium:potassium-exchanging ATPase compl...	7	2	0.25	0.0230
GO:0031262	Ndc80 complex	7	2	0.25	0.0230
GO:0031617	NMS complex	7	2	0.25	0.0230
GO:0072487	MSL complex	7	2	0.25	0.0230
GO:0090533	cation-transporting ATPase complex	7	2	0.25	0.0230
GO:0000785	chromatin	309	18	10.86	0.0248
GO:0044815	DNA packaging complex	48	5	1.69	0.0259
GO:0005694	chromosome	663	33	23.31	0.0270
GO:0000805	X chromosome	8	2	0.28	0.0300
GO:0000923	equatorial microtubule organizing center	8	2	0.28	0.0300
GO:0032783	super elongation complex	8	2	0.28	0.0300
GO:0000803	sex chromosome	9	2	0.32	0.0377
GO:0043073	germ cell nucleus	22	3	0.77	0.0404
GO:0000792	heterochromatin	55	5	1.93	0.0433
GO:0005721	pericentric heterochromatin	26	3	0.91	0.0617
GO:0035363	histone locus body	12	2	0.42	0.0645
GO:0030849	autosome	2	1	0.07	0.0691
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex	2	1	0.07	0.0691
GO:0016591	RNA polymerase II, holoenzyme	66	5	2.32	0.0819
GO:0098533	ATPase dependent transmembrane transport...	15	2	0.53	0.0958
GO:0031021	interphase microtubule organizing center	3	1	0.11	0.1018
GO:0033061	DNA recombinase mediator complex	3	1	0.11	0.1018
GO:0061574	ASAP complex	3	1	0.11	0.1018
GO:0071204	histone pre-mRNA 3'end processing comple...	3	1	0.11	0.1018
GO:0005637	nuclear inner membrane	18	2	0.63	0.1304
GO:0000274	mitochondrial proton-transporting ATP sy...	4	1	0.14	0.1334
GO:0000782	telomere cap complex	4	1	0.14	0.1334
GO:0005854	nascent polypeptide-associated complex	4	1	0.14	0.1334
GO:0045265	proton-transporting ATP synthase, stator...	4	1	0.14	0.1334
GO:0046695	SLIK (SAGA-like) complex	4	1	0.14	0.1334
GO:0005615	extracellular space	596	26	20.95	0.1492
GO:0000127	transcription factor TFIIIC complex	5	1	0.18	0.1639
GO:0008278	cohesin complex	5	1	0.18	0.1639
GO:0044284	mitochondrial crista junction	5	1	0.18	0.1639
GO:0061689	tricellular tight junction	5	1	0.18	0.1639
GO:0019005	SCF ubiquitin ligase complex	61	4	2.14	0.1663
GO:0010369	chromocenter	21	2	0.74	0.1674
GO:0000791	euchromatin	62	4	2.18	0.1732
GO:0005576	extracellular region	978	40	34.38	0.1746
GO:0055029	nuclear DNA-directed RNA polymerase comp...	86	5	3.02	0.1849
GO:0000776	kinetochore	64	4	2.25	0.1873
GO:0016604	nuclear body	134	7	4.71	0.1925
GO:0000931	gamma-tubulin ring complex	6	1	0.21	0.1933
GO:0000940	outer kinetochore	6	1	0.21	0.1933
GO:0005749	mitochondrial respiratory chain complex ...	6	1	0.21	0.1933
GO:0030915	Smc5-Smc6 complex	6	1	0.21	0.1933
GO:0032797	SMN complex	6	1	0.21	0.1933
GO:0032982	myosin filament	6	1	0.21	0.1933
GO:0042788	polysomal ribosome	6	1	0.21	0.1933
GO:0045257	succinate dehydrogenase complex (ubiquin...	6	1	0.21	0.1933
GO:0045273	respiratory chain complex II	6	1	0.21	0.1933
GO:0045281	succinate dehydrogenase complex	6	1	0.21	0.1933
GO:0045283	fumarate reductase complex	6	1	0.21	0.1933
GO:0106068	SUMO ligase complex	6	1	0.21	0.1933
GO:0000428	DNA-directed RNA polymerase complex	88	5	3.09	0.1972
GO:0030880	RNA polymerase complex	89	5	3.13	0.2034
GO:0000781	chromosome, telomeric region	46	3	1.62	0.2190
GO:0098687	chromosomal region	215	10	7.56	0.2255
GO:0000779	condensed chromosome, centromeric region	70	4	2.46	0.2316
GO:0090576	RNA polymerase III transcription regulat...	8	1	0.28	0.2490
GO:0034719	SMN-Sm protein complex	9	1	0.32	0.2754
GO:0005669	transcription factor TFIID complex	30	2	1.05	0.2846
GO:0061617	MICOS complex	10	1	0.35	0.3009
GO:0005814	centriole	55	3	1.93	0.3049
GO:0017053	transcription repressor complex	33	2	1.16	0.3240
GO:1902562	H4 histone acetyltransferase complex	33	2	1.16	0.3240
GO:0000276	mitochondrial proton-transporting ATP sy...	11	1	0.39	0.3255
GO:0016460	myosin II complex	11	1	0.39	0.3255
GO:0045263	proton-transporting ATP synthase complex...	11	1	0.39	0.3255
GO:0031304	intrinsic component of mitochondrial inn...	12	1	0.42	0.3493
GO:0031305	integral component of mitochondrial inne...	12	1	0.42	0.3493
GO:0032592	integral component of mitochondrial memb...	12	1	0.42	0.3493
