GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0043015	gamma-tubulin binding	13	3	0.42	0.0073
GO:1990269	RNA polymerase II C-terminal domain phos...	5	2	0.16	0.0096
GO:0008878	glucose-1-phosphate adenylyltransferase ...	1	1	0.03	0.0320
GO:1990470	piRNA cluster binding	1	1	0.03	0.0320
GO:0140804	NAD+- protein-lysine ADP-ribosyltransfer...	1	1	0.03	0.0320
GO:0008061	chitin binding	118	8	3.78	0.0357
GO:0051011	microtubule minus-end binding	10	2	0.32	0.0389
GO:0019789	SUMO transferase activity	10	2	0.32	0.0389
GO:0005201	extracellular matrix structural constitu...	26	3	0.83	0.0492
GO:0016929	deSUMOylase activity	2	1	0.06	0.0631
GO:0005158	insulin receptor binding	14	2	0.45	0.0723
GO:0042056	chemoattractant activity	3	1	0.1	0.0931
GO:0033149	FFAT motif binding	3	1	0.1	0.0931
GO:0008017	microtubule binding	128	7	4.1	0.1167
GO:0000150	DNA strand exchange activity	4	1	0.13	0.1221
GO:0061665	SUMO ligase activity	4	1	0.13	0.1221
GO:0005213	structural constituent of egg chorion	4	1	0.13	0.1221
GO:0001671	ATPase activator activity	20	2	0.64	0.1333
GO:0005179	hormone activity	41	3	1.31	0.1431
GO:0005375	copper ion transmembrane transporter act...	5	1	0.16	0.1503
GO:0034584	piRNA binding	5	1	0.16	0.1503
GO:0140575	transmembrane monodehydroascorbate reduc...	5	1	0.16	0.1503
GO:0005172	vascular endothelial growth factor recep...	5	1	0.16	0.1503
GO:0000182	rDNA binding	5	1	0.16	0.1503
GO:0005536	glucose binding	5	1	0.16	0.1503
GO:1990404	NAD+-protein ADP-ribosyltransferase acti...	5	1	0.16	0.1503
GO:0003950	NAD+ ADP-ribosyltransferase activity	5	1	0.16	0.1503
GO:0140571	transmembrane ascorbate ferrireductase a...	6	1	0.19	0.1775
GO:0044390	ubiquitin-like protein conjugating enzym...	26	2	0.83	0.2020
GO:0008177	succinate dehydrogenase (ubiquinone) act...	7	1	0.22	0.2039
GO:0005355	glucose transmembrane transporter activi...	7	1	0.22	0.2039
GO:0051787	misfolded protein binding	7	1	0.22	0.2039
GO:0000104	succinate dehydrogenase activity	7	1	0.22	0.2039
GO:0016635	oxidoreductase activity, acting on the C...	8	1	0.26	0.2294
GO:0000400	four-way junction DNA binding	8	1	0.26	0.2294
GO:0140677	molecular function activator activity	29	2	0.93	0.2377
GO:0004867	serine-type endopeptidase inhibitor acti...	57	3	1.83	0.2755
GO:0031386	protein tag	12	1	0.38	0.3236
GO:0048029	monosaccharide binding	37	2	1.19	0.3333
GO:0009055	electron transfer activity	37	2	1.19	0.3333
GO:0004252	serine-type endopeptidase activity	206	8	6.6	0.3403
GO:0030527	structural constituent of chromatin	13	1	0.42	0.3453
GO:0015631	tubulin binding	165	9	5.29	0.3539
GO:0030246	carbohydrate binding	123	5	3.94	0.3593
GO:0019212	phosphatase inhibitor activity	14	1	0.45	0.3663
GO:0048487	beta-tubulin binding	14	1	0.45	0.3663
GO:0042162	telomeric DNA binding	14	1	0.45	0.3663
GO:0004864	protein phosphatase inhibitor activity	14	1	0.45	0.3663
GO:0061980	regulatory RNA binding	14	1	0.45	0.3663
GO:0000217	DNA secondary structure binding	14	1	0.45	0.3663
GO:0097602	cullin family protein binding	15	1	0.48	0.3866
GO:0015149	hexose transmembrane transporter activit...	15	1	0.48	0.3866
GO:0015145	monosaccharide transmembrane transporter...	16	1	0.51	0.4063
GO:0048018	receptor ligand activity	101	4	3.24	0.4065
GO:0016722	oxidoreductase activity, acting on metal...	17	1	0.54	0.4254
GO:0070566	adenylyltransferase activity	17	1	0.54	0.4254
GO:0004866	endopeptidase inhibitor activity	75	3	2.4	0.4331
GO:0008013	beta-catenin binding	18	1	0.58	0.4438
GO:0043539	protein serine/threonine kinase activato...	18	1	0.58	0.4438
GO:0140359	ABC-type transporter activity	47	2	1.51	0.4472
GO:0030546	signaling receptor activator activity	107	4	3.43	0.4497
GO:0008236	serine-type peptidase activity	229	8	7.34	0.4526
GO:0030414	peptidase inhibitor activity	78	3	2.5	0.4585
GO:0017124	SH3 domain binding	19	1	0.61	0.4616
GO:0030545	signaling receptor regulator activity	111	4	3.56	0.4780
GO:0019798	procollagen-proline dioxygenase activity	20	1	0.64	0.4789
