GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0007127	meiosis I	71	12	2.92	2.8e-05
GO:0051321	meiotic cell cycle	234	24	9.62	3.3e-05
GO:0061982	meiosis I cell cycle process	110	15	4.52	4.1e-05
GO:0045132	meiotic chromosome segregation	64	11	2.63	5.2e-05
GO:0140541	piRNA transcription	3	3	0.12	6.9e-05
GO:0140542	regulation of piRNA transcription	3	3	0.12	6.9e-05
GO:0140543	positive regulation of piRNA transcripti...	3	3	0.12	6.9e-05
GO:1903046	meiotic cell cycle process	200	21	8.22	7.3e-05
GO:0140013	meiotic nuclear division	166	18	6.82	0.00016
GO:0098813	nuclear chromosome segregation	182	19	7.48	0.00017
GO:0070192	chromosome organization involved in meio...	54	9	2.22	0.00032
GO:0000280	nuclear division	318	26	13.07	0.00064
GO:0007131	reciprocal meiotic recombination	37	7	1.52	0.00066
GO:0140527	reciprocal homologous recombination	37	7	1.52	0.00066
GO:0035825	homologous recombination	38	7	1.56	0.00079
GO:0007059	chromosome segregation	207	19	8.51	0.00087
GO:0007141	male meiosis I	13	4	0.53	0.00150
GO:0048136	male germ-line cyst formation	2	2	0.08	0.00168
GO:0048285	organelle fission	340	26	13.97	0.00170
GO:0051276	chromosome organization	331	25	13.6	0.00245
GO:0007129	homologous chromosome pairing at meiosis	15	4	0.62	0.00267
GO:0010525	regulation of transposition, RNA-mediate...	8	3	0.33	0.00331
GO:0010526	negative regulation of transposition, RN...	8	3	0.33	0.00331
GO:0010528	regulation of transposition	8	3	0.33	0.00331
GO:0010529	negative regulation of transposition	8	3	0.33	0.00331
GO:0032197	transposition, RNA-mediated	8	3	0.33	0.00331
GO:0070193	synaptonemal complex organization	17	4	0.7	0.00437
GO:0032196	transposition	9	3	0.37	0.00481
GO:0007130	synaptonemal complex assembly	10	3	0.41	0.00666
GO:0030719	P granule organization	11	3	0.45	0.00888
GO:0045143	homologous chromosome segregation	21	4	0.86	0.00965
GO:0051788	response to misfolded protein	12	3	0.49	0.01149
GO:0071218	cellular response to misfolded protein	12	3	0.49	0.01149
GO:0140747	regulation of ncRNA transcription	12	3	0.49	0.01149
GO:0051382	kinetochore assembly	5	2	0.21	0.01551
GO:0061964	negative regulation of entry into reprod...	5	2	0.21	0.01551
GO:0007135	meiosis II	15	3	0.62	0.02169
GO:0043984	histone H4-K16 acetylation	6	2	0.25	0.02264
GO:0055116	entry into reproductive diapause	6	2	0.25	0.02264
GO:0061963	regulation of entry into reproductive di...	6	2	0.25	0.02264
GO:0071712	ER-associated misfolded protein cataboli...	6	2	0.25	0.02264
GO:0007143	female meiotic nuclear division	54	6	2.22	0.02270
GO:0019953	sexual reproduction	1005	54	41.3	0.02372
GO:0000003	reproduction	1314	68	54	0.02493
GO:0022402	cell cycle process	627	36	25.77	0.02574
GO:0000819	sister chromatid segregation	140	11	5.75	0.02927
GO:0055115	entry into diapause	7	2	0.29	0.03084
GO:1990834	response to odorant	7	2	0.29	0.03084
GO:0035967	cellular response to topologically incor...	44	5	1.81	0.03334
GO:0007283	spermatogenesis	259	17	10.64	0.03848
GO:0009301	snRNA transcription	8	2	0.33	0.04002
GO:0022611	dormancy process	8	2	0.33	0.04002
GO:0042795	snRNA transcription by RNA polymerase II	8	2	0.33	0.04002
GO:0045144	meiotic sister chromatid segregation	8	2	0.33	0.04002
GO:0051177	meiotic sister chromatid cohesion	8	2	0.33	0.04002
GO:0034508	centromere complex assembly	19	3	0.78	0.04094
GO:0001015	snoRNA transcription by RNA polymerase I...	1	1	0.04	0.04109
GO:0009302	sno(s)RNA transcription	1	1	0.04	0.04109
GO:0010778	meiotic DNA repair synthesis involved in...	1	1	0.04	0.04109
GO:0051308	male meiosis chromosome separation	1	1	0.04	0.04109
GO:0051415	microtubule nucleation by interphase mic...	1	1	0.04	0.04109
GO:0072765	centromere localization	1	1	0.04	0.04109
GO:0098653	centromere clustering	1	1	0.04	0.04109
GO:0048232	male gamete generation	301	19	12.37	0.04180
GO:0035966	response to topologically incorrect prot...	47	5	1.93	0.04266
GO:0006883	cellular sodium ion homeostasis	9	2	0.37	0.05008
GO:0016233	telomere capping	9	2	0.37	0.05008
GO:0030007	cellular potassium ion homeostasis	9	2	0.37	0.05008
GO:0036376	sodium ion export across plasma membrane	9	2	0.37	0.05008
GO:0040020	regulation of meiotic nuclear division	9	2	0.37	0.05008
GO:0043967	histone H4 acetylation	9	2	0.37	0.05008
GO:0051383	kinetochore organization	9	2	0.37	0.05008
GO:0071786	endoplasmic reticulum tubular network or...	9	2	0.37	0.05008
