GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0043015	gamma-tubulin binding	13	3	0.52	0.013
GO:1990269	RNA polymerase II C-terminal domain phos...	5	2	0.2	0.015
GO:0005201	extracellular matrix structural constitu...	26	4	1.04	0.019
GO:0099122	RNA polymerase II C-terminal domain bind...	6	2	0.24	0.021
GO:0050815	phosphoserine residue binding	8	2	0.32	0.038
GO:0008878	glucose-1-phosphate adenylyltransferase ...	1	1	0.04	0.040
GO:0043221	SMC family protein binding	1	1	0.04	0.040
GO:0140804	NAD+- protein-lysine ADP-ribosyltransfer...	1	1	0.04	0.040
GO:1990470	piRNA cluster binding	1	1	0.04	0.040
GO:0008061	chitin binding	118	9	4.71	0.046
GO:0019789	SUMO transferase activity	10	2	0.4	0.058
GO:0051011	microtubule minus-end binding	10	2	0.4	0.058
GO:0016929	deSUMOylase activity	2	1	0.08	0.078
GO:0005158	insulin receptor binding	14	2	0.56	0.105
GO:0042162	telomeric DNA binding	14	2	0.56	0.105
GO:0004896	cytokine receptor activity	3	1	0.12	0.115
GO:0033149	FFAT motif binding	3	1	0.12	0.115
GO:0042056	chemoattractant activity	3	1	0.12	0.115
GO:0043515	kinetochore binding	3	1	0.12	0.115
GO:0140375	immune receptor activity	3	1	0.12	0.115
GO:0015631	tubulin binding	165	10	6.58	0.124
GO:0008017	microtubule binding	128	8	5.11	0.139
GO:0045309	protein phosphorylated amino acid bindin...	17	2	0.68	0.146
GO:0000150	DNA strand exchange activity	4	1	0.16	0.150
GO:0004054	arginine kinase activity	4	1	0.16	0.150
GO:0004111	creatine kinase activity	4	1	0.16	0.150
GO:0005213	structural constituent of egg chorion	4	1	0.16	0.150
GO:0016775	phosphotransferase activity, nitrogenous...	4	1	0.16	0.150
GO:0043047	single-stranded telomeric DNA binding	4	1	0.16	0.150
GO:0061665	SUMO ligase activity	4	1	0.16	0.150
GO:0051219	phosphoprotein binding	19	2	0.76	0.174
GO:0000182	rDNA binding	5	1	0.2	0.184
GO:0003950	NAD+ ADP-ribosyltransferase activity	5	1	0.2	0.184
GO:0005172	vascular endothelial growth factor recep...	5	1	0.2	0.184
GO:0005375	copper ion transmembrane transporter act...	5	1	0.2	0.184
GO:0005536	glucose binding	5	1	0.2	0.184
GO:0034584	piRNA binding	5	1	0.2	0.184
GO:0098847	sequence-specific single stranded DNA bi...	5	1	0.2	0.184
GO:0140575	transmembrane monodehydroascorbate reduc...	5	1	0.2	0.184
GO:1990404	NAD+-protein ADP-ribosyltransferase acti...	5	1	0.2	0.184
GO:0001671	ATPase activator activity	20	2	0.8	0.189
GO:0019202	amino acid kinase activity	6	1	0.24	0.217
GO:0140571	transmembrane ascorbate ferrireductase a...	6	1	0.24	0.217
GO:0005179	hormone activity	41	3	1.64	0.224
GO:0000104	succinate dehydrogenase activity	7	1	0.28	0.248
GO:0005355	glucose transmembrane transporter activi...	7	1	0.28	0.248
GO:0008177	succinate dehydrogenase (ubiquinone) act...	7	1	0.28	0.248
GO:0051787	misfolded protein binding	7	1	0.28	0.248
GO:0000993	RNA polymerase II complex binding	24	2	0.96	0.248
GO:0000400	four-way junction DNA binding	8	1	0.32	0.278
GO:0004060	arylamine N-acetyltransferase activity	8	1	0.32	0.278
GO:0016635	oxidoreductase activity, acting on the C...	8	1	0.32	0.278
GO:0044390	ubiquitin-like protein conjugating enzym...	26	2	1.04	0.278
GO:0043175	RNA polymerase core enzyme binding	27	2	1.08	0.293
GO:0004252	serine-type endopeptidase activity	206	10	8.22	0.308
