GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002181	cytoplasmic translation	138	80	7.87	< 1e-30
GO:0006412	translation	504	114	28.75	< 1e-30
GO:0044085	cellular component biogenesis	1546	208	88.2	< 1e-30
GO:0009987	cellular process	8110	570	462.7	< 1e-30
GO:0043043	peptide biosynthetic process	549	114	31.32	< 1e-30
GO:0043604	amide biosynthetic process	607	116	34.63	< 1e-30
GO:0022607	cellular component assembly	1327	180	75.71	< 1e-30
GO:0071840	cellular component organization or bioge...	3225	317	184	< 1e-30
GO:0006518	peptide metabolic process	638	115	36.4	2.9e-30
GO:0034645	cellular macromolecule biosynthetic proc...	721	123	41.14	4.6e-30
GO:0044260	cellular macromolecule metabolic process	1666	201	95.05	1.8e-28
GO:0043603	cellular amide metabolic process	742	118	42.33	6.1e-26
GO:0016043	cellular component organization	3046	292	173.78	6.8e-26
GO:0051641	cellular localization	1338	169	76.34	1.4e-25
GO:0010467	gene expression	2621	260	149.54	2.2e-24
GO:0019538	protein metabolic process	2565	255	146.34	6.7e-24
GO:0022613	ribonucleoprotein complex biogenesis	356	73	20.31	1.4e-22
GO:1901566	organonitrogen compound biosynthetic pro...	1080	139	61.62	1.9e-21
GO:0009059	macromolecule biosynthetic process	2038	212	116.27	2.0e-21
GO:0044271	cellular nitrogen compound biosynthetic ...	2095	215	119.53	5.1e-21
GO:0071826	ribonucleoprotein complex subunit organi...	152	45	8.67	6.4e-21
GO:0022618	ribonucleoprotein complex assembly	147	44	8.39	1.1e-20
GO:0070727	cellular macromolecule localization	958	126	54.66	3.8e-20
GO:0032502	developmental process	2931	268	167.22	9.1e-20
GO:0043933	protein-containing complex organization	684	101	39.02	1.1e-19
GO:0051649	establishment of localization in cell	919	121	52.43	2.3e-19
GO:0044237	cellular metabolic process	4937	387	281.67	3.3e-19
GO:0065003	protein-containing complex assembly	599	92	34.17	4.4e-19
GO:0048856	anatomical structure development	2673	249	152.5	4.8e-19
GO:0008104	protein localization	919	120	52.43	6.8e-19
GO:0065007	biological regulation	4791	376	273.34	2.7e-18
GO:0050789	regulation of biological process	4364	351	248.98	3.9e-18
GO:0034641	cellular nitrogen compound metabolic pro...	3103	274	177.03	4.6e-18
GO:0006996	organelle organization	1777	184	101.38	6.5e-18
GO:1901564	organonitrogen compound metabolic proces...	3152	276	179.83	1.0e-17
GO:0007010	cytoskeleton organization	663	95	37.83	1.3e-17
GO:0009653	anatomical structure morphogenesis	1504	163	85.81	1.5e-17
GO:0043170	macromolecule metabolic process	4498	356	256.62	2.9e-17
GO:0016192	vesicle-mediated transport	618	90	35.26	3.8e-17
GO:0046907	intracellular transport	792	105	45.19	5.7e-17
GO:0007275	multicellular organism development	2229	212	127.17	1.3e-16
GO:0051668	localization within membrane	252	52	14.38	1.9e-16
GO:0033036	macromolecule localization	1168	134	66.64	3.0e-16
GO:0048731	system development	1516	160	86.49	4.2e-16
GO:0050794	regulation of cellular process	3956	320	225.7	5.3e-16
GO:0051247	positive regulation of protein metabolic...	305	57	17.4	7.1e-16
GO:0048513	animal organ development	1250	139	71.32	9.9e-16
GO:0044249	cellular biosynthetic process	2569	230	146.57	4.4e-15
GO:1901576	organic substance biosynthetic process	2615	233	149.19	4.5e-15
GO:0007154	cell communication	2038	194	116.27	5.2e-15
GO:0030154	cell differentiation	1729	172	98.64	6.8e-15
GO:0048518	positive regulation of biological proces...	1972	189	112.51	7.2e-15
GO:0030029	actin filament-based process	312	56	17.8	8.1e-15
GO:0009058	biosynthetic process	2644	234	150.85	8.4e-15
GO:0023052	signaling	1992	190	113.65	9.7e-15
GO:0048869	cellular developmental process	1738	172	99.16	1.1e-14
GO:0044000	movement in host	33	18	1.88	1.5e-14
GO:0044409	entry into host	33	18	1.88	1.5e-14
GO:0046718	viral entry into host cell	33	18	1.88	1.5e-14
GO:0051701	biological process involved in interacti...	33	18	1.88	1.5e-14
GO:0051128	regulation of cellular component organiz...	803	100	45.81	2.4e-14
GO:0007049	cell cycle	828	102	47.24	2.5e-14
GO:0048468	cell development	1340	142	76.45	2.5e-14
GO:0000278	mitotic cell cycle	507	74	28.93	3.0e-14
GO:0065008	regulation of biological quality	1345	142	76.74	3.5e-14
GO:0045184	establishment of protein localization	621	84	35.43	3.9e-14
GO:0051179	localization	2465	220	140.64	4.0e-14
GO:0035556	intracellular signal transduction	738	94	42.1	4.1e-14
GO:0009888	tissue development	997	115	56.88	4.6e-14
GO:0030036	actin cytoskeleton organization	298	53	17	6.6e-14
GO:0016032	viral process	67	24	3.82	8.6e-14
GO:0060429	epithelium development	910	107	51.92	1.2e-13
GO:0007267	cell-cell signaling	521	74	29.72	1.3e-13
GO:0140352	export from cell	249	47	14.21	1.9e-13
GO:0044403	biological process involved in symbiotic...	42	19	2.4	2.3e-13
GO:0007163	establishment or maintenance of cell pol...	197	41	11.24	2.5e-13
GO:0072657	protein localization to membrane	206	42	11.75	2.6e-13
GO:0048522	positive regulation of cellular process	1758	169	100.3	3.1e-13
GO:0019058	viral life cycle	48	20	2.74	3.6e-13
GO:0007264	small GTPase mediated signal transductio...	185	39	10.55	6.3e-13
GO:0048523	negative regulation of cellular process	1354	139	77.25	6.5e-13
GO:0034330	cell junction organization	366	58	20.88	7.1e-13
GO:0000902	cell morphogenesis	540	74	30.81	8.1e-13
GO:0006807	nitrogen compound metabolic process	4893	363	279.16	9.4e-13
GO:0051716	cellular response to stimulus	2311	205	131.85	1.0e-12
GO:0032940	secretion by cell	233	44	13.29	1.2e-12
GO:0051234	establishment of localization	2137	193	121.92	1.3e-12
GO:0007265	Ras protein signal transduction	165	36	9.41	1.7e-12
GO:0006397	mRNA processing	333	54	19	1.8e-12
GO:0061136	regulation of proteasomal protein catabo...	89	26	5.08	1.9e-12
GO:0032501	multicellular organismal process	3347	270	190.96	2.3e-12
GO:0051049	regulation of transport	408	61	23.28	2.4e-12
GO:0000375	RNA splicing, via transesterification re...	266	47	15.18	2.4e-12
GO:0000377	RNA splicing, via transesterification re...	266	47	15.18	2.4e-12
GO:0000398	mRNA splicing, via spliceosome	266	47	15.18	2.4e-12
GO:0007165	signal transduction	1785	168	101.84	2.4e-12
GO:0016071	mRNA metabolic process	432	63	24.65	3.1e-12
GO:0032879	regulation of localization	557	74	31.78	3.8e-12
GO:0048477	oogenesis	548	73	31.26	4.8e-12
GO:0008152	metabolic process	5920	417	337.75	4.8e-12
GO:0042176	regulation of protein catabolic process	124	30	7.07	7.8e-12
GO:0006810	transport	2061	185	117.59	8.9e-12
GO:0008380	RNA splicing	296	49	16.89	9.5e-12
GO:0015031	protein transport	570	74	32.52	1.2e-11
GO:0030865	cortical cytoskeleton organization	69	22	3.94	1.4e-11
GO:0007281	germ cell development	667	82	38.05	1.5e-11
GO:0009896	positive regulation of catabolic process	213	40	12.15	1.5e-11
GO:0048583	regulation of response to stimulus	1126	118	64.24	1.6e-11
GO:0051246	regulation of protein metabolic process	656	81	37.43	1.6e-11
GO:0009894	regulation of catabolic process	362	55	20.65	1.6e-11
GO:0046903	secretion	253	44	14.43	2.1e-11
GO:0048519	negative regulation of biological proces...	1658	156	94.59	2.2e-11
GO:0050808	synapse organization	293	48	16.72	2.3e-11
GO:0070647	protein modification by small protein co...	348	53	19.85	3.5e-11
GO:0016477	cell migration	361	54	20.6	4.6e-11
GO:0007399	nervous system development	1161	119	66.24	5.4e-11
GO:1903050	regulation of proteolysis involved in pr...	102	26	5.82	5.6e-11
GO:0070925	organelle assembly	473	64	26.99	5.8e-11
GO:0010646	regulation of cell communication	1030	109	58.76	6.2e-11
GO:0023051	regulation of signaling	1030	109	58.76	6.2e-11
GO:0009791	post-embryonic development	590	74	33.66	6.3e-11
GO:0060341	regulation of cellular localization	233	41	13.29	7.2e-11
