GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002181	cytoplasmic translation	138	80	7.87	< 1e-30
GO:0046718	viral entry into host cell	33	18	1.88	6.8e-13
GO:0030866	cortical actin cytoskeleton organization	62	20	3.54	2.2e-09
GO:0032482	Rab protein signal transduction	41	15	2.34	2.9e-09
GO:0050821	protein stabilization	65	17	3.71	8.2e-08
GO:0000278	mitotic cell cycle	507	74	28.93	1.6e-07
GO:0045879	negative regulation of smoothened signal...	47	14	2.68	2.0e-07
GO:0031623	receptor internalization	19	9	1.08	3.3e-07
GO:0048488	synaptic vesicle endocytosis	36	12	2.05	3.8e-07
GO:0000387	spliceosomal snRNP assembly	25	10	1.43	5.1e-07
GO:0000398	mRNA splicing, via spliceosome	266	47	15.18	6.1e-07
GO:0022618	ribonucleoprotein complex assembly	147	44	8.39	7.2e-07
GO:0007269	neurotransmitter secretion	92	23	5.25	1.6e-06
GO:0000281	mitotic cytokinesis	62	18	3.54	1.9e-06
GO:0006886	intracellular protein transport	393	54	22.42	2.1e-06
GO:0008360	regulation of cell shape	65	17	3.71	2.9e-06
GO:0032436	positive regulation of proteasomal ubiqu...	58	14	3.31	3.3e-06
GO:0007298	border follicle cell migration	110	20	6.28	3.4e-06
GO:0042274	ribosomal small subunit biogenesis	93	23	5.31	5.7e-06
GO:0035317	imaginal disc-derived wing hair organiza...	42	14	2.4	6.9e-06
GO:0000028	ribosomal small subunit assembly	15	7	0.86	8.2e-06
GO:0008355	olfactory learning	33	10	1.88	9.5e-06
GO:0007528	neuromuscular junction development	152	27	8.67	2.0e-05
GO:0022409	positive regulation of cell-cell adhesio...	23	8	1.31	2.4e-05
GO:0070936	protein K48-linked ubiquitination	23	8	1.31	2.4e-05
GO:0051491	positive regulation of filopodium assemb...	23	8	1.31	2.4e-05
GO:0007395	dorsal closure, spreading of leading edg...	8	5	0.46	2.9e-05
GO:0001732	formation of cytoplasmic translation ini...	18	7	1.03	3.5e-05
GO:1901800	positive regulation of proteasomal prote...	71	20	4.05	3.7e-05
GO:0070979	protein K11-linked ubiquitination	19	7	1.08	5.2e-05
GO:0031629	synaptic vesicle fusion to presynaptic a...	9	5	0.51	6.2e-05
GO:0046664	dorsal closure, amnioserosa morphology c...	9	5	0.51	6.2e-05
GO:0032956	regulation of actin cytoskeleton organiz...	111	23	6.33	6.5e-05
GO:0072659	protein localization to plasma membrane	70	19	3.99	6.8e-05
GO:0045995	regulation of embryonic development	63	15	3.59	8.2e-05
GO:0007349	cellularization	99	20	5.65	8.4e-05
GO:0035159	regulation of tube length, open tracheal...	27	8	1.54	9.0e-05
GO:0045880	positive regulation of smoothened signal...	42	10	2.4	9.5e-05
GO:0009826	unidimensional cell growth	21	7	1.2	0.00011
GO:0043066	negative regulation of apoptotic process	172	23	9.81	0.00011
GO:0007265	Ras protein signal transduction	165	36	9.41	0.00012
GO:0007212	dopamine receptor signaling pathway	10	5	0.57	0.00012
GO:0007030	Golgi organization	98	16	5.59	0.00012
GO:2000114	regulation of establishment of cell pola...	6	4	0.34	0.00014
GO:0006616	SRP-dependent cotranslational protein ta...	6	4	0.34	0.00014
GO:0035099	hemocyte migration	22	7	1.26	0.00015
GO:0050905	neuromuscular process	22	7	1.26	0.00015
GO:0050807	regulation of synapse organization	147	25	8.39	0.00017
GO:0042052	rhabdomere development	37	9	2.11	0.00018
GO:0070925	organelle assembly	473	64	26.99	0.00020
GO:0019722	calcium-mediated signaling	38	9	2.17	0.00022
GO:0060079	excitatory postsynaptic potential	17	6	0.97	0.00024
GO:0008103	oocyte microtubule cytoskeleton polariza...	17	6	0.97	0.00024
GO:0022416	chaeta development	74	13	4.22	0.00025
GO:0007409	axonogenesis	304	37	17.34	0.00026
GO:0033365	protein localization to organelle	371	44	21.17	0.00026
GO:0048477	oogenesis	548	73	31.26	0.00026
GO:0099173	postsynapse organization	39	9	2.23	0.00027
GO:0007605	sensory perception of sound	66	12	3.77	0.00031
GO:0002183	cytoplasmic translational initiation	25	11	1.43	0.00031
GO:0006414	translational elongation	48	10	2.74	0.00031
GO:0032456	endocytic recycling	48	13	2.74	0.00032
GO:1905475	regulation of protein localization to me...	26	10	1.48	0.00033
GO:0030334	regulation of cell migration	137	23	7.82	0.00033
GO:0032435	negative regulation of proteasomal ubiqu...	12	5	0.68	0.00034
GO:0007035	vacuolar acidification	18	6	1.03	0.00035
GO:0033554	cellular response to stress	744	80	42.45	0.00042
GO:0006446	regulation of translational initiation	33	8	1.88	0.00042
GO:0090263	positive regulation of canonical Wnt sig...	50	10	2.85	0.00044
GO:0007389	pattern specification process	472	60	26.93	0.00050
GO:0007303	cytoplasmic transport, nurse cell to ooc...	13	5	0.74	0.00052
GO:0000902	cell morphogenesis	540	74	30.81	0.00059
GO:2001135	regulation of endocytic recycling	8	4	0.46	0.00061
GO:0045451	pole plasm oskar mRNA localization	43	11	2.45	0.00063
GO:0034314	Arp2/3 complex-mediated actin nucleation	20	6	1.14	0.00065
GO:1902600	proton transmembrane transport	92	14	5.25	0.00067
GO:0007416	synapse assembly	147	24	8.39	0.00069
GO:0016060	metarhodopsin inactivation	4	3	0.23	0.00071
GO:0035278	miRNA-mediated gene silencing by inhibit...	4	3	0.23	0.00071
GO:0097753	membrane bending	4	3	0.23	0.00071
GO:0032486	Rap protein signal transduction	4	3	0.23	0.00071
GO:1903292	protein localization to Golgi membrane	4	3	0.23	0.00071
GO:1903078	positive regulation of protein localizat...	14	5	0.8	0.00077
GO:0070534	protein K63-linked ubiquitination	14	5	0.8	0.00077
GO:0010507	negative regulation of autophagy	36	8	2.05	0.00078
GO:0043523	regulation of neuron apoptotic process	36	8	2.05	0.00078
GO:0010628	positive regulation of gene expression	275	35	15.69	0.00086
GO:0006334	nucleosome assembly	21	6	1.2	0.00087
GO:0043001	Golgi to plasma membrane protein transpo...	21	6	1.2	0.00087
GO:0008582	regulation of synaptic assembly at neuro...	84	13	4.79	0.00088
GO:0045595	regulation of cell differentiation	324	36	18.49	0.00101
GO:0010592	positive regulation of lamellipodium ass...	9	4	0.51	0.00105
GO:1990182	exosomal secretion	9	4	0.51	0.00105
GO:1905168	positive regulation of double-strand bre...	15	5	0.86	0.00111
GO:0001737	establishment of imaginal disc-derived w...	22	6	1.26	0.00114
GO:0051495	positive regulation of cytoskeleton orga...	47	9	2.68	0.00117
