GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0032991	protein-containing complex	2902	392	163.01	< 1e-30
GO:0022626	cytosolic ribosome	106	70	5.95	< 1e-30
GO:0005829	cytosol	1254	218	70.44	< 1e-30
GO:1990904	ribonucleoprotein complex	601	135	33.76	< 1e-30
GO:0005737	cytoplasm	5052	453	283.77	< 1e-30
GO:0043228	non-membrane-bounded organelle	1871	250	105.09	< 1e-30
GO:0043232	intracellular non-membrane-bounded organ...	1871	250	105.09	< 1e-30
GO:0005622	intracellular anatomical structure	6857	535	385.16	< 1e-30
GO:0005840	ribosome	210	78	11.8	< 1e-30
GO:0043229	intracellular organelle	5997	490	336.85	< 1e-30
GO:0043226	organelle	6109	494	343.14	< 1e-30
GO:0044391	ribosomal subunit	171	67	9.61	< 1e-30
GO:0022627	cytosolic small ribosomal subunit	40	32	2.25	< 1e-30
GO:0022625	cytosolic large ribosomal subunit	59	36	3.31	1.5e-30
GO:0030054	cell junction	615	111	34.54	9.0e-30
GO:0043231	intracellular membrane-bounded organelle	5388	420	302.65	1.8e-23
GO:1902494	catalytic complex	1097	143	61.62	2.9e-23
GO:0043227	membrane-bounded organelle	5613	431	315.28	4.1e-23
GO:0045202	synapse	439	81	24.66	2.6e-22
GO:0015935	small ribosomal subunit	69	32	3.88	2.9e-22
GO:0005634	nucleus	3098	282	174.02	7.4e-22
GO:0031981	nuclear lumen	956	125	53.7	2.7e-20
GO:0015934	large ribosomal subunit	105	36	5.9	1.5e-19
GO:0005856	cytoskeleton	720	103	40.44	1.7e-19
GO:0031982	vesicle	637	95	35.78	3.1e-19
GO:0097525	spliceosomal snRNP complex	49	23	2.75	1.7e-16
GO:0140513	nuclear protein-containing complex	841	107	47.24	1.9e-16
GO:0015629	actin cytoskeleton	143	38	8.03	2.6e-16
GO:0110165	cellular anatomical entity	9718	594	545.86	2.8e-16
GO:0071011	precatalytic spliceosome	138	37	7.75	4.7e-16
GO:0005681	spliceosomal complex	190	43	10.67	1.6e-15
GO:0030532	small nuclear ribonucleoprotein complex	65	25	3.65	2.6e-15
GO:0031410	cytoplasmic vesicle	558	80	31.34	2.9e-15
GO:0097708	intracellular vesicle	558	80	31.34	2.9e-15
GO:0070013	intracellular organelle lumen	1236	135	69.43	3.9e-15
GO:0031974	membrane-enclosed lumen	1239	135	69.6	4.8e-15
GO:0043233	organelle lumen	1239	135	69.6	4.8e-15
GO:0120114	Sm-like protein family complex	73	26	4.1	6.4e-15
GO:0071013	catalytic step 2 spliceosome	123	33	6.91	1.8e-14
GO:0097526	spliceosomal tri-snRNP complex	23	15	1.29	4.8e-14
GO:0098797	plasma membrane protein complex	165	37	9.27	2.1e-13
GO:0005938	cell cortex	202	41	11.35	3.6e-13
GO:0030864	cortical actin cytoskeleton	34	17	1.91	4.2e-13
GO:0099080	supramolecular complex	457	66	25.67	7.2e-13
GO:0042995	cell projection	850	99	47.74	8.9e-13
GO:0098796	membrane protein complex	529	70	29.71	9.5e-12
GO:0005665	RNA polymerase II, core complex	12	10	0.67	1.7e-11
GO:0005730	nucleolus	297	48	16.68	2.2e-11
GO:0140535	intracellular protein-containing complex	611	76	34.32	2.5e-11
GO:0120025	plasma membrane bounded cell projection	826	93	46.4	3.4e-11
GO:0098793	presynapse	216	39	12.13	6.1e-11
GO:0030863	cortical cytoskeleton	46	17	2.58	1.7e-10
GO:0005844	polysome	41	16	2.3	2.2e-10
GO:0099512	supramolecular fiber	286	45	16.06	2.4e-10
GO:0099081	supramolecular polymer	289	45	16.23	3.4e-10
GO:0048471	perinuclear region of cytoplasm	147	30	8.26	4.9e-10
GO:0030139	endocytic vesicle	50	17	2.81	7.6e-10
GO:0046540	U4/U6 x U5 tri-snRNP complex	19	11	1.07	8.0e-10
GO:0005686	U2 snRNP	20	11	1.12	1.7e-09
GO:0071944	cell periphery	1981	169	111.27	2.1e-09
GO:0005886	plasma membrane	1589	142	89.25	3.2e-09
GO:0032993	protein-DNA complex	68	19	3.82	3.3e-09
GO:0098794	postsynapse	124	26	6.97	3.9e-09
GO:0005654	nucleoplasm	602	69	33.81	7.7e-09
GO:0015630	microtubule cytoskeleton	482	59	27.07	9.4e-09
GO:0000228	nuclear chromosome	148	28	8.31	1.1e-08
GO:0005689	U12-type spliceosomal complex	11	8	0.62	1.3e-08
GO:0000786	nucleosome	25	11	1.4	3.5e-08
GO:0005834	heterotrimeric G-protein complex	12	8	0.67	3.8e-08
