GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0022627	cytosolic small ribosomal subunit	40	32	2.25	< 1e-30
GO:0022625	cytosolic large ribosomal subunit	59	36	3.31	1.5e-30
GO:0005829	cytosol	1254	218	70.44	9.4e-27
GO:0071011	precatalytic spliceosome	138	37	7.75	4.7e-16
GO:0071013	catalytic step 2 spliceosome	123	33	6.91	1.8e-14
GO:0032991	protein-containing complex	2902	392	163.01	2.0e-12
GO:0005665	RNA polymerase II, core complex	12	10	0.67	1.7e-11
GO:0030864	cortical actin cytoskeleton	34	17	1.91	6.4e-11
GO:0048471	perinuclear region of cytoplasm	147	30	8.26	4.9e-10
GO:0005730	nucleolus	297	48	16.68	6.7e-10
GO:0046540	U4/U6 x U5 tri-snRNP complex	19	11	1.07	8.0e-10
GO:0005686	U2 snRNP	20	11	1.12	1.7e-09
GO:0005689	U12-type spliceosomal complex	11	8	0.62	1.3e-08
GO:0005834	heterotrimeric G-protein complex	12	8	0.67	3.8e-08
GO:0005682	U5 snRNP	13	8	0.73	9.5e-08
GO:0043025	neuronal cell body	164	28	9.21	1.1e-07
GO:0005688	U6 snRNP	7	6	0.39	2.0e-07
GO:0005844	polysome	41	16	2.3	2.1e-07
GO:0030496	midbody	63	16	3.54	2.5e-07
GO:0016282	eukaryotic 43S preinitiation complex	19	9	1.07	2.9e-07
GO:1990726	Lsm1-7-Pat1 complex	5	5	0.28	5.5e-07
GO:0045202	synapse	439	81	24.66	8.7e-07
GO:0000228	nuclear chromosome	148	28	8.31	9.3e-07
GO:0000786	nucleosome	25	11	1.4	1.3e-06
GO:0031410	cytoplasmic vesicle	558	80	31.34	1.9e-06
GO:0030027	lamellipodium	35	11	1.97	1.9e-06
GO:0034715	pICln-Sm protein complex	6	5	0.34	3.1e-06
GO:0005634	nucleus	3098	282	174.02	3.3e-06
GO:0030054	cell junction	615	111	34.54	3.3e-06
GO:0032154	cleavage furrow	44	12	2.47	3.6e-06
GO:0045335	phagocytic vesicle	15	7	0.84	7.4e-06
GO:0005813	centrosome	190	27	10.67	7.4e-06
GO:0097526	spliceosomal tri-snRNP complex	23	15	1.29	9.2e-06
GO:0031982	vesicle	637	95	35.78	9.6e-06
GO:0044291	cell-cell contact zone	7	5	0.39	1.1e-05
GO:0033290	eukaryotic 48S preinitiation complex	17	7	0.95	2.0e-05
GO:0008540	proteasome regulatory particle, base sub...	12	6	0.67	2.1e-05
GO:0000221	vacuolar proton-transporting V-type ATPa...	8	5	0.45	2.7e-05
GO:0035861	site of double-strand break	31	9	1.74	3.5e-05
GO:0005737	cytoplasm	5052	453	283.77	4.4e-05
GO:0031254	cell trailing edge	5	4	0.28	4.7e-05
GO:0031209	SCAR complex	5	4	0.28	4.7e-05
GO:0098793	presynapse	216	39	12.13	5.0e-05
GO:0031981	nuclear lumen	956	125	53.7	7.4e-05
GO:0005685	U1 snRNP	15	6	0.84	9.9e-05
GO:0051286	cell tip	10	5	0.56	0.00011
GO:0043005	neuron projection	526	60	29.55	0.00011
GO:0005938	cell cortex	202	41	11.35	0.00011
GO:0016607	nuclear speck	70	13	3.93	0.00012
GO:0005687	U4 snRNP	6	4	0.34	0.00014
GO:0042788	polysomal ribosome	6	4	0.34	0.00014
GO:0030175	filopodium	22	7	1.24	0.00014
GO:0000932	P-body	45	10	2.53	0.00015
GO:0005874	microtubule	190	24	10.67	0.00016
GO:0005784	Sec61 translocon complex	3	3	0.17	0.00018
GO:0033181	plasma membrane proton-transporting V-ty...	17	6	0.95	0.00022
GO:0005925	focal adhesion	32	8	1.8	0.00030
GO:0005884	actin filament	33	8	1.85	0.00038
GO:0005856	cytoskeleton	720	103	40.44	0.00041
GO:0008021	synaptic vesicle	69	12	3.88	0.00041
GO:0055037	recycling endosome	60	11	3.37	0.00044
GO:0005684	U2-type spliceosomal complex	34	8	1.91	0.00047
GO:0005885	Arp2/3 protein complex	8	4	0.45	0.00058
GO:0030122	AP-2 adaptor complex	8	4	0.45	0.00058
GO:0030018	Z disc	44	9	2.47	0.00063
GO:0030131	clathrin adaptor complex	12	7	0.67	0.00066
GO:0031475	myosin V complex	4	3	0.22	0.00068
GO:0035060	brahma complex	14	5	0.79	0.00072
GO:0001726	ruffle	21	6	1.18	0.00080
GO:0098797	plasma membrane protein complex	165	37	9.27	0.00084
GO:0030141	secretory granule	37	8	2.08	0.00086
GO:0035267	NuA4 histone acetyltransferase complex	22	6	1.24	0.00105
GO:0016028	rhabdomere	33	9	1.85	0.00110
GO:0008287	protein serine/threonine phosphatase com...	30	9	1.69	0.00133
GO:0045179	apical cortex	49	9	2.75	0.00143
GO:0031011	Ino80 complex	16	5	0.9	0.00143
GO:0043195	terminal bouton	61	12	3.43	0.00147
GO:0005703	polytene chromosome puff	40	8	2.25	0.00147
GO:0030135	coated vesicle	83	18	4.66	0.00155
GO:0005826	actomyosin contractile ring	10	4	0.56	0.00158
GO:0099523	presynaptic cytosol	5	3	0.28	0.00162
GO:0071541	eukaryotic translation initiation factor...	5	3	0.28	0.00162
GO:0005912	adherens junction	59	12	3.31	0.00186
GO:1902554	serine/threonine protein kinase complex	61	10	3.43	0.00195
GO:0014069	postsynaptic density	42	8	2.36	0.00204
GO:0000151	ubiquitin ligase complex	176	20	9.89	0.00206
GO:0032993	protein-DNA complex	68	19	3.82	0.00216
GO:0005868	cytoplasmic dynein complex	25	6	1.4	0.00217
GO:0005852	eukaryotic translation initiation factor...	16	7	0.9	0.00233
GO:0008180	COP9 signalosome	11	4	0.62	0.00237
GO:0016460	myosin II complex	11	4	0.62	0.00237
GO:0005736	RNA polymerase I complex	11	4	0.62	0.00237
GO:0101031	chaperone complex	26	8	1.46	0.00251
GO:0070971	endoplasmic reticulum exit site	18	5	1.01	0.00255
GO:0032040	small-subunit processome	44	8	2.47	0.00278
GO:0030139	endocytic vesicle	50	17	2.81	0.00303
GO:0099524	postsynaptic cytosol	6	3	0.34	0.00310
GO:0005865	striated muscle thin filament	6	3	0.34	0.00310
GO:1990501	exon-exon junction subcomplex mago-y14	2	2	0.11	0.00315
GO:0035370	UBC13-UEV1A complex	2	2	0.11	0.00315
GO:0031477	myosin VII complex	2	2	0.11	0.00315
GO:0033017	sarcoplasmic reticulum membrane	2	2	0.11	0.00315
