GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0005515	protein binding	3265	365	186.97	< 1e-30
GO:0005488	binding	6278	509	359.52	< 1e-30
GO:0003735	structural constituent of ribosome	185	72	10.59	< 1e-30
GO:0005198	structural molecule activity	470	101	26.92	< 1e-30
GO:1901363	heterocyclic compound binding	2966	302	169.85	< 1e-30
GO:0097159	organic cyclic compound binding	2992	303	171.34	< 1e-30
GO:0017111	ribonucleoside triphosphate phosphatase ...	380	88	21.76	< 1e-30
GO:0003924	GTPase activity	146	53	8.36	2.7e-29
GO:0016462	pyrophosphatase activity	411	88	23.54	1.6e-28
GO:0016817	hydrolase activity, acting on acid anhyd...	412	88	23.59	1.9e-28
GO:0016818	hydrolase activity, acting on acid anhyd...	412	88	23.59	1.9e-28
GO:0035639	purine ribonucleoside triphosphate bindi...	956	141	54.75	1.3e-27
GO:0032555	purine ribonucleotide binding	976	141	55.89	1.1e-26
GO:0017076	purine nucleotide binding	981	141	56.18	1.9e-26
GO:0005525	GTP binding	180	55	10.31	4.8e-26
GO:0032553	ribonucleotide binding	990	141	56.69	5.0e-26
GO:0019001	guanyl nucleotide binding	187	55	10.71	4.0e-25
GO:0032561	guanyl ribonucleotide binding	187	55	10.71	4.0e-25
GO:0003723	RNA binding	760	117	43.52	2.6e-24
GO:0000166	nucleotide binding	1159	150	66.37	2.3e-23
GO:1901265	nucleoside phosphate binding	1159	150	66.37	2.3e-23
GO:0043168	anion binding	1173	148	67.17	6.6e-22
GO:0036094	small molecule binding	1283	156	73.47	1.6e-21
GO:0044877	protein-containing complex binding	382	72	21.88	5.6e-20
GO:0097367	carbohydrate derivative binding	1190	145	68.15	5.8e-20
GO:0003925	G protein activity	21	17	1.2	3.0e-18
GO:0019899	enzyme binding	595	83	34.07	1.2e-14
GO:0003676	nucleic acid binding	1850	178	105.94	6.7e-14
GO:0043167	ion binding	2755	235	157.77	8.3e-13
GO:0005524	ATP binding	795	88	45.53	7.8e-10
GO:0001055	RNA polymerase II activity	9	8	0.52	9.5e-10
GO:0032559	adenyl ribonucleotide binding	812	88	46.5	2.3e-09
GO:0030554	adenyl nucleotide binding	817	88	46.79	3.1e-09
GO:0045182	translation regulator activity	113	25	6.47	3.6e-09
