fox_disco_tree1.nwk	OG32_fox-E_fox-E
fox_disco_tree2.nwk	OG31_fox-C_fox-C
fox_disco_tree3.nwk	OG28_NA_NA
fox_disco_tree4.nwk	OG15_NA_NA
fox_disco_tree5.nwk	OG11_fox-K_fox-K
fox_disco_tree6.nwk	OG13_NA_NA
fox_disco_tree7.nwk	OG16_NA_NA
fox_disco_tree8.nwk	OG18_fox-N4_fox-N1-4
fox_disco_tree9.nwk	OG3_fox-O_fox-O
fox_disco_tree10.nwk	OG0_NA_NA,OG1_NA_NA,OG2_NA_NA,OG42_fox-M_fox-M
fox_disco_tree11.nwk	OG7_fox-J2-3_fox-J2,OG7_fox-J2-3_fox-J2/fox-J3
fox_disco_tree12.nwk	OG10_fox-P_fox-P
fox_disco_tree13.nwk	OG12_fox-J1_fox-J1
fox_disco_tree14.nwk	OG19_fkh-10/fox-Q2_fkh-10/fox-Q2
fox_disco_tree15.nwk	OG22_fox-G_fox-G
fox_disco_tree16.nwk	OG29_fkh-6/fox-L2_fkh-6/fox-L2
fox_disco_tree17.nwk	OG30_fkh-3/fox-L1_fkh-3/fox-L1
fox_disco_tree18.nwk	OG35_fox-F_fox-F
fox_disco_tree19.nwk	OG33_fox-D_fox-D
fox_disco_tree20.nwk	OG39_NA_NA
fox_disco_tree21.nwk	OG40_fox-B_fox-B
fox_disco_tree22.nwk	OG41_fox-A_fox-A
fox_disco_tree23.nwk	OG14_fox-N3_fox-N2-3
