species	Dmrt-1L	Dmrt-3	Dmrt-2	Dmrt-4/5	Fox-P	Fox-J1	Fox-OG13/NA	Fox-N2/3	Fox-OG15/NA	Fox-OG16/NA	Fox-N1/4	Fox-Q2	Fox-OG2/NA	Fox-G	Fox-OG28/NA	Fox-L2	Fox-O	Fox-L1	Fox-C	Fox-E	Fox-D	Fox-F	Fox-H	Fox-OG39/NA	Fox-B	Fox-A	Fox-J2/3	Sox-D	Sox-C	Sox-F	Sox-E	Sox-H	Sox-B1/2
Hsap	0	1	1	2	1	1	0	2	0	0	1	0	0	1	0	1	4	1	2	2	9	2	1	0	2	3	2	3	3	3	3	1	1
Dmel	0	1	1	1	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	1	0	0	0	2	1	0	1	1	1	1	0	0
Cele	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1
Osin	3	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	2
Obim	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	2
Hruf	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	10	1	1	1	1	1	1	1	1	2
Gaeg	1	1	1	1	1	1	1	1	1	1	1	2	1	2	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	2	2
Pcan	2	1	1	1	1	1	0	1	1	0	1	1	0	3	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	2
Bgla	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	2
Acal	0	1	0	1	0	1	0	1	1	0	1	1	0	2	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	2
