in_gene	out_gene	branch_support	ev_type	sos
Agam_XP.061505148.1	Dere_XP.026836830.1	100.0	S	0.0
Agam_XP.061505148.1	Dkik_XP.041630485.1	100.0	S	0.0
Agam_XP.061505148.1	Dmir_XP.017142875.1	100.0	S	0.0
Agam_XP.061505148.1	Dgri_XP.043071113.1	100.0	S	0.0
Agam_XP.061505148.1	Dsec_XP.002038750.1	100.0	S	0.0
Agam_XP.061505148.1	Dser_XP.020809854.1	100.0	S	0.0
Agam_XP.061505148.1	Dele_XP.017119779.1	100.0	S	0.0
Agam_XP.061505148.1	Dalb_XP.034117252.2	100.0	S	0.0
Agam_XP.061505148.1	Dwil_XP.023035845.1	100.0	S	0.0
Agam_XP.061505148.1	Dhyd_XP.023178918.2	100.0	S	0.0
Agam_XP.061505148.1	Dmel_NP.001262353.1	100.0	S	0.0
Agam_XP.061505148.1	Dpse_XP.033235910.1	100.0	S	0.0
Agam_XP.061505148.1	Dari_XP.017874634.1	100.0	S	0.0
Agam_XP.061505148.1	Dbus_XP.017847641.1	100.0	S	0.0
Agam_XP.061505148.1	Dbip_XP.017088683.2	100.0	S	0.0
Agam_XP.061505148.1	Dsuz_XP.036675224.1	100.0	S	0.0
Agam_XP.061505148.1	Dsuz_XP.036672758.1	100.0	S	0.0
Agam_XP.061505148.1	Dana_XP.014766033.1	100.0	S	0.0
Dwil_XP.023035845.1	Dere_XP.026836830.1	77.0	S	0.0
Dgri_XP.043071113.1	Dere_XP.026836830.1	77.0	S	0.0
Dalb_XP.034117252.2	Dere_XP.026836830.1	77.0	S	0.0
Dhyd_XP.023178918.2	Dere_XP.026836830.1	77.0	S	0.0
Dbus_XP.017847641.1	Dere_XP.026836830.1	77.0	S	0.0
Dari_XP.017874634.1	Dere_XP.026836830.1	77.0	S	0.0
Dwil_XP.023035845.1	Dkik_XP.041630485.1	77.0	S	0.0
Dgri_XP.043071113.1	Dkik_XP.041630485.1	77.0	S	0.0
Dalb_XP.034117252.2	Dkik_XP.041630485.1	77.0	S	0.0
Dhyd_XP.023178918.2	Dkik_XP.041630485.1	77.0	S	0.0
Dbus_XP.017847641.1	Dkik_XP.041630485.1	77.0	S	0.0
Dari_XP.017874634.1	Dkik_XP.041630485.1	77.0	S	0.0
Dwil_XP.023035845.1	Dsuz_XP.036672758.1	77.0	S	0.0
Dgri_XP.043071113.1	Dsuz_XP.036672758.1	77.0	S	0.0
Dalb_XP.034117252.2	Dsuz_XP.036672758.1	77.0	S	0.0
Dhyd_XP.023178918.2	Dsuz_XP.036672758.1	77.0	S	0.0
Dbus_XP.017847641.1	Dsuz_XP.036672758.1	77.0	S	0.0
Dari_XP.017874634.1	Dsuz_XP.036672758.1	77.0	S	0.0
Dwil_XP.023035845.1	Dmir_XP.017142875.1	77.0	S	0.0
Dgri_XP.043071113.1	Dmir_XP.017142875.1	77.0	S	0.0
Dalb_XP.034117252.2	Dmir_XP.017142875.1	77.0	S	0.0
Dhyd_XP.023178918.2	Dmir_XP.017142875.1	77.0	S	0.0
Dbus_XP.017847641.1	Dmir_XP.017142875.1	77.0	S	0.0
