gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Dkik_XP.017022631.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	53.0/53.0/53.0
Dsec_XP.002037072.2	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	100.0/65.0/100.0
Dser_XP.020800708.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	53.0/53.0/53.0
Dbip_XP.017087408.2	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	95.0/65.0/95.0
Dere_XP.026837609.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	100.0/65.0/100.0
Dana_XP.014759802.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	95.0/65.0/95.0
Dpse_XP.033238487.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	65.0/100.0/65.0
Dmir_XP.017145653.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	65.0/100.0/65.0
Dmel_NP.001356931.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	100.0/65.0/100.0
Dele_XP.017112308.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	100.0/65.0/98.0
Dsuz_XP.016942113.1	OG0:fox-3F/homeobox-5/hormone-receptor-4	53.0	fox-3F/homeobox-5/hormone-receptor-4	100.0/65.0/100.0
Dwil_XP.046868406.1	OG1:myb-P	58.0	myb-P	58.0
Dbus_XP.033150245.1	OG1:myb-P	58.0	myb-P	97.0
Dhyd_XP.030079965.1	OG1:myb-P	58.0	myb-P	100.0
Dari_XP.017869433.1	OG1:myb-P	58.0	myb-P	100.0
Dgri_XP.043071916.1	OG1:myb-P	58.0	myb-P	100.0
Dalb_XP.051860438.1	OG1:myb-P	58.0	myb-P	95.0
Agam_XP.061503465.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0/99.0
Dbip_XP.017091473.2	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/93.0
Dkik_XP.017022654.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/93.0
Dalb_XP.034097387.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	92.0/93.0
Dhyd_XP.023174414.2	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	100.0/93.0
Dana_XP.032308510.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/93.0
Dwil_XP.023030939.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/71.0
Dser_XP.020805864.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/93.0
Dgri_XP.032593899.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	65.0/93.0
Dbus_XP.017852827.2	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/93.0
Dari_XP.017869569.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	100.0/93.0
Dpse_XP.033241472.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/100.0
Dmir_XP.033252440.1	OG2:hyphally-cell-wall-protein-3/serine-rich-repeat-protein	99.0	hyphally-cell-wall-protein-3/serine-rich-repeat-protein	93.0/100.0
Agam_XP.061505879.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	100.0/100.0/100.0
Dalb_XP.034114927.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/96.0/99.0
Dgri_XP.001990048.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/96.0/100.0
Dmir_XP.033244968.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	90.0/96.0/96.0
Dsec_XP.002031751.2	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/100.0/96.0
Dser_XP.020814051.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/100.0/96.0
Dari_XP.017867184.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/96.0/100.0
Dkik_XP.017026689.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/100.0/96.0
Dana_XP.001952947.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/99.0/96.0
Dmir_XP.033244970.1	OG3:fox-N2/jumeau/nan	100.0	jumeau/nan	96.0/96.0
Dere_XP.001980679.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/100.0/96.0
Dele_XP.017119152.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/100.0/96.0
Dsuz_XP.016944421.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/100.0/96.0
Dhyd_XP.023174343.2	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/96.0/96.0
Dwil_XP.023034158.2	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	100.0/100.0/100.0
Dpse_XP.033233400.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	100.0/96.0/96.0
Dpse_XP.015038643.2	OG3:fox-N2/jumeau/nan	100.0	jumeau/nan	96.0/96.0
Dmir_XP.033244969.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	90.0/96.0/96.0
Dmel_NP.524302.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/100.0/96.0
Dbip_XP.017100743.2	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/99.0/96.0
Dbus_XP.017845708.1	OG3:fox-N2/jumeau/nan	100.0	fox-N2/jumeau/nan	96.0/96.0/100.0
Dbip_XP.043069566.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	100.0/100.0/100.0/100.0
Dsec_XP.002044492.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	93.0/99.0/93.0/100.0
Dere_XP.026838997.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	93.0/99.0/93.0/100.0
Dhyd_XP.023165574.2	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	100.0/93.0/100.0/93.0
Dele_XP.041564577.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	93.0/99.0/93.0/99.0
Dsuz_XP.036678464.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	93.0/100.0/93.0/99.0
Dalb_XP.051862243.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	100.0/93.0/100.0/93.0
Dana_XP.032311767.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	74.0/74.0/74.0/74.0
Dpse_XP.033237266.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	100.0/93.0/100.0/93.0
Dmel_NP.726538.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	93.0/99.0/93.0/100.0
Dmir_XP.017155587.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	100.0/93.0/100.0/93.0
Dser_XP.020809944.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	93.0/95.0/93.0/95.0
Dbus_XP.017853536.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	100.0/93.0/94.0/93.0
Dwil_XP.023035694.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	100.0/93.0/100.0/93.0
Dkik_XP.017037372.1	OG4:fox-I1c/hcm-1/hnf-3b/nan	100.0	fox-I1c/hcm-1/hnf-3b/nan	93.0/95.0/93.0/95.0
Dwil_XP.002072563.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	100.0/100.0/100.0
Dhyd_XP.023163080.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	9.0/9.0/9.0
Dbip_XP.017098296.2	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	11.0/9.0/9.0
Dmel_NP.651951.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	100.0/9.0/9.0
Dsuz_XP.036671526.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	99.0/9.0/9.0
Dele_XP.017126055.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	99.0/9.0/9.0
Dbus_XP.017853523.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	9.0/9.0/99.0
Dsec_XP.002043702.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	100.0/9.0/9.0
Agam_XP.061505343.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	11.0/9.0/9.0
Dere_XP.001982706.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	100.0/9.0/9.0
Dmir_XP.017155765.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	9.0/100.0/9.0
Dana_XP.032308054.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	11.0/9.0/9.0
Dalb_XP.034112224.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	9.0/9.0/99.0
Dpse_XP.015044407.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	9.0/100.0/9.0
Dkik_XP.041632589.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	87.0/9.0/9.0
Dgri_XP.043071810.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	9.0/9.0/100.0
Dser_XP.020809941.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	87.0/9.0/9.0
Dari_XP.017869379.1	OG5:fd-102C/fox-C/nan	100.0	fd-102C/fox-C1-A/nan	9.0/9.0/100.0
Agam_XP.061502996.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	100.0/100.0/100.0
Dhyd_XP.023172914.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	100.0/100.0/100.0
Dbus_XP.033148941.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	100.0/100.0/100.0
Dbip_XP.043067838.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	70.0/100.0/70.0
Dgri_XP.032593352.2	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	100.0/95.0/100.0
Dana_XP.044571198.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	70.0/100.0/70.0
Dalb_XP.051862673.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	91.0/100.0/91.0
Dmir_XP.033244694.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	70.0/100.0/70.0
Dmel_NP.001247011.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	100.0/100.0/70.0
Dere_XP.015009985.2	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	91.0/100.0/70.0
Dele_XP.017117570.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	70.0/100.0/70.0
Dsuz_XP.016930987.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	70.0/100.0/100.0
Dpse_XP.033241607.1	OG6:fox-P1-4	100.0	fox-P/fox-P1/fox-P4	70.0/100.0/70.0
