in_gene	out_gene	branch_support	ev_type	sos
Dkik_XP.017022631.1	Dsec_XP.002037072.2	53.0	S	0.0
Dser_XP.020800708.1	Dsec_XP.002037072.2	53.0	S	0.0
Dkik_XP.017022631.1	Dbip_XP.017087408.2	53.0	S	0.0
Dser_XP.020800708.1	Dbip_XP.017087408.2	53.0	S	0.0
Dkik_XP.017022631.1	Dere_XP.026837609.1	53.0	S	0.0
Dser_XP.020800708.1	Dere_XP.026837609.1	53.0	S	0.0
Dkik_XP.017022631.1	Dana_XP.014759802.1	53.0	S	0.0
Dser_XP.020800708.1	Dana_XP.014759802.1	53.0	S	0.0
Dkik_XP.017022631.1	Dpse_XP.033238487.1	53.0	S	0.0
Dser_XP.020800708.1	Dpse_XP.033238487.1	53.0	S	0.0
Dkik_XP.017022631.1	Dmir_XP.017145653.1	53.0	S	0.0
Dser_XP.020800708.1	Dmir_XP.017145653.1	53.0	S	0.0
Dkik_XP.017022631.1	Dmel_NP.001356931.1	53.0	S	0.0
Dser_XP.020800708.1	Dmel_NP.001356931.1	53.0	S	0.0
Dkik_XP.017022631.1	Dele_XP.017112308.1	53.0	S	0.0
Dser_XP.020800708.1	Dele_XP.017112308.1	53.0	S	0.0
Dkik_XP.017022631.1	Dsuz_XP.016942113.1	53.0	S	0.0
Dser_XP.020800708.1	Dsuz_XP.016942113.1	53.0	S	0.0
Dkik_XP.017022631.1	Dser_XP.020800708.1	95.0	S	0.0
Dmir_XP.017145653.1	Dsec_XP.002037072.2	65.0	S	0.0
Dpse_XP.033238487.1	Dsec_XP.002037072.2	65.0	S	0.0
Dmir_XP.017145653.1	Dbip_XP.017087408.2	65.0	S	0.0
Dpse_XP.033238487.1	Dbip_XP.017087408.2	65.0	S	0.0
Dmir_XP.017145653.1	Dere_XP.026837609.1	65.0	S	0.0
Dpse_XP.033238487.1	Dere_XP.026837609.1	65.0	S	0.0
Dmir_XP.017145653.1	Dana_XP.014759802.1	65.0	S	0.0
Dpse_XP.033238487.1	Dana_XP.014759802.1	65.0	S	0.0
Dmir_XP.017145653.1	Dmel_NP.001356931.1	65.0	S	0.0
Dpse_XP.033238487.1	Dmel_NP.001356931.1	65.0	S	0.0
Dmir_XP.017145653.1	Dele_XP.017112308.1	65.0	S	0.0
Dpse_XP.033238487.1	Dele_XP.017112308.1	65.0	S	0.0
Dmir_XP.017145653.1	Dsuz_XP.016942113.1	65.0	S	0.0
Dpse_XP.033238487.1	Dsuz_XP.016942113.1	65.0	S	0.0
Dwil_XP.046868406.1	Dbus_XP.033150245.1	58.0	S	0.0
Dwil_XP.046868406.1	Dhyd_XP.030079965.1	58.0	S	0.0
Dwil_XP.046868406.1	Dari_XP.017869433.1	58.0	S	0.0
Dwil_XP.046868406.1	Dgri_XP.043071916.1	58.0	S	0.0
Dwil_XP.046868406.1	Dalb_XP.051860438.1	58.0	S	0.0
Dmir_XP.017145653.1	Dpse_XP.033238487.1	100.0	S	0.0
Dana_XP.014759802.1	Dsec_XP.002037072.2	95.0	S	0.0
Dbip_XP.017087408.2	Dsec_XP.002037072.2	95.0	S	0.0
Dana_XP.014759802.1	Dere_XP.026837609.1	95.0	S	0.0
Dbip_XP.017087408.2	Dere_XP.026837609.1	95.0	S	0.0
Dana_XP.014759802.1	Dmel_NP.001356931.1	95.0	S	0.0
Dbip_XP.017087408.2	Dmel_NP.001356931.1	95.0	S	0.0
Dana_XP.014759802.1	Dsuz_XP.016942113.1	95.0	S	0.0
Dbip_XP.017087408.2	Dsuz_XP.016942113.1	95.0	S	0.0
Dana_XP.014759802.1	Dele_XP.017112308.1	95.0	S	0.0
Dbip_XP.017087408.2	Dele_XP.017112308.1	95.0	S	0.0
Dalb_XP.051860438.1	Dbus_XP.033150245.1	95.0	S	0.0
Dalb_XP.051860438.1	Dari_XP.017869433.1	95.0	S	0.0
Dalb_XP.051860438.1	Dhyd_XP.030079965.1	95.0	S	0.0
Dalb_XP.051860438.1	Dgri_XP.043071916.1	95.0	S	0.0
Dana_XP.014759802.1	Dbip_XP.017087408.2	99.0	S	0.0
Dele_XP.017112308.1	Dsec_XP.002037072.2	100.0	S	0.0
Dsuz_XP.016942113.1	Dsec_XP.002037072.2	100.0	S	0.0
Dele_XP.017112308.1	Dere_XP.026837609.1	100.0	S	0.0
Dsuz_XP.016942113.1	Dere_XP.026837609.1	100.0	S	0.0
Dele_XP.017112308.1	Dmel_NP.001356931.1	100.0	S	0.0
Dsuz_XP.016942113.1	Dmel_NP.001356931.1	100.0	S	0.0
Dbus_XP.033150245.1	Dari_XP.017869433.1	97.0	S	0.0
Dbus_XP.033150245.1	Dhyd_XP.030079965.1	97.0	S	0.0
Dbus_XP.033150245.1	Dgri_XP.043071916.1	97.0	S	0.0
Dele_XP.017112308.1	Dsuz_XP.016942113.1	98.0	S	0.0
Dere_XP.026837609.1	Dsec_XP.002037072.2	100.0	S	0.0
Dere_XP.026837609.1	Dmel_NP.001356931.1	100.0	S	0.0
Dgri_XP.043071916.1	Dhyd_XP.030079965.1	100.0	S	0.0
Dgri_XP.043071916.1	Dari_XP.017869433.1	100.0	S	0.0
Agam_XP.061503465.1	Dbip_XP.017091473.2	99.0	S	0.0
Agam_XP.061503465.1	Dkik_XP.017022654.1	99.0	S	0.0
Agam_XP.061503465.1	Dalb_XP.034097387.1	99.0	S	0.0
Agam_XP.061503465.1	Dhyd_XP.023174414.2	99.0	S	0.0
Agam_XP.061503465.1	Dana_XP.032308510.1	99.0	S	0.0
Agam_XP.061503465.1	Dwil_XP.023030939.1	99.0	S	0.0
Agam_XP.061503465.1	Dser_XP.020805864.1	99.0	S	0.0
Agam_XP.061503465.1	Dgri_XP.032593899.1	99.0	S	0.0
Agam_XP.061503465.1	Dbus_XP.017852827.2	99.0	S	0.0
Agam_XP.061503465.1	Dari_XP.017869569.1	99.0	S	0.0
Agam_XP.061503465.1	Dpse_XP.033241472.1	99.0	S	0.0
Agam_XP.061503465.1	Dmir_XP.033252440.1	99.0	S	0.0
Dmel_NP.001356931.1	Dsec_XP.002037072.2	100.0	S	0.0
Dari_XP.017869433.1	Dhyd_XP.030079965.1	100.0	S	0.0
Dalb_XP.034097387.1	Dkik_XP.017022654.1	93.0	S	0.0
Dhyd_XP.023174414.2	Dkik_XP.017022654.1	93.0	S	0.0
Dgri_XP.032593899.1	Dkik_XP.017022654.1	93.0	S	0.0
Dbus_XP.017852827.2	Dkik_XP.017022654.1	93.0	S	0.0
Dari_XP.017869569.1	Dkik_XP.017022654.1	93.0	S	0.0
Dalb_XP.034097387.1	Dana_XP.032308510.1	93.0	S	0.0
Dhyd_XP.023174414.2	Dana_XP.032308510.1	93.0	S	0.0
Dgri_XP.032593899.1	Dana_XP.032308510.1	93.0	S	0.0
Dbus_XP.017852827.2	Dana_XP.032308510.1	93.0	S	0.0
Dari_XP.017869569.1	Dana_XP.032308510.1	93.0	S	0.0
Dalb_XP.034097387.1	Dwil_XP.023030939.1	93.0	S	0.0
Dhyd_XP.023174414.2	Dwil_XP.023030939.1	93.0	S	0.0
Dgri_XP.032593899.1	Dwil_XP.023030939.1	93.0	S	0.0
Dbus_XP.017852827.2	Dwil_XP.023030939.1	93.0	S	0.0
Dari_XP.017869569.1	Dwil_XP.023030939.1	93.0	S	0.0
Dalb_XP.034097387.1	Dmir_XP.033252440.1	93.0	S	0.0
Dhyd_XP.023174414.2	Dmir_XP.033252440.1	93.0	S	0.0
Dgri_XP.032593899.1	Dmir_XP.033252440.1	93.0	S	0.0
Dbus_XP.017852827.2	Dmir_XP.033252440.1	93.0	S	0.0
Dari_XP.017869569.1	Dmir_XP.033252440.1	93.0	S	0.0
Dalb_XP.034097387.1	Dser_XP.020805864.1	93.0	S	0.0
Dhyd_XP.023174414.2	Dser_XP.020805864.1	93.0	S	0.0
Dgri_XP.032593899.1	Dser_XP.020805864.1	93.0	S	0.0
Dbus_XP.017852827.2	Dser_XP.020805864.1	93.0	S	0.0
Dari_XP.017869569.1	Dser_XP.020805864.1	93.0	S	0.0
Dalb_XP.034097387.1	Dpse_XP.033241472.1	93.0	S	0.0
Dhyd_XP.023174414.2	Dpse_XP.033241472.1	93.0	S	0.0
Dgri_XP.032593899.1	Dpse_XP.033241472.1	93.0	S	0.0
Dbus_XP.017852827.2	Dpse_XP.033241472.1	93.0	S	0.0
Dari_XP.017869569.1	Dpse_XP.033241472.1	93.0	S	0.0
Dalb_XP.034097387.1	Dbip_XP.017091473.2	93.0	S	0.0
Dhyd_XP.023174414.2	Dbip_XP.017091473.2	93.0	S	0.0
Dgri_XP.032593899.1	Dbip_XP.017091473.2	93.0	S	0.0
Dbus_XP.017852827.2	Dbip_XP.017091473.2	93.0	S	0.0
Dari_XP.017869569.1	Dbip_XP.017091473.2	93.0	S	0.0
Agam_XP.061505879.1	Dalb_XP.034114927.1	100.0	S	0.0
Agam_XP.061505879.1	Dgri_XP.001990048.1	100.0	S	0.0
Agam_XP.061505879.1	Dmir_XP.033244968.1	100.0	S	0.0
Agam_XP.061505879.1	Dsec_XP.002031751.2	100.0	S	0.0
Agam_XP.061505879.1	Dser_XP.020814051.1	100.0	S	0.0
Agam_XP.061505879.1	Dari_XP.017867184.1	100.0	S	0.0
Agam_XP.061505879.1	Dkik_XP.017026689.1	100.0	S	0.0
Agam_XP.061505879.1	Dana_XP.001952947.1	100.0	S	0.0
Agam_XP.061505879.1	Dmir_XP.033244970.1	100.0	S	0.0
Agam_XP.061505879.1	Dere_XP.001980679.1	100.0	S	0.0
Agam_XP.061505879.1	Dele_XP.017119152.1	100.0	S	0.0
Agam_XP.061505879.1	Dsuz_XP.016944421.1	100.0	S	0.0
Agam_XP.061505879.1	Dhyd_XP.023174343.2	100.0	S	0.0
