Orthogroup	Amel_protein_noIso	Bbub_protein_noIso	Bmus_protein_noIso	Casi_protein_noIso	Cdid_protein_noIso	Cdro_protein_noIso	Cimi_protein_noIso	Clup_protein_noIso	Cpor_protein_noIso	Csim_protein_noIso	Dnov_protein_noIso	Drot_protein_noIso	Emax_protein_noIso	Equa_protein_noIso	Hamp_protein_noIso	Hsap_protein_noIso	Lcat_protein_noIso	Mang_protein_noIso	Mdom_protein_noIso	Mjav_protein_noIso	Mmus_protein_noIso	Oafe_protein_noIso	Oana_protein_noIso	Opri_protein_noIso	Pafr_protein_noIso	Pgig_protein_noIso	Ptig_protein_noIso	Rfer_protein_noIso	Scar_protein_noIso	Shar_protein_noIso	Tman_protein_noIso	Ttru_protein_noIso
OG0020513	Amel_XP.002914483.3																															
OG0020514	Amel_XP.002921360.3																															
OG0020515	Amel_XP.002922765.2																															
OG0020516	Amel_XP.002928358.1																															
OG0020517	Amel_XP.002928586.2																															
OG0020518	Amel_XP.002930891.1																															
OG0020519	Amel_XP.002931326.3																															
OG0020520	Amel_XP.011215941.1																															
OG0020521	Amel_XP.011216570.2																															
OG0020522	Amel_XP.011216646.3																															
OG0020523	Amel_XP.011217777.2																															
OG0020524	Amel_XP.011217825.1																															
OG0020525	Amel_XP.011218746.3																															
OG0020526	Amel_XP.011221368.1																															
OG0020527	Amel_XP.011223814.1																															
OG0020528	Amel_XP.011224571.1																															
OG0020529	Amel_XP.011225356.3																															
OG0020530	Amel_XP.011229192.1																															
OG0020531	Amel_XP.011231470.2																															
OG0020532	Amel_XP.011231997.1																															
OG0020533	Amel_XP.011232539.2																															
OG0020534	Amel_XP.011232610.2																															
OG0020535	Amel_XP.011235757.1																															
OG0020536	Amel_XP.019648302.2																															
OG0020537	Amel_XP.019649014.2																															
OG0020538	Amel_XP.019649135.1																															
OG0020539	Amel_XP.019651667.1																															
OG0020540	Amel_XP.019652727.2																															
OG0020541	Amel_XP.019652902.1																															
OG0020542	Amel_XP.019654293.1																															
OG0020543	Amel_XP.019654463.2																															
OG0020544	Amel_XP.019655284.2																															
OG0020545	Amel_XP.019655797.1																															
OG0020546	Amel_XP.019657428.1																															
OG0020547	Amel_XP.019657833.1																															
OG0020548	Amel_XP.019658237.1																															
OG0020549	Amel_XP.019658341.1																															
OG0020550	Amel_XP.019658501.1																															
OG0020551	Amel_XP.019658601.2																															
OG0020552	Amel_XP.019660761.2																															
OG0020553	Amel_XP.019661535.2																															
OG0020554	Amel_XP.019661756.1																															
OG0020555	Amel_XP.019662329.1																															
OG0020556	Amel_XP.019663126.2																															
OG0020557	Amel_XP.019664314.2																															
OG0020558	Amel_XP.019664717.2																															
OG0020559	Amel_XP.019665255.2																															
OG0020560	Amel_XP.019665509.2																															
OG0020561	Amel_XP.034493815.1																															
OG0020562	Amel_XP.034493833.1																															
OG0020563	Amel_XP.034493851.1																															
OG0020564	Amel_XP.034493933.1																															
OG0020565	Amel_XP.034494014.1																															
OG0020566	Amel_XP.034494138.1																															
OG0020567	Amel_XP.034494690.1																															
OG0020568	Amel_XP.034494765.1																															
OG0020569	Amel_XP.034494783.1																															
OG0020570	Amel_XP.034494876.1																															
OG0020571	Amel_XP.034494891.1																															
OG0020572	Amel_XP.034494918.1																															
OG0020573	Amel_XP.034495079.1																															
OG0020574	Amel_XP.034495201.1																															
OG0020575	Amel_XP.034495438.1																															
OG0020576	Amel_XP.034495450.1																															
OG0020577	Amel_XP.034495616.1																															
OG0020578	Amel_XP.034495619.1																															
OG0020579	Amel_XP.034495622.1																															
OG0020580	Amel_XP.034495638.1																															
OG0020581	Amel_XP.034495646.1																															
OG0020582	Amel_XP.034495807.1																															
OG0020583	Amel_XP.034495959.1																															
OG0020584	Amel_XP.034496172.1																															
OG0020585	Amel_XP.034496243.1																															
OG0020586	Amel_XP.034496356.1																															
OG0020587	Amel_XP.034496386.1																															
OG0020588	Amel_XP.034496524.1																															
OG0020589	Amel_XP.034496534.1																															
OG0020590	Amel_XP.034496543.1																															
OG0020591	Amel_XP.034496596.1																															
OG0020592	Amel_XP.034496728.1																															
OG0020593	Amel_XP.034496729.1																															
OG0020594	Amel_XP.034496807.1																															
OG0020595	Amel_XP.034497190.1																															
OG0020596	Amel_XP.034497277.1																															
OG0020597	Amel_XP.034497326.1																															
OG0020598	Amel_XP.034497414.1																															
OG0020599	Amel_XP.034497428.1																															
OG0020600	Amel_XP.034497445.1																															
OG0020601	Amel_XP.034497458.1																															
OG0020602	Amel_XP.034497491.1																															
OG0020603	Amel_XP.034497497.1																															
OG0020604	Amel_XP.034497500.1																															
OG0020605	Amel_XP.034497657.1																															
OG0020606	Amel_XP.034497679.1																															
OG0020607	Amel_XP.034497744.1																															
OG0020608	Amel_XP.034498011.1																															
OG0020609	Amel_XP.034498032.1																															
OG0020610	Amel_XP.034498045.1																															
OG0020611	Amel_XP.034498063.1																															
OG0020612	Amel_XP.034498070.1																															
OG0020613	Amel_XP.034498080.1																															
OG0020614	Amel_XP.034498090.1																															
OG0020615	Amel_XP.034498096.1																															
OG0020616	Amel_XP.034498104.1																															
OG0020617	Amel_XP.034498111.1																															
OG0020618	Amel_XP.034498112.1																															
OG0020619	Amel_XP.034498120.1																															
OG0020620	Amel_XP.034498178.1																															
OG0020621	Amel_XP.034498183.1																															
OG0020622	Amel_XP.034498187.1																															
OG0020623	Amel_XP.034498240.1																															
OG0020624	Amel_XP.034498398.1																															
OG0020625	Amel_XP.034498486.1																															
OG0020626	Amel_XP.034498487.1																															
OG0020627	Amel_XP.034498583.1																															
OG0020628	Amel_XP.034498785.1																															
OG0020629	Amel_XP.034498849.1																															
OG0020630	Amel_XP.034498918.1																															
OG0020631	Amel_XP.034498923.1																															
OG0020632	Amel_XP.034498925.1																															
OG0020633	Amel_XP.034498926.1																															
OG0020634	Amel_XP.034498933.1																															
OG0020635	Amel_XP.034498959.1																															
OG0020636	Amel_XP.034499057.1																															
OG0020637	Amel_XP.034499154.1																															
OG0020638	Amel_XP.034499155.1																															
OG0020639	Amel_XP.034499186.1																															
OG0020640	Amel_XP.034499366.1																															
OG0020641	Amel_XP.034499549.1																															
OG0020642	Amel_XP.034499561.1																															
OG0020643	Amel_XP.034499586.1																															
OG0020644	Amel_XP.034499588.1																															
OG0020645	Amel_XP.034499624.1																															
OG0020646	Amel_XP.034499653.1																															
OG0020647	Amel_XP.034499961.1																															
OG0020648	Amel_XP.034499993.1																															
OG0020649	Amel_XP.034500043.1																															
OG0020650	Amel_XP.034500103.1																															
OG0020651	Amel_XP.034500108.1																															
OG0020652	Amel_XP.034500227.1																															
OG0020653	Amel_XP.034500237.1																															
OG0020654	Amel_XP.034500259.1																															
OG0020655	Amel_XP.034500261.1																															
OG0020656	Amel_XP.034500262.1																															
OG0020657	Amel_XP.034500330.1																															
OG0020658	Amel_XP.034500460.1																															
OG0020659	Amel_XP.034500473.1																															
OG0020660	Amel_XP.034500481.1																															
OG0020661	Amel_XP.034500600.1																															
OG0020662	Amel_XP.034500676.1																															
OG0020663	Amel_XP.034500685.1																															
OG0020664	Amel_XP.034500718.1																															
OG0020665	Amel_XP.034500721.1																															
OG0020666	Amel_XP.034500743.1																															
OG0020667	Amel_XP.034500787.1																															
OG0020668	Amel_XP.034500806.1																															
OG0020669	Amel_XP.034500840.1																															
OG0020670	Amel_XP.034500853.1																															
OG0020671	Amel_XP.034500911.1																															
OG0020672	Amel_XP.034501004.1																															
OG0020673	Amel_XP.034501066.1																															
OG0020674	Amel_XP.034501145.1																															
OG0020675	Amel_XP.034501334.1																															
OG0020676	Amel_XP.034501599.1																															
OG0020677	Amel_XP.034501614.1																															
OG0020678	Amel_XP.034501687.1																															
OG0020679	Amel_XP.034501766.1																															
OG0020680	Amel_XP.034501878.1																															
OG0020681	Amel_XP.034501902.1																															
OG0020682	Amel_XP.034502313.1																															
