gene	length	species	median
13_distribution_divergence/01_input_alignments/OG0000513_disco_tree1_aligned_trim.faa	136	20	0
13_distribution_divergence/01_input_alignments/OG0000251_disco_tree1_aligned_trim.faa	452	20	0.00223554159952531
13_distribution_divergence/01_input_alignments/OG0000072_disco_tree4_aligned_trim.faa	376	23	0.00533979014158377
13_distribution_divergence/01_input_alignments/OG0008722_disco_tree1_aligned_trim.faa	117	24	0.00905089850285453
13_distribution_divergence/01_input_alignments/OG0008622_disco_tree1_aligned_trim.faa	110	26	0.0101279520729817
13_distribution_divergence/01_input_alignments/OG0010633_disco_tree1_aligned_trim.faa	193	31	0.010796928639693
13_distribution_divergence/01_input_alignments/OG0009587_disco_tree1_aligned_trim.faa	147	21	0.0137649115361836
13_distribution_divergence/01_input_alignments/OG0001051_disco_tree3_aligned_trim.faa	328	34	0.0162810131237002
13_distribution_divergence/01_input_alignments/OG0010766_disco_tree1_aligned_trim.faa	96	32	0.0205422371253338
13_distribution_divergence/01_input_alignments/OG0000870_disco_tree3_aligned_trim.faa	77	28	0.025635852694523
13_distribution_divergence/01_input_alignments/OG0010440_disco_tree1_aligned_trim.faa	115	32	0.0274094833211016
13_distribution_divergence/01_input_alignments/OG0001051_disco_tree1_aligned_trim.faa	326	28	0.0297035857859201
13_distribution_divergence/01_input_alignments/OG0007032_disco_tree1_aligned_trim.faa	508	27	0.0317296016284767
13_distribution_divergence/01_input_alignments/OG0000870_disco_tree1_aligned_trim.faa	128	25	0.0317642771078983
13_distribution_divergence/01_input_alignments/OG0008535_disco_tree1_aligned_trim.faa	214	34	0.0329842655002112
13_distribution_divergence/01_input_alignments/OG0010699_disco_tree1_aligned_trim.faa	212	26	0.033035569529554
13_distribution_divergence/01_input_alignments/OG0006587_disco_tree1_aligned_trim.faa	227	25	0.0331055507136267
13_distribution_divergence/01_input_alignments/OG0008710_disco_tree1_aligned_trim.faa	172	33	0.0353722084139238
13_distribution_divergence/01_input_alignments/OG0000870_disco_tree2_aligned_trim.faa	156	23	0.0358656615429967
13_distribution_divergence/01_input_alignments/OG0009031_disco_tree1_aligned_trim.faa	407	30	0.0365871669224565
13_distribution_divergence/01_input_alignments/OG0004927_disco_tree1_aligned_trim.faa	221	27	0.0383287326524337
13_distribution_divergence/01_input_alignments/OG0006818_disco_tree1_aligned_trim.faa	434	22	0.0386476912152737
13_distribution_divergence/01_input_alignments/OG0010351_disco_tree1_aligned_trim.faa	79	28	0.0386510514174171
13_distribution_divergence/01_input_alignments/OG0005943_disco_tree1_aligned_trim.faa	341	32	0.0417909690132231
13_distribution_divergence/01_input_alignments/OG0004794_disco_tree1_aligned_trim.faa	118	25	0.0419820551016427
13_distribution_divergence/01_input_alignments/OG0006842_disco_tree1_aligned_trim.faa	151	27	0.0419852429314938
13_distribution_divergence/01_input_alignments/OG0001080_disco_tree2_aligned_trim.faa	307	31	0.0422839215358378
13_distribution_divergence/01_input_alignments/OG0001080_disco_tree1_aligned_trim.faa	312	29	0.0423008208999592
13_distribution_divergence/01_input_alignments/OG0007592_disco_tree1_aligned_trim.faa	441	30	0.0426897195706621
13_distribution_divergence/01_input_alignments/OG0005860_disco_tree1_aligned_trim.faa	119	34	0.0429761406058569
13_distribution_divergence/01_input_alignments/OG0000308_disco_tree4_aligned_trim.faa	192	25	0.0440677321018324
13_distribution_divergence/01_input_alignments/OG0008107_disco_tree1_aligned_trim.faa	418	32	0.0455223099580715
13_distribution_divergence/01_input_alignments/OG0005142_disco_tree1_aligned_trim.faa	311	30	0.0464666417769557
13_distribution_divergence/01_input_alignments/OG0007249_disco_tree1_aligned_trim.faa	374	21	0.0490912857312703
13_distribution_divergence/01_input_alignments/OG0009672_disco_tree1_aligned_trim.faa	349	34	0.0504208681656626
13_distribution_divergence/01_input_alignments/OG0008838_disco_tree1_aligned_trim.faa	167	32	0.0506459695902019
13_distribution_divergence/01_input_alignments/OG0001290_disco_tree1_aligned_trim.faa	399	28	0.0525337530963746
13_distribution_divergence/01_input_alignments/OG0000308_disco_tree1_aligned_trim.faa	195	23	0.0545908167049888
13_distribution_divergence/01_input_alignments/OG0008607_disco_tree1_aligned_trim.faa	148	33	0.0563355706824344
13_distribution_divergence/01_input_alignments/OG0007057_disco_tree1_aligned_trim.faa	464	32	0.0565189308301958
13_distribution_divergence/01_input_alignments/OG0008958_disco_tree1_aligned_trim.faa	162	32	0.0569232732217778
13_distribution_divergence/01_input_alignments/OG0009079_disco_tree1_aligned_trim.faa	185	33	0.057099154895054
13_distribution_divergence/01_input_alignments/OG0001405_disco_tree1_aligned_trim.faa	355	30	0.0574080305152886
13_distribution_divergence/01_input_alignments/OG0008231_disco_tree1_aligned_trim.faa	394	30	0.0582868607953877
13_distribution_divergence/01_input_alignments/OG0008202_disco_tree1_aligned_trim.faa	90	32	0.0584099026822404
13_distribution_divergence/01_input_alignments/OG0011902_disco_tree1_aligned_trim.faa	91	24	0.058602662240435
13_distribution_divergence/01_input_alignments/OG0009292_disco_tree1_aligned_trim.faa	140	22	0.0589279406623832
13_distribution_divergence/01_input_alignments/OG0007145_disco_tree1_aligned_trim.faa	103	32	0.0590010163215902
13_distribution_divergence/01_input_alignments/OG0006145_disco_tree1_aligned_trim.faa	170	31	0.0596842763038825
13_distribution_divergence/01_input_alignments/OG0000594_disco_tree1_aligned_trim.faa	126	22	0.0598066652958627
13_distribution_divergence/01_input_alignments/OG0004818_disco_tree1_aligned_trim.faa	206	30	0.0602802961210748
13_distribution_divergence/01_input_alignments/OG0007566_disco_tree1_aligned_trim.faa	476	31	0.061091243775635
13_distribution_divergence/01_input_alignments/OG0006618_disco_tree1_aligned_trim.faa	181	34	0.0625109600271571
13_distribution_divergence/01_input_alignments/OG0011968_disco_tree1_aligned_trim.faa	86	26	0.0629561064236068
13_distribution_divergence/01_input_alignments/OG0008667_disco_tree1_aligned_trim.faa	164	31	0.0636234999923856
13_distribution_divergence/01_input_alignments/OG0009497_disco_tree1_aligned_trim.faa	428	32	0.0638862022542065
13_distribution_divergence/01_input_alignments/OG0005062_disco_tree1_aligned_trim.faa	443	29	0.0641804050890904
13_distribution_divergence/01_input_alignments/OG0006294_disco_tree1_aligned_trim.faa	319	27	0.064536896259809
13_distribution_divergence/01_input_alignments/OG0009367_disco_tree1_aligned_trim.faa	87	30	0.0648708240009407
13_distribution_divergence/01_input_alignments/OG0010650_disco_tree1_aligned_trim.faa	142	32	0.0654029367021299
13_distribution_divergence/01_input_alignments/OG0011397_disco_tree1_aligned_trim.faa	136	29	0.0664189191750651
13_distribution_divergence/01_input_alignments/OG0000308_disco_tree2_aligned_trim.faa	191	23	0.0666474930651934
13_distribution_divergence/01_input_alignments/OG0010568_disco_tree1_aligned_trim.faa	2366	29	0.0668268391846678
13_distribution_divergence/01_input_alignments/OG0004853_disco_tree1_aligned_trim.faa	1177	30	0.0677538538665333
13_distribution_divergence/01_input_alignments/OG0004054_disco_tree1_aligned_trim.faa	142	33	0.0682583615197541
13_distribution_divergence/01_input_alignments/OG0006764_disco_tree1_aligned_trim.faa	144	33	0.06905785287283
13_distribution_divergence/01_input_alignments/OG0001104_disco_tree2_aligned_trim.faa	327	33	0.0693066128714585
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree5_aligned_trim.faa	589	30	0.0693787683528604
13_distribution_divergence/01_input_alignments/OG0007229_disco_tree1_aligned_trim.faa	216	28	0.0699287857941115
13_distribution_divergence/01_input_alignments/OG0009665_disco_tree1_aligned_trim.faa	118	32	0.070636364145527
13_distribution_divergence/01_input_alignments/OG0011699_disco_tree1_aligned_trim.faa	82	21	0.0713794338444892
13_distribution_divergence/01_input_alignments/OG0000869_disco_tree3_aligned_trim.faa	202	33	0.0721382436735024
13_distribution_divergence/01_input_alignments/OG0003270_disco_tree1_aligned_trim.faa	279	18	0.0754831679582529
