gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Cdid_XP.037667673.1	OG0:sox-18	94.0	sox-18	94.0
Opri_XP.004586020.2	OG0:sox-18	94.0	sox-18	97.0
Clup_XP.038427314.1	OG0:sox-18	94.0	sox-18	68.0
Scar_XP.047396502.1	OG0:sox-18	94.0	sox-18	97.0
Cpor_XP.003462830.1	OG0:sox-18	94.0	sox-18	97.0
Mjav_XP.036862488.1	OG0:sox-18	94.0	sox-18	68.0
Bmus_XP.036681681.1	OG0:sox-18	94.0	sox-18	68.0
Cdro_XP.031289217.1	OG0:sox-18	94.0	sox-18	68.0
Lcat_XP.045384104.1	OG0:sox-18	94.0	sox-18	95.0
Cimi_XP.017371142.1	OG0:sox-18	94.0	sox-18	98.0
Equa_XP.046535409.1	OG0:sox-18	94.0	sox-18	68.0
Bbub_XP.025119695.1	OG0:sox-18	94.0	sox-18	68.0
Csim_XP.004430565.1	OG0:sox-18	94.0	sox-18	68.0
Rfer_XP.032951103.1	OG0:sox-18	94.0	sox-18	68.0
Drot_XP.053783310.1	OG0:sox-18	94.0	sox-18	68.0
Pgig_XP.039720817.1	OG0:sox-18	94.0	sox-18	68.0
Ttru_XP.019806802.1	OG0:sox-18	94.0	sox-18	68.0
Pafr_XP.047626512.1	OG0:sox-18	94.0	sox-18	68.0
Mang_XP.045742130.1	OG0:sox-18	94.0	sox-18	68.0
Mmus_NP.033262.2	OG0:sox-18	94.0	sox-18	97.0
Ptig_XP.042835603.1	OG0:sox-18	94.0	sox-18	68.0
Hsap_NP.060889.1	OG0:sox-18	94.0	sox-18	97.0
Hamp_XP.057559896.1	OG0:sox-18	94.0	sox-18	68.0
Dnov_XP.058143328.1	OG0:sox-18	94.0	sox-18	92.0
Shar_XP.023350160.2	OG1:sox-18	98.0	sox-18	98.0
Oana_XP.028925867.1	OG1:sox-18	98.0	sox-18	100.0
Mdom_XP.007475557.3	OG1:sox-18	98.0	sox-18	98.0
Ggal_NP.989640.1	OG1:sox-18	98.0	sox-18	98.0
Ggal_XP.040551910.1	OG2:sox-17	99.0	sox-17	99.0
Opri_XP.004580649.2	OG2:sox-17	99.0	sox-17	55.0
Ggal_NP.001034415.2	OG2:sox-17	99.0	sox-17	99.0
Mdom_XP.001379706.1	OG2:sox-17	99.0	sox-17	98.0
Cdid_XP.037658799.1	OG2:sox-17	99.0	sox-17	96.0
Lcat_XP.045416951.1	OG2:sox-17	99.0	sox-17	55.0
Mmus_NP.001276393.1	OG2:sox-17	99.0	sox-17	57.0
Tman_XP.004372647.1	OG2:sox-17	99.0	sox-17	100.0
Rfer_XP.032981648.1	OG2:sox-17	99.0	sox-17	42.0
Cpor_XP.005002064.1	OG2:sox-17	99.0	sox-17	57.0
Oafe_XP.007950410.1	OG2:sox-17	99.0	sox-17	100.0
Oana_XP.028925260.1	OG2:sox-17	99.0	sox-17	99.0
Mdom_XP.001368625.2	OG2:sox-17	99.0	sox-17	98.0
Amel_XP.002925690.2	OG2:sox-17	99.0	sox-17	42.0
Scar_XP.047417202.1	OG2:sox-17	99.0	sox-17	57.0
Hsap_NP.071899.1	OG2:sox-17	99.0	sox-17	55.0
Cimi_XP.017387282.1	OG2:sox-17	99.0	sox-17	55.0
Mjav_XP.036855229.1	OG2:sox-17	99.0	sox-17	42.0
Shar_XP.003759826.2	OG2:sox-17	99.0	sox-17	98.0
Bbub_XP.025121191.1	OG2:sox-17	99.0	sox-17	42.0
Casi_XP.006871910.1	OG2:sox-17	99.0	sox-17	100.0
Shar_XP.031802254.1	OG2:sox-17	99.0	sox-17	98.0
Clup_XP.038435168.1	OG2:sox-17	99.0	sox-17	42.0
Csim_XP.004435766.1	OG2:sox-17	99.0	sox-17	99.0
Emax_XP.049716401.1	OG2:sox-17	99.0	sox-17	55.0
Cdro_XP.010987841.2	OG2:sox-17	99.0	sox-17	42.0
Ptig_XP.042829097.1	OG2:sox-17	99.0	sox-17	42.0
Bmus_XP.036685683.1	OG2:sox-17	99.0	sox-17	42.0
Pgig_XP.039724865.1	OG2:sox-17	99.0	sox-17	42.0
Mang_XP.045752504.1	OG2:sox-17	99.0	sox-17	42.0
Pafr_XP.047639872.1	OG2:sox-17	99.0	sox-17	42.0
Hamp_XP.057592218.1	OG2:sox-17	99.0	sox-17	42.0
Equa_XP.046498273.1	OG2:sox-17	99.0	sox-17	42.0
Dnov_XP.058131520.1	OG2:sox-17	99.0	sox-17	96.0
Drot_XP.024434049.3	OG2:sox-17	99.0	sox-17	42.0
Ttru_XP.019780997.1	OG2:sox-17	99.0	sox-17	42.0
Oana_XP.028909114.1	OG3:sox-7	90.0	sox-7	90.0
Bbub_XP.006064379.2	OG3:sox-7	90.0	sox-7	97.0
Csim_XP.014645382.1	OG3:sox-7	90.0	sox-7	97.0
Mdom_XP.001373591.1	OG3:sox-7	90.0	sox-7	66.0
Casi_XP.006864394.1	OG3:sox-7	90.0	sox-7	51.0
Ptig_XP.042839510.1	OG3:sox-7	90.0	sox-7	97.0
Tman_XP.004382257.1	OG3:sox-7	90.0	sox-7	100.0
Clup_XP.038429590.1	OG3:sox-7	90.0	sox-7	97.0
Pgig_XP.039731999.1	OG3:sox-7	90.0	sox-7	97.0
Ggal_XP.046795199.1	OG3:sox-7	90.0	sox-7	66.0
Cimi_XP.017395944.1	OG3:sox-7	90.0	sox-7	97.0
Mmus_NP.035576.1	OG3:sox-7	90.0	sox-7	97.0
Emax_XP.049722562.1	OG3:sox-7	90.0	sox-7	97.0
Amel_XP.011214939.2	OG3:sox-7	90.0	sox-7	97.0
Rfer_XP.032989201.1	OG3:sox-7	90.0	sox-7	97.0
Equa_XP.046512534.1	OG3:sox-7	90.0	sox-7	97.0
Ttru_XP.033713462.1	OG3:sox-7	90.0	sox-7	97.0
Cpor_XP.003479745.1	OG3:sox-7	90.0	sox-7	97.0
Shar_XP.003758123.1	OG3:sox-7	90.0	sox-7	66.0
Cdid_XP.037668898.1	OG3:sox-7	90.0	sox-7	66.0
Hamp_XP.057576011.1	OG3:sox-7	90.0	sox-7	97.0
Bmus_XP.036712190.1	OG3:sox-7	90.0	sox-7	97.0
Scar_XP.047405527.1	OG3:sox-7	90.0	sox-7	97.0
Drot_XP.053767954.1	OG3:sox-7	90.0	sox-7	97.0
Pafr_XP.047615897.1	OG3:sox-7	90.0	sox-7	97.0
Hsap_NP.113627.1	OG3:sox-7	90.0	sox-7	97.0
Mang_XP.045736052.1	OG3:sox-7	90.0	sox-7	97.0
Dnov_XP.058144023.1	OG3:sox-7	90.0	sox-7	99.0
Cdro_XP.031297983.1	OG3:sox-7	90.0	sox-7	97.0
Lcat_XP.045391548.1	OG3:sox-7	90.0	sox-7	97.0
Opri_XP.004579156.2	OG3:sox-7	90.0	sox-7	97.0
Oafe_XP.007936906.1	OG3:sox-7	90.0	sox-7	48.0
Mjav_XP.036854859.1	OG3:sox-7	90.0	sox-7	97.0
Pafr_XP.047609577.1	OG4:sox-30	100.0	sox-30	100.0
Ptig_XP.007077656.3	OG4:sox-30	100.0	sox-30	15.0
Bmus_XP.036704125.1	OG4:sox-30	100.0	sox-30	33.0
Oana_XP.039766108.1	OG4:sox-30	100.0	sox-30	74.0
Cimi_XP.017372578.1	OG4:sox-30	100.0	sox-30	85.0
Oafe_XP.007948121.1	OG4:sox-30	100.0	sox-30	15.0
Cdro_XP.031305277.1	OG4:sox-30	100.0	sox-30	33.0
Emax_XP.049730174.1	OG4:sox-30	100.0	sox-30	85.0
Hamp_XP.057558120.1	OG4:sox-30	100.0	sox-30	15.0
Lcat_XP.045408644.1	OG4:sox-30	100.0	sox-30	69.0
Shar_XP.031809461.1	OG4:sox-30	100.0	sox-30	15.0
Bbub_XP.006058618.4	OG4:sox-30	100.0	sox-30	15.0
Drot_XP.024432555.2	OG4:sox-30	100.0	sox-30	77.0
Clup_XP.038390830.1	OG4:sox-30	100.0	sox-30	43.0
Cpor_XP.003473352.1	OG4:sox-30	100.0	sox-30	74.0
Ttru_XP.019780387.1	OG4:sox-30	100.0	sox-30	33.0
Opri_XP.004587550.2	OG4:sox-30	100.0	sox-30	54.0
Mdom_XP.001379720.1	OG4:sox-30	100.0	sox-30	15.0
Equa_XP.046521338.1	OG4:sox-30	100.0	sox-30	13.0
Csim_XP.004428646.1	OG4:sox-30	100.0	sox-30	13.0
Cdid_XP.037655441.1	OG4:sox-30	100.0	sox-30	33.0
Ggal_XP.414564.1	OG4:sox-30	100.0	sox-30	33.0
Dnov_XP.058162315.1	OG4:sox-30	100.0	sox-30	33.0
Scar_XP.047412799.1	OG4:sox-30	100.0	sox-30	15.0
Mmus_NP.775560.1	OG4:sox-30	100.0	sox-30	100.0
Amel_XP.019650665.2	OG4:sox-30	100.0	sox-30	44.0
Pgig_XP.039732492.1	OG4:sox-30	100.0	sox-30	15.0
Mjav_XP.036881068.1	OG4:sox-30	100.0	sox-30	13.0
Mang_XP.045743539.1	OG4:sox-30	100.0	sox-30	13.0
Rfer_XP.032952708.1	OG4:sox-30	100.0	sox-30	77.0
