gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Neur_CCD57795.1.OUT	OG0:NA	1.0	GATA-zinc-finger-10/dichaete/nan/sox-1/sox-10/sox-14/sox-15/sox-1a/sox-21a/sox-21b/sox-4/sox-8/sox-N/sox100B	1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0
Dana_XP.044571024.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/89.0
Dari_XP.017862175.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	90.0/86.0/86.0
Dhyd_XP.030080409.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	100.0/86.0/86.0
Dbus_XP.033149417.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	92.0/86.0/86.0
Dere_XP.001972712.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/99.0
Dmir_XP.033243279.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/100.0/81.0
Dmel_NP.001261829.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/100.0
Dele_XP.017128640.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/95.0
Dpse_XP.002134931.3	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/100.0/81.0
Dwil_XP.023034010.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/72.0/72.0
Dsec_XP.002030465.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/100.0
Dalb_XP.034107607.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	92.0/86.0/86.0
Dbip_XP.017090122.2	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/89.0
Agam_XP.061509694.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	99.0/99.0/99.0
Dkik_XP.017034105.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/82.0
Dgri_XP.032598957.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	88.0/86.0/86.0
Dser_XP.020816310.1	OG1:nan/sox-1-21b	99.0	nan/sox-1/sox-21b	86.0/81.0/82.0
Neur_XP.062685912.1.OUT	OG2:NA	1.0	GATA-zinc-finger-10/dichaete/nan/sox-1/sox-10/sox-14/sox-15/sox-1a/sox-21a/sox-21b/sox-4/sox-8/sox-N/sox100B	1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0/1.0
Dgri_XP.032590737.1	OG3:sox-14	100.0	sox-14	73.0
Dhyd_XP.023171730.2	OG3:sox-14	100.0	sox-14	98.0
Dbus_XP.017836915.1	OG3:sox-14	100.0	sox-14	100.0
Dpse_XP.001360869.4	OG3:sox-14	100.0	sox-14	98.0
Dkik_XP.017018688.1	OG3:sox-14	100.0	sox-14	98.0
Dbip_XP.017090231.2	OG3:sox-14	100.0	sox-14	98.0
Dser_XP.020817997.1	OG3:sox-14	100.0	sox-14	98.0
Dmir_XP.033246935.1	OG3:sox-14	100.0	sox-14	98.0
Dsec_XP.002040195.2	OG3:sox-14	100.0	sox-14	98.0
Dmel_NP.001286801.1	OG3:sox-14	100.0	sox-14	98.0
Dmir_XP.017149652.2	OG3:sox-14	100.0	sox-14	98.0
Dsuz_XP.016926392.1	OG3:sox-14	100.0	sox-14	98.0
Dari_XP.017868666.1	OG3:sox-14	100.0	sox-14	100.0
Dalb_XP.034106594.1	OG3:sox-14	100.0	sox-14	73.0
Dere_XP.001976516.1	OG3:sox-14	100.0	sox-14	98.0
Dwil_XP.002061086.2	OG3:sox-14	100.0	sox-14	87.0
Agam_XP.061506760.1	OG3:sox-14	100.0	sox-14	100.0
Dele_XP.017125359.1	OG3:sox-14	100.0	sox-14	98.0
Dana_XP.001959457.2	OG3:sox-14	100.0	sox-14	98.0
Dpse_XP.001353547.1	OG4:dichaete	100.0	dichaete	93.0
Dele_XP.017128756.1	OG4:dichaete	100.0	dichaete	93.0
Dmir_XP.017138810.1	OG4:dichaete	100.0	dichaete	93.0
Dalb_XP.034104310.1	OG4:dichaete	100.0	dichaete	97.0
Dsec_XP.002030467.1	OG4:dichaete	100.0	dichaete	93.0
Dgri_XP.001984254.1	OG4:dichaete	100.0	dichaete	100.0
Dana_XP.001956432.1	OG4:dichaete	100.0	dichaete	93.0
Dmel_NP.524066.1	OG4:dichaete	100.0	dichaete	93.0
Dere_XP.001972713.1	OG4:dichaete	100.0	dichaete	93.0
Dbip_XP.017089891.1	OG4:dichaete	100.0	dichaete	93.0
Agam_XP.061514536.1	OG4:dichaete	100.0	dichaete	100.0
Dbus_XP.017841081.1	OG4:dichaete	100.0	dichaete	98.0
Dkik_XP.017034102.1	OG4:dichaete	100.0	dichaete	93.0
Dwil_XP.002061712.1	OG4:dichaete	100.0	dichaete	93.0
Dari_XP.017864416.1	OG4:dichaete	100.0	dichaete	89.0
Dhyd_XP.023173062.1	OG4:dichaete	100.0	dichaete	93.0
Dser_XP.020815889.1	OG4:dichaete	100.0	dichaete	93.0
Dsuz_XP.016933433.1	OG4:dichaete	100.0	dichaete	93.0
Dere_XP.001975666.1	OG5:sox-15	98.0	sox-15	63.0
Dele_XP.017133202.1	OG5:sox-15	98.0	sox-15	63.0
Dbus_XP.017835743.2	OG5:sox-15	98.0	sox-15	96.0
Dwil_XP.023030517.1	OG5:sox-15	98.0	sox-15	96.0
Dalb_XP.051860622.1	OG5:sox-15	98.0	sox-15	96.0
Dana_XP.001959479.1	OG5:sox-15	98.0	sox-15	93.0
Dbip_XP.017090318.2	OG5:sox-15	98.0	sox-15	93.0
Dari_XP.017867550.1	OG5:sox-15	98.0	sox-15	99.0
Dmir_XP.017149731.1	OG5:sox-15	98.0	sox-15	98.0
Dsec_XP.002033808.1	OG5:sox-15	98.0	sox-15	63.0
Agam_XP.061509362.1	OG5:sox-15	98.0	sox-15	96.0
Dmel_NP.523739.2	OG5:sox-15	98.0	sox-15	63.0
Dser_XP.020802427.1	OG5:sox-15	98.0	sox-15	63.0
Dhyd_XP.030081376.1	OG5:sox-15	98.0	sox-15	63.0
Dsuz_XP.016927906.1	OG5:sox-15	98.0	sox-15	63.0
Dpse_XP.001361762.2	OG5:sox-15	98.0	sox-15	98.0
Dkik_XP.017019703.1	OG5:sox-15	98.0	sox-15	63.0
Dgri_XP.001987303.1	OG5:sox-15	98.0	sox-15	96.0
Dsec_XP.002030464.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	75.0/75.0/100.0
Dgri_XP.001984256.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	66.0/95.0/75.0
Dsuz_XP.016934639.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	75.0/75.0/96.0
Dmir_XP.017138458.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	100.0/66.0/75.0
Dkik_XP.017034345.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	95.0/95.0/95.0
Dbus_XP.017840298.2	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	66.0/35.0/75.0
Dari_XP.017862178.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	66.0/99.0/75.0
Dalb_XP.034108985.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	66.0/99.0/75.0
Dser_XP.020816311.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	95.0/95.0/95.0
Agam_XP.061513404.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	99.0/99.0/99.0
Dele_XP.017128154.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	75.0/75.0/70.0
Dana_XP.032310341.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	65.0/65.0/75.0
Dhyd_XP.023173058.2	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	66.0/100.0/75.0
Dere_XP.001972711.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	75.0/75.0/100.0
Dbip_XP.043070009.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	65.0/65.0/75.0
Dwil_XP.023033998.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	66.0/83.0/75.0
Dmel_NP.001261827.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	75.0/75.0/100.0
Dpse_XP.033239763.1	OG6:sox-1a-14-21a	99.0	sox-14/sox-1a/sox-21a	75.0/66.0/75.0
Dwil_XP.002066518.2	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	54.0/100.0/54.0
Dser_XP.020807900.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Dsuz_XP.036678170.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/95.0
Dbus_XP.033150665.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	53.0/100.0/53.0
Dsec_XP.002036270.2	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Dgri_XP.001993541.2	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	100.0/92.0/100.0
Dele_XP.017121213.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Dari_XP.017860249.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	100.0/100.0/100.0
Dalb_XP.051858933.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	53.0/100.0/53.0
Dkik_XP.017024634.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Agam_XP.061516479.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	54.0/100.0/54.0
Dmir_XP.017154597.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	100.0/100.0/99.0
Dbip_XP.017099296.2	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Dere_XP.026834908.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Dmel_NP.001260269.1	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Dhyd_XP.023172210.2	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	100.0/100.0/100.0
Dpse_XP.001355808.4	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/99.0
Dana_XP.001962613.2	OG7:GATA-zinc-finger-10/sox-1/sox-N	100.0	GATA-zinc-finger-10/sox-1/sox-N	99.0/100.0/100.0
Dbus_XP.017845374.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/99.0/96.0/96.0
Dari_XP.017874440.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/100.0/96.0/96.0
Agam_XP.061509035.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	100.0/100.0/100.0/100.0
Dhyd_XP.023168522.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/100.0/96.0/96.0
Dkik_XP.017037366.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/97.0/96.0/96.0
Dana_XP.001954720.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	93.0/93.0/93.0/93.0
Dele_XP.017122478.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	96.0/96.0/100.0/100.0
Dser_XP.020811779.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/97.0/96.0/96.0
Dbip_XP.017088796.2	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/97.0/97.0/97.0
Dmir_XP.017145320.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	100.0/97.0/96.0/96.0
Dalb_XP.051863654.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/100.0/96.0/96.0
Dmel_NP.651839.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	96.0/96.0/99.0/100.0
Dsec_XP.002037434.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	96.0/96.0/99.0/100.0
Dere_XP.001981122.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	96.0/96.0/99.0/100.0
Dsuz_XP.016935593.2	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	96.0/96.0/100.0/99.0
Dwil_XP.023035523.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/99.0/96.0/96.0
Dgri_XP.032597554.1	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	97.0/85.0/96.0/96.0
Dpse_XP.001357577.3	OG8:sox-4-8-10/sox100B	100.0	sox-10/sox-4/sox-8/sox100B	100.0/97.0/96.0/96.0
