Orthogroup	Dalb_protein_noIso	Dana_protein_noIso	Dari_protein_noIso	Dbip_protein_noIso	Dbus_protein_noIso	Dele_protein_noIso	Dere_protein_noIso	Dgri_protein_noIso	Dhyd_protein_noIso	Dkik_protein_noIso	Dmel_protein_noIso	Dmir_protein_noIso	Dpse_protein_noIso	Dsec_protein_noIso	Dser_protein_noIso	Dsuz_protein_noIso	Dwil_protein_noIso
OG0015344	Dalb_XP.034097802.2																
OG0015345	Dalb_XP.034098114.2																
OG0015346	Dalb_XP.034098209.1																
OG0015347	Dalb_XP.034098687.1																
OG0015348	Dalb_XP.034098943.1																
OG0015349	Dalb_XP.034099033.2																
OG0015350	Dalb_XP.034099158.1																
OG0015351	Dalb_XP.034099374.2																
OG0015352	Dalb_XP.034099434.1																
OG0015353	Dalb_XP.034099472.2																
OG0015354	Dalb_XP.034099530.1																
OG0015355	Dalb_XP.034099630.1																
OG0015356	Dalb_XP.034099820.1																
OG0015357	Dalb_XP.034099851.2																
OG0015358	Dalb_XP.034099949.1																
OG0015359	Dalb_XP.034099954.1																
OG0015360	Dalb_XP.034100467.1																
OG0015361	Dalb_XP.034100501.1																
OG0015362	Dalb_XP.034100727.1																
OG0015363	Dalb_XP.034100748.1																
OG0015364	Dalb_XP.034100763.1																
OG0015365	Dalb_XP.034100808.1																
OG0015366	Dalb_XP.034101086.1																
OG0015367	Dalb_XP.034101219.2																
OG0015368	Dalb_XP.034101603.2																
OG0015369	Dalb_XP.034102231.1																
OG0015370	Dalb_XP.034102480.1																
OG0015371	Dalb_XP.034103121.1																
OG0015372	Dalb_XP.034103366.1																
OG0015373	Dalb_XP.034103489.1																
OG0015374	Dalb_XP.034103823.1																
OG0015375	Dalb_XP.034104004.2																
OG0015376	Dalb_XP.034104047.1																
OG0015377	Dalb_XP.034105099.1																
OG0015378	Dalb_XP.034105169.1																
OG0015379	Dalb_XP.034105674.1																
OG0015380	Dalb_XP.034105930.1																
OG0015381	Dalb_XP.034105971.1																
OG0015382	Dalb_XP.034106156.1																
OG0015383	Dalb_XP.034106276.1																
OG0015384	Dalb_XP.034106771.1																
OG0015385	Dalb_XP.034106783.1																
OG0015386	Dalb_XP.034106844.1																
OG0015387	Dalb_XP.034107200.1																
OG0015388	Dalb_XP.034107357.1																
OG0015389	Dalb_XP.034107439.1																
OG0015390	Dalb_XP.034107563.1																
OG0015391	Dalb_XP.034107819.1																
OG0015392	Dalb_XP.034108004.1																
OG0015393	Dalb_XP.034108015.1																
OG0015394	Dalb_XP.034108019.1																
OG0015395	Dalb_XP.034108155.1																
OG0015396	Dalb_XP.034108213.1																
OG0015397	Dalb_XP.034108448.1																
OG0015398	Dalb_XP.034108841.1																
OG0015399	Dalb_XP.034109253.1																
OG0015400	Dalb_XP.034109401.1																
OG0015401	Dalb_XP.034109433.1																
OG0015402	Dalb_XP.034109536.1																
OG0015403	Dalb_XP.034109738.1																
OG0015404	Dalb_XP.034109873.1																
OG0015405	Dalb_XP.034110077.1																
OG0015406	Dalb_XP.034110422.1																
OG0015407	Dalb_XP.034110661.1																
OG0015408	Dalb_XP.034110864.1																
OG0015409	Dalb_XP.034111316.1																
OG0015410	Dalb_XP.034111548.1																
OG0015411	Dalb_XP.034112020.1																
OG0015412	Dalb_XP.034112076.1																
OG0015413	Dalb_XP.034112248.1																
OG0015414	Dalb_XP.034112649.2																
OG0015415	Dalb_XP.034113111.2																
OG0015416	Dalb_XP.034113282.1																
OG0015417	Dalb_XP.034113765.1																
OG0015418	Dalb_XP.034114003.1																
OG0015419	Dalb_XP.034114738.1																
OG0015420	Dalb_XP.034114817.2																
OG0015421	Dalb_XP.034114879.2																
OG0015422	Dalb_XP.034115227.1																
OG0015423	Dalb_XP.034115274.1																
OG0015424	Dalb_XP.034116330.1																
OG0015425	Dalb_XP.034116420.1																
OG0015426	Dalb_XP.034117242.1																
OG0015427	Dalb_XP.034117589.1																
OG0015428	Dalb_XP.034118177.2																
OG0015429	Dalb_XP.034118184.1																
OG0015430	Dalb_XP.034118321.1																
OG0015431	Dalb_XP.034118528.1																
OG0015432	Dalb_XP.034118704.1																
OG0015433	Dalb_XP.034118910.1																
OG0015434	Dalb_XP.034119329.1																
OG0015435	Dalb_XP.034119348.1																
OG0015436	Dalb_XP.051857828.1																
OG0015437	Dalb_XP.051857899.1																
OG0015438	Dalb_XP.051858008.1																
OG0015439	Dalb_XP.051858013.1																
OG0015440	Dalb_XP.051858086.1																
OG0015441	Dalb_XP.051858128.1																
OG0015442	Dalb_XP.051858140.1																
OG0015443	Dalb_XP.051858218.1																
OG0015444	Dalb_XP.051858247.1																
OG0015445	Dalb_XP.051858250.1																
OG0015446	Dalb_XP.051858344.1																
OG0015447	Dalb_XP.051858403.1																
OG0015448	Dalb_XP.051858638.1																
OG0015449	Dalb_XP.051858684.1																
OG0015450	Dalb_XP.051858705.1																
OG0015451	Dalb_XP.051858885.1																
OG0015452	Dalb_XP.051858958.1																
OG0015453	Dalb_XP.051859331.1																
OG0015454	Dalb_XP.051859384.1																
OG0015455	Dalb_XP.051859397.1																
OG0015456	Dalb_XP.051859454.1																
OG0015457	Dalb_XP.051859460.1																
OG0015458	Dalb_XP.051859461.1																
OG0015459	Dalb_XP.051859474.1																
OG0015460	Dalb_XP.051859491.1																
OG0015461	Dalb_XP.051859496.1																
OG0015462	Dalb_XP.051859497.1																
OG0015463	Dalb_XP.051859515.1																
OG0015464	Dalb_XP.051859525.1																
OG0015465	Dalb_XP.051859538.1																
OG0015466	Dalb_XP.051859573.1																
OG0015467	Dalb_XP.051859578.1																
OG0015468	Dalb_XP.051859579.1																
OG0015469	Dalb_XP.051859670.1																
OG0015470	Dalb_XP.051859696.1																
OG0015471	Dalb_XP.051859697.1																
OG0015472	Dalb_XP.051859726.1																
OG0015473	Dalb_XP.051859841.1																
OG0015474	Dalb_XP.051859852.1																
OG0015475	Dalb_XP.051859857.1																
OG0015476	Dalb_XP.051859864.1																
OG0015477	Dalb_XP.051859879.1																
OG0015478	Dalb_XP.051859927.1																
OG0015479	Dalb_XP.051859974.1																
OG0015480	Dalb_XP.051860118.1																
OG0015481	Dalb_XP.051860135.1																
OG0015482	Dalb_XP.051860181.1																
OG0015483	Dalb_XP.051860258.1																
OG0015484	Dalb_XP.051860298.1																
OG0015485	Dalb_XP.051860307.1																
OG0015486	Dalb_XP.051860331.1																
OG0015487	Dalb_XP.051860332.1																
OG0015488	Dalb_XP.051860404.1																
OG0015489	Dalb_XP.051860542.1																
OG0015490	Dalb_XP.051860544.1																
OG0015491	Dalb_XP.051860570.1																
OG0015492	Dalb_XP.051860651.1																
OG0015493	Dalb_XP.051860652.1																
OG0015494	Dalb_XP.051860718.1																
OG0015495	Dalb_XP.051860732.1																
OG0015496	Dalb_XP.051860832.1																
OG0015497	Dalb_XP.051860863.1																
OG0015498	Dalb_XP.051860879.1																
OG0015499	Dalb_XP.051860922.1																
OG0015500	Dalb_XP.051861002.1																
OG0015501	Dalb_XP.051861009.1																
OG0015502	Dalb_XP.051861092.1																
OG0015503	Dalb_XP.051861134.1																
OG0015504	Dalb_XP.051861145.1																
OG0015505	Dalb_XP.051861202.1																
OG0015506	Dalb_XP.051861266.1																
OG0015507	Dalb_XP.051861277.1																
OG0015508	Dalb_XP.051861448.1																
OG0015509	Dalb_XP.051861465.1																
OG0015510	Dalb_XP.051861762.1																
OG0015511	Dalb_XP.051861835.1																
OG0015512	Dalb_XP.051862096.1																
OG0015513	Dalb_XP.051862120.1																
OG0015514	Dalb_XP.051862138.1																
OG0015515	Dalb_XP.051862278.1																
OG0015516	Dalb_XP.051862388.1																
OG0015517	Dalb_XP.051862402.1																
OG0015518	Dalb_XP.051862488.1																
OG0015519	Dalb_XP.051862541.1																
OG0015520	Dalb_XP.051862620.1																
OG0015521	Dalb_XP.051862665.1																
OG0015522	Dalb_XP.051862799.1																
OG0015523	Dalb_XP.051862809.1																
OG0015524	Dalb_XP.051862865.1																
OG0015525	Dalb_XP.051862866.1																
OG0015526	Dalb_XP.051862867.1																
OG0015527	Dalb_XP.051862884.1																
OG0015528	Dalb_XP.051862887.1																
OG0015529	Dalb_XP.051863088.1																
OG0015530	Dalb_XP.051863139.1																
OG0015531	Dalb_XP.051863174.1																
OG0015532	Dalb_XP.051863262.1																
OG0015533	Dalb_XP.051863277.1																
OG0015534	Dalb_XP.051863336.1																
OG0015535	Dalb_XP.051863377.1																
OG0015536	Dalb_XP.051863394.1																
OG0015537	Dalb_XP.051863517.1																
OG0015538	Dalb_XP.051863519.1																
OG0015539	Dalb_XP.051863634.1																
OG0015540	Dalb_XP.051863688.1																
OG0015541	Dalb_XP.051863709.1																
OG0015542	Dalb_XP.051863729.1																
OG0015543	Dalb_XP.051863771.1																
OG0015544	Dalb_XP.051863776.1																
OG0015545	Dalb_XP.051863881.1																
OG0015546	Dalb_XP.051863979.1																
OG0015547	Dalb_XP.051864080.1																
OG0015548	Dalb_XP.051864231.1																
OG0015549	Dalb_XP.051864243.1																
OG0015550	Dalb_XP.051864263.1																
OG0015551	Dalb_XP.051864265.1																
OG0015552	Dalb_XP.051864283.1																
OG0015553	Dalb_XP.051864359.1																
OG0015554	Dalb_XP.051864397.1																
OG0015555	Dalb_XP.051864409.1																
OG0015556	Dalb_XP.051864417.1																
OG0015557	Dalb_XP.051864419.1																
OG0015558	Dalb_XP.051864473.1																
OG0015559	Dalb_XP.051864492.1																
OG0015560	Dalb_XP.051864526.1																
OG0015561	Dalb_XP.051864647.1																
OG0015562	Dalb_XP.051864689.1																
OG0015563	Dalb_XP.051864702.1																
OG0015564	Dalb_XP.051864759.1																
OG0015565	Dalb_XP.051864771.1																
OG0015566		Dana_XP.001955622.1															
OG0015567		Dana_XP.001956423.1															
OG0015568		Dana_XP.001956533.2															
OG0015569		Dana_XP.001956768.1															
OG0015570		Dana_XP.001956785.1															
OG0015571		Dana_XP.001957118.2															
OG0015572		Dana_XP.001957389.2															
OG0015573		Dana_XP.001961452.1															
OG0015574		Dana_XP.001962087.4															
OG0015575		Dana_XP.001962598.1															
OG0015576		Dana_XP.001963173.3															
OG0015577		Dana_XP.001963719.1															
OG0015578		Dana_XP.001963802.1															
OG0015579		Dana_XP.001963830.1															
OG0015580		Dana_XP.001964049.1															
OG0015581		Dana_XP.001964057.1															
OG0015582		Dana_XP.001964105.2															
OG0015583		Dana_XP.001964161.1															
OG0015584		Dana_XP.001965758.2															
OG0015585		Dana_XP.001966084.4															
OG0015586		Dana_XP.001966184.1															
OG0015587		Dana_XP.001966444.2															
OG0015588		Dana_XP.001966875.2															
OG0015589		Dana_XP.001966957.1															
OG0015590		Dana_XP.014760014.1															
OG0015591		Dana_XP.014760116.1															
OG0015592		Dana_XP.014760305.1															
