gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Obim_XP.014777604.1	OG0:NA	1.0	NA	NA
Osin_XP.036359188.1	OG1:NA	1.0	NA	NA
Hruf_XP.046335487.2	OG2:NA	100.0	NA	NA
Cvir_XP.022286391.1	OG2:NA	100.0	NA	NA
Gaeg_XP.041366058.1	OG2:NA	100.0	NA	NA
Pcor_DN5679.c0.g2.i1.p1	OG2:NA	100.0	NA	NA
Medu_CAG2224977.1	OG2:NA	100.0	NA	NA
Rphi_XP.060569990.1	OG2:NA	100.0	NA	NA
Pyes_XP.021377259.1	OG2:NA	100.0	NA	NA
Pvir_s00219g11	OG2:NA	100.0	NA	NA
Airc_Contig438.5	OG2:NA	100.0	NA	NA
Cpli_DN76173.c0.g1.i2.p1	OG2:NA	100.0	NA	NA
Poku_DN37223.c1.g1.i8.p1	OG2:NA	100.0	NA	NA
Cari_EVM0012682.1	OG2:NA	100.0	NA	NA
Csin_Hic.asm.2.1802	OG2:NA	100.0	NA	NA
Mmod_DN27089.c0.g1.i1.p1	OG2:NA	100.0	NA	NA
Apur_scaffold.333.74	OG2:NA	100.0	NA	NA
Pmax_XP.033751305.1	OG2:NA	100.0	NA	NA
Mmer_XP.053384136.1	OG2:NA	100.0	NA	NA
Pmar_DN44947.c1.g2.i3.p1	OG2:NA	100.0	NA	NA
Hbia_M00000014061	OG2:NA	100.0	NA	NA
Sbro_EVM0023670.1	OG2:NA	100.0	NA	NA
Dpol_XP.052282333.1	OG2:NA	100.0	NA	NA
Apec_DN23140.c1.g1.i1.p1	OG2:NA	100.0	NA	NA
Pcor_DN5679.c0.g1.i15.p1	OG2:NA	100.0	NA	NA
Oedu_XP.048731286.2	OG2:NA	100.0	NA	NA
Mcal_XP.052064572.1	OG2:NA	100.0	NA	NA
Dpol_XP.052234537.1	OG2:NA	100.0	NA	NA
Mare_XP.052798013.1	OG2:NA	100.0	NA	NA
Ppur_DN3451.c0.g1.i1.p1	OG2:NA	100.0	NA	NA
Pcor_DN13056.c0.g1.i1.p1	OG2:NA	100.0	NA	NA
Csin_Hic.asm.2.1455	OG2:NA	100.0	NA	NA
Mmar_MMAM00000037791	OG2:NA	100.0	NA	NA
Sglo_Sgl005561	OG2:NA	100.0	NA	NA
Tgra_KAJ8299135.1	OG2:NA	100.0	NA	NA
Rdec_DN22152.c4.g4.i1.p1	OG2:NA	100.0	NA	NA
Pgen_DN28413.c1.g1.i2.p1	OG2:NA	100.0	NA	NA
Pcor_DN13056.c0.g2.i2.p1	OG2:NA	100.0	NA	NA
Pstr_KAK3597624.1	OG2:NA	100.0	NA	NA
Sgra_DN54780.c0.g1.i1.p1	OG2:NA	100.0	NA	NA
Cflu_DN113069.c3.g1.i4.p1	OG2:NA	100.0	NA	NA
Mner_g144243.t1	OG2:NA	100.0	NA	NA
Tsqu_DN6434.c0.g1.i7.p1	OG2:NA	100.0	NA	NA
Cang_XP.052712245.1	OG2:NA	100.0	NA	NA
Mcor_CAC5375062.1	OG2:NA	100.0	NA	NA
Cele_NP.001364785.1	OG3:fox-O	100.0	fox-O	100.0
Bgla_XP.013095255.2	OG3:fox-O	100.0	fox-O	100.0
Mcal_XP.052087664.1	OG3:fox-O	100.0	fox-O	100.0
Gaeg_XP.041351714.1	OG3:fox-O	100.0	fox-O	100.0
Scon_Chr2.491	OG3:fox-O	100.0	fox-O	100.0
Airc_Contig116.24	OG3:fox-O	100.0	fox-O	100.0
Cari_EVM0000968.1	OG3:fox-O	100.0	fox-O	100.0
Apec_DN23636.c0.g1.i1.p1	OG3:fox-O	100.0	fox-O	100.0
Oedu_XP.048766900.1	OG3:fox-O	100.0	fox-O	100.0
Hruf_XP.046374293.1	OG3:fox-O	100.0	fox-O	100.0
Pcor_DN20008.c0.g1.i2.p1	OG3:fox-O	100.0	fox-O	100.0
Pcor_DN7549.c0.g2.i1.p1	OG3:fox-O	100.0	fox-O	100.0
Pcan_XP.025097678.1	OG3:fox-O	100.0	fox-O	100.0
Sgra_DN5576.c0.g1.i1.p1	OG3:fox-O	100.0	fox-O	100.0
Dpol_XP.052243903.1	OG3:fox-O	100.0	fox-O	100.0
Cflu_DN112955.c5.g3.i5.p1	OG3:fox-O	100.0	fox-O	100.0
Mchi_DN32908.c0.g1.i3.p1	OG3:fox-O	100.0	fox-O	100.0
Mmer_XP.045195791.2	OG3:fox-O	100.0	fox-O	100.0
Pcor_DN7549.c0.g3.i2.p1	OG3:fox-O	100.0	fox-O	100.0
Tsqu_DN138852.c0.g1.i1.p1	OG3:fox-O	100.0	fox-O	100.0
Pmar_DN44399.c0.g5.i1.p1	OG3:fox-O	100.0	fox-O	100.0
Apur_scaffold.712.6	OG3:fox-O	100.0	fox-O	100.0
Hsap_NP.963853.1	OG3:fox-O	100.0	fox-O	100.0
Cgig_XP.011414359.1	OG3:fox-O	100.0	fox-O	100.0
Mcor_CAC5392548.1	OG3:fox-O	100.0	fox-O	100.0
Hsap_NP.005929.2	OG3:fox-O	100.0	fox-O	100.0
Mare_XP.052808484.1	OG3:fox-O	100.0	fox-O	100.0
Mmar_MMAM00000004017	OG3:fox-O	100.0	fox-O	100.0
Mmod_DN145.c2.g1.i21.p1	OG3:fox-O	100.0	fox-O	100.0
Rdec_DN30721.c0.g1.i1.p1	OG3:fox-O	100.0	fox-O	100.0
