gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Cimi_XP.017353253.1	OG0:NA	1.0	NA	NA
Cimi_XP.037600788.1	OG1:NA	1.0	NA	NA
Tman_XP.023591424.1	OG2:foxM1	90.0	foxM1	93.0
Bbub_XP.025138819.3	OG2:foxM1	90.0	foxM1	90.0
Casi_XP.006862752.1	OG2:foxM1	90.0	foxM1	99.0
Emax_XP.049738130.1	OG2:foxM1	90.0	foxM1	90.0
Oafe_XP.007935251.1	OG2:foxM1	90.0	foxM1	91.0
Drot_XP.053777572.1	OG2:foxM1	90.0	foxM1	90.0
Ttru_XP.019781496.1	OG2:foxM1	90.0	foxM1	90.0
Csim_XP.014649484.1	OG2:foxM1	90.0	foxM1	90.0
Pafr_XP.047643777.1	OG2:foxM1	90.0	foxM1	90.0
Oana_XP.028910212.1	OG2:foxM1	90.0	foxM1	90.0
Mang_XP.045727136.1	OG2:foxM1	90.0	foxM1	90.0
Opri_XP.058511953.1	OG2:foxM1	90.0	foxM1	90.0
Pgig_XP.039725073.1	OG2:foxM1	90.0	foxM1	90.0
Bmus_XP.036723013.1	OG2:foxM1	90.0	foxM1	90.0
Dnov_XP.058156702.1	OG2:foxM1	90.0	foxM1	90.0
Mjav_XP.017520172.2	OG2:foxM1	90.0	foxM1	90.0
Amel_XP.034501532.1	OG2:foxM1	90.0	foxM1	90.0
Equa_XP.046512461.1	OG2:foxM1	90.0	foxM1	90.0
Dnov_XP.012379785.1	OG2:foxM1	90.0	foxM1	90.0
Clup_XP.038432360.1	OG2:foxM1	90.0	foxM1	90.0
Mdom_XP.056655089.1	OG2:foxM1	90.0	foxM1	90.0
Rfer_XP.032974271.1	OG2:foxM1	90.0	foxM1	90.0
Hamp_XP.057558870.1	OG2:foxM1	90.0	foxM1	90.0
Cdro_XP.031300170.1	OG2:foxM1	90.0	foxM1	90.0
Ptig_XP.042847499.1	OG2:foxM1	90.0	foxM1	90.0
Shar_XP.031795171.1	OG2:foxM1	90.0	foxM1	90.0
Ggal_XP.046799087.1	OG2:foxM1	90.0	foxM1	90.0
Cdid_XP.037702327.1	OG2:foxM1	90.0	foxM1	90.0
Mmus_NP.032047.4	OG3:foxM1	73.0	foxM1	100.0
Cpor_XP.013000601.1	OG3:foxM1	73.0	foxM1	73.0
Scar_XP.047405644.1	OG3:foxM1	73.0	foxM1	73.0
Ggal_XP.015153061.3	OG4:foxO6	98.0	foxO6	98.0
Cimi_XP.017397276.1	OG4:foxO6	98.0	foxO6	22.0
Mdom_XP.001381541.2	OG4:foxO6	98.0	foxO6	96.0
Pafr_XP.047645485.1	OG4:foxO6	98.0	foxO6	75.0
Mmus_NP.918949.1	OG4:foxO6	98.0	foxO6	22.0
Emax_XP.049731901.1	OG4:foxO6	98.0	foxO6	22.0
Scar_XP.047415675.1	OG4:foxO6	98.0	foxO6	98.0
Ptig_XP.042852325.1	OG4:foxO6	98.0	foxO6	69.0
Ttru_XP.033692835.1	OG4:foxO6	98.0	foxO6	75.0
Rfer_XP.032969239.1	OG4:foxO6	98.0	foxO6	98.0
Tman_XP.023582811.1	OG4:foxO6	98.0	foxO6	100.0
Pgig_XP.039732650.1	OG4:foxO6	98.0	foxO6	75.0
Cdro_XP.010997575.2	OG4:foxO6	98.0	foxO6	75.0
Bmus_XP.036684744.1	OG4:foxO6	98.0	foxO6	75.0
Casi_XP.006867666.1	OG4:foxO6	98.0	foxO6	22.0
Oana_XP.028936057.1	OG4:foxO6	98.0	foxO6	73.0
Hsap_NP.001278210.2	OG4:foxO6	98.0	foxO6	22.0
Clup_XP.038413629.1	OG4:foxO6	98.0	foxO6	98.0
Oafe_XP.007950907.1	OG4:foxO6	98.0	foxO6	83.0
Bbub_XP.044801109.1	OG4:foxO6	98.0	foxO6	75.0
Hamp_XP.057605223.1	OG4:foxO6	98.0	foxO6	75.0
Cpor_XP.004999818.1	OG4:foxO6	98.0	foxO6	22.0
Dnov_XP.058159776.1	OG4:foxO6	98.0	foxO6	22.0
Mang_XP.045753906.1	OG4:foxO6	98.0	foxO6	54.0
Csim_XP.014639249.1	OG4:foxO6	98.0	foxO6	100.0
Amel_XP.034509638.1	OG4:foxO6	98.0	foxO6	98.0
Shar_XP.031818190.1	OG4:foxO6	98.0	foxO6	96.0
Opri_XP.004591579.1	OG4:foxO6	98.0	foxO6	98.0
Mjav_XP.036858263.1	OG4:foxO6	98.0	foxO6	58.0
Lcat_XP.045404045.1	OG4:foxO6	98.0	foxO6	98.0
Drot_XP.053776876.1	OG4:foxO6	98.0	foxO6	97.0
Equa_XP.046516690.1	OG4:foxO6	98.0	foxO6	58.0
Cdid_XP.037673411.1	OG4:foxO6	98.0	foxO6	22.0
Oana_XP.028918467.1	OG5:foxH1	100.0	foxH1	100.0
Mjav_XP.017499188.2	OG5:foxH1	100.0	foxH1	28.0
Scar_XP.053599327.1	OG5:foxH1	100.0	foxH1	28.0
Cpor_XP.003463743.1	OG5:foxH1	100.0	foxH1	28.0
Bmus_XP.036686706.1	OG5:foxH1	100.0	foxH1	28.0
Mjav_XP.036859882.1	OG5:foxH1	100.0	foxH1	28.0
Shar_XP.031803442.1	OG5:foxH1	100.0	foxH1	36.0
Emax_XP.049710232.1	OG5:foxH1	100.0	foxH1	28.0
Dnov_XP.058132182.1	OG5:foxH1	100.0	foxH1	28.0
Rfer_XP.032982232.1	OG5:foxH1	100.0	foxH1	28.0
Tman_XP.004387459.1	OG5:foxH1	100.0	foxH1	28.0
Opri_XP.004580951.4	OG5:foxH1	100.0	foxH1	28.0
Cdid_XP.037659123.1	OG5:foxH1	100.0	foxH1	28.0
Mang_XP.045751338.1	OG5:foxH1	100.0	foxH1	28.0
Ttru_XP.033698705.1	OG5:foxH1	100.0	foxH1	28.0
Ptig_XP.042829602.1	OG5:foxH1	100.0	foxH1	28.0
Bbub_XP.006064665.1	OG5:foxH1	100.0	foxH1	28.0
Mmus_NP.032015.1	OG5:foxH1	100.0	foxH1	28.0
Clup_XP.038411781.1	OG5:foxH1	100.0	foxH1	28.0
Cimi_XP.017367179.1	OG5:foxH1	100.0	foxH1	28.0
Drot_XP.024428211.1	OG5:foxH1	100.0	foxH1	28.0
Amel_XP.034524715.1	OG5:foxH1	100.0	foxH1	28.0
Mang_XP.045751622.1	OG5:foxH1	100.0	foxH1	28.0
Oafe_XP.007954253.1	OG5:foxH1	100.0	foxH1	86.0
Hsap_NP.003914.1	OG5:foxH1	100.0	foxH1	28.0
Csim_XP.004443058.1	OG5:foxH1	100.0	foxH1	28.0
Cdro_XP.010997045.2	OG5:foxH1	100.0	foxH1	28.0
Casi_XP.006830949.1	OG5:foxH1	100.0	foxH1	28.0
Pafr_XP.047641595.1	OG5:foxH1	100.0	foxH1	28.0
Equa_XP.046497693.1	OG5:foxH1	100.0	foxH1	28.0
Pgig_XP.039702105.1	OG5:foxH1	100.0	foxH1	28.0
Hamp_XP.057592839.1	OG5:foxH1	100.0	foxH1	28.0
Mdom_XP.016288146.2	OG5:foxH1	100.0	foxH1	36.0
Lcat_XP.045417128.1	OG5:foxH1	100.0	foxH1	28.0
Ggal_XP.001234496.5	OG6:foxO3-3B	98.0	foxO3/foxO3B	98.0/98.0
Mdom_XP.001368493.2	OG6:foxO3-3B	98.0	foxO3/foxO3B	92.0/92.0
Bmus_XP.036727351.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Equa_XP.046532634.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Emax_XP.049752199.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/77.0
Hsap_NP.001355064.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/100.0
Shar_XP.023358910.2	OG6:foxO3-3B	98.0	foxO3/foxO3B	92.0/92.0
Pgig_XP.039725886.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Cdid_XP.037698233.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	99.0/99.0
Cimi_XP.037599874.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/100.0
Bbub_XP.044780301.2	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Opri_XP.058515970.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Pafr_XP.047618159.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Mmus_NP.062714.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Oafe_XP.007939014.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/77.0
Clup_XP.038410808.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Dnov_XP.058163213.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	98.0/98.0
Scar_XP.047415677.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Ptig_XP.042842859.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
Mang_XP.045721230.1	OG6:foxO3-3B	98.0	foxO3/foxO3B	77.0/99.0
