gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Agam_XP.061505148.1	OG0:dsx	100.0	dsx	100.0
Dere_XP.026836830.1	OG0:dsx	100.0	dsx	77.0
Dkik_XP.041630485.1	OG0:dsx	100.0	dsx	77.0
Dmir_XP.017142875.1	OG0:dsx	100.0	dsx	77.0
Dgri_XP.043071113.1	OG0:dsx	100.0	dsx	92.0
Dsec_XP.002038750.1	OG0:dsx	100.0	dsx	77.0
Dser_XP.020809854.1	OG0:dsx	100.0	dsx	77.0
Dele_XP.017119779.1	OG0:dsx	100.0	dsx	77.0
Dalb_XP.034117252.2	OG0:dsx	100.0	dsx	94.0
Dwil_XP.023035845.1	OG0:dsx	100.0	dsx	87.0
Dhyd_XP.023178918.2	OG0:dsx	100.0	dsx	77.0
Dmel_NP.001262353.1	OG0:dsx	100.0	dsx	77.0
Dpse_XP.033235910.1	OG0:dsx	100.0	dsx	77.0
Dari_XP.017874634.1	OG0:dsx	100.0	dsx	100.0
Dbus_XP.017847641.1	OG0:dsx	100.0	dsx	94.0
Dbip_XP.017088683.2	OG0:dsx	100.0	dsx	77.0
Dsuz_XP.036675224.1	OG0:dsx	100.0	dsx	77.0
Dsuz_XP.036672758.1	OG0:dsx	100.0	dsx	77.0
Dana_XP.014766033.1	OG0:dsx	100.0	dsx	77.0
Dbus_XP.017844894.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	24.0/24.0/24.0
Dmel_NP.524549.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	100.0/13.0/13.0
Dere_XP.001981330.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	95.0/13.0/13.0
Dwil_XP.023034529.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	35.0/13.0/13.0
Dkik_XP.017021883.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	65.0/13.0/13.0
Dser_XP.020811324.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	65.0/13.0/13.0
Dalb_XP.051862400.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	14.0/13.0/13.0
Dsuz_XP.036674364.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	78.0/13.0/13.0
Dsec_XP.002037224.1	OG1:dmrt-99B/dmrt-A2	24.0	dmrt-99B/dmrt-A2/dmrt-A2-like	80.0/13.0/13.0
