gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Osin_XP.036368911.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	92.0/92.0
Pcan_XP.025090051.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	95.0/95.0
Gaeg_XP.041358115.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	92.0/92.0
Osin_XP.036366646.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	92.0/92.0
Osin_XP.029647701.2	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	92.0/92.0
Obim_XP.014782618.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	92.0/92.0
Apur_scaffold.235.403	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Hruf_XP.046372338.2	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	61.0/61.0
Pmax_XP.033733655.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Pyes_XP.021353714.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Sbro_EVM0020695.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Cgig_XP.011441049.2	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	91.0/91.0
Pmar_DN30657.c0.g1.i1.p1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Pstr_KAK3599448.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Mner_g120437.t1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Cang_XP.052698016.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	91.0/91.0
Cari_EVM0027346.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	91.0/91.0
Mmar_MMAM00000008302	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Airc_Contig6.279	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Pcan_XP.025111744.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	95.0/95.0
Sglo_Sgl011295	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	91.0/91.0
Cvir_XP.022333988.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	91.0/91.0
Cele_NP.503176.2	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	100.0/96.0
Hbia_M00000013645	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Cele_NP.001041089.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	96.0/100.0
Oedu_XP.048736174.2	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	91.0/91.0
Hruf_XP.046335704.1	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	61.0/61.0
Hbia_M00000045261	OG0:dmd-8/mab-23	92.0	dmd-8/mab-23	67.0/67.0
Hsap_XP.016882612.1	OG1:DMRT-C2/dmd-6-7-9	81.0	DMRT-C2/dmd-6/dmd-7/dmd-9	100.0/81.0/81.0/81.0
Cele_NP.001370045.1	OG1:DMRT-C2/dmd-6-7-9	81.0	DMRT-C2/dmd-6/dmd-7/dmd-9	81.0/100.0/100.0/100.0
Cele_NP.500305.1	OG1:DMRT-C2/dmd-6-7-9	81.0	DMRT-C2/dmd-6/dmd-7/dmd-9	81.0/100.0/100.0/100.0
Cele_NP.741551.1	OG1:DMRT-C2/dmd-6-7-9	81.0	DMRT-C2/dmd-6/dmd-7/dmd-9	81.0/100.0/100.0/100.0
Cele_NP.001256882.1	OG2:mab-3	1.0	dmd-3/mab-3	100.0/100.0
Cele_NP.001256883.1	OG3:dmd-3	1.0	dmd-3/mab-3	100.0/100.0
Cele_NP.001379162.1	OG4:dmd-10	86.0	dmd-10	100.0
Pvir_s01850g168	OG4:dmd-10	86.0	dmd-10	86.0
Mcal_XP.052068518.1	OG4:dmd-10	86.0	dmd-10	86.0
Mgal_VDI03798.1	OG4:dmd-10	86.0	dmd-10	86.0
