gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Hamp_XP.057601513.1	OG0:dmrtB1	100.0	dmrtB1	100.0
Hsap_NP.149056.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Oafe_XP.007944154.1	OG0:dmrtB1	100.0	dmrtB1	100.0
Amel_XP.034508822.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Bbub_XP.025144486.2	OG0:dmrtB1	100.0	dmrtB1	97.0
Casi_XP.006839931.1	OG0:dmrtB1	100.0	dmrtB1	100.0
Pgig_XP.039739094.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Cimi_XP.017359902.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Mmus_XP.036020151.1	OG0:dmrtB1	100.0	dmrtB1	98.0
Bmus_XP.036712433.1	OG0:dmrtB1	100.0	dmrtB1	97.0
Oana_XP.039770576.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Scar_XP.047395630.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Mjav_XP.036877684.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Ptig_XP.042853169.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Lcat_XP.045402503.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Emax_XP.049731502.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Ttru_XP.004325875.3	OG0:dmrtB1	100.0	dmrtB1	97.0
Mang_XP.045755047.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Pafr_XP.047647463.1	OG0:dmrtB1	100.0	dmrtB1	49.0
Opri_XP.004588846.2	OG0:dmrtB1	100.0	dmrtB1	59.0
Cpor_XP.003464114.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Dnov_XP.058159531.1	OG0:dmrtB1	100.0	dmrtB1	96.0
Cdid_XP.037665497.1	OG0:dmrtB1	100.0	dmrtB1	96.0
Equa_XP.046516609.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Mdom_XP.056671081.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Csim_XP.014649261.1	OG0:dmrtB1	100.0	dmrtB1	34.0
Cdro_XP.031321432.1	OG0:dmrtB1	100.0	dmrtB1	97.0
