gene	length	species	median	quant
13_distribution_divergence/01_input_alignments/OG0000652_disco_tree1_aligned_trim.faa	136	20	0	0
13_distribution_divergence/01_input_alignments/OG0000266_disco_tree1_aligned_trim.faa	452	19	0.00222441214658928	0
13_distribution_divergence/01_input_alignments/OG0000081_disco_tree3_aligned_trim.faa	376	22	0.00526384172889774	0
13_distribution_divergence/01_input_alignments/OG0008670_disco_tree1_aligned_trim.faa	117	24	0.00906416435611022	0
13_distribution_divergence/01_input_alignments/OG0009472_disco_tree1_aligned_trim.faa	142	29	0.00982069794701737	0
13_distribution_divergence/01_input_alignments/OG0008590_disco_tree1_aligned_trim.faa	110	27	0.0101509272785324	0
13_distribution_divergence/01_input_alignments/OG0010519_disco_tree1_aligned_trim.faa	193	30	0.0106837056084102	0
13_distribution_divergence/01_input_alignments/OG0001104_disco_tree3_aligned_trim.faa	328	34	0.0162827925527097	0
13_distribution_divergence/01_input_alignments/OG0010662_disco_tree1_aligned_trim.faa	96	32	0.0206453922891483	0
13_distribution_divergence/01_input_alignments/OG0000621_disco_tree3_aligned_trim.faa	77	31	0.0270056549988965	0
13_distribution_divergence/01_input_alignments/OG0010632_disco_tree1_aligned_trim.faa	115	32	0.0274094833211016	0
13_distribution_divergence/01_input_alignments/OG0002253_disco_tree1_aligned_trim.faa	212	19	0.0284379478281478	0
13_distribution_divergence/01_input_alignments/OG0005123_disco_tree1_aligned_trim.faa	221	28	0.0286723846979721	0
13_distribution_divergence/01_input_alignments/OG0001104_disco_tree1_aligned_trim.faa	326	28	0.0297223436738034	0
13_distribution_divergence/01_input_alignments/OG0000250_disco_tree2_aligned_trim.faa	446	19	0.031683805227019	0
13_distribution_divergence/01_input_alignments/OG0007593_disco_tree1_aligned_trim.faa	508	27	0.0317296016284767	0
13_distribution_divergence/01_input_alignments/OG0005933_disco_tree1_aligned_trim.faa	227	25	0.0329799969552734	0
13_distribution_divergence/01_input_alignments/OG0002253_disco_tree2_aligned_trim.faa	214	33	0.0330934967053676	0
